"","so_PID","so_NAME","so_SHORTNAME","so_productWave","so_colorWave","so_allTWave","so_ratioWave","so_keyW","class_id","CLASS_ID","CLASS_TERM","UCLASS_ID","UCLASS_TERM"
"21","P39656","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","DDOST",11.5088757412939,3,2.4108781e-08,14.8362151228551,749,"PC00111","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"22","P08648","Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain","ITGA5",11.4811400656723,3,1.5394379e-07,25.430752722306,402,"PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"23","P06756","Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain","ITGAV",11.2684008524684,3,8.7582485e-08,18.5175072539599,369,"PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"24","P26038","Moesin","MSN",11.2514648124449,3,3.7315064e-07,28.3121414127773,614,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"25","P35221","Catenin alpha-1","CTNNA1",11.0918996991985,3,1.2214569e-07,18.1107953405019,706,"PC00165","PC00085","actin or actin-binding cytoskeletal protein","PC00041","cytoskeletal protein"
"26","Q15149","Plectin","PLEC",11.0780665448342,3,2.3798992e-07,21.9268296422974,1365,"PC00129","PC00129","intermediate filament","PC00085","cytoskeletal protein"
"27","P06576","ATP synthase subunit beta, mitochondrial","ATP5B",10.9852053075477,3,1.604406e-08,9.12939632997766,363,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"28","P27824","Calnexin","CANX",10.9704474593114,3,1.3002034e-06,33.9292761573399,633,"PC00072","PC00072","chaperone","PC00072","chaperone"
"29","P14923","Junction plakoglobin","JUP",10.9545156009627,3,3.9124643e-07,23.3761627041322,500,NA,NA,"Unclassified",NA,"Unclassified"
"30","P25705","ATP synthase subunit alpha, mitochondrial","ATP5A1",10.7863059089051,3,5.8290972e-08,11.7281785483185,608,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"31","P07237","Protein disulfide-isomerase","P4HB",10.6330865637658,3,1.472346e-06,27.8787954185802,375,"PC00072","PC00072","chaperone","PC00072","chaperone"
"32","P10809","60 kDa heat shock protein, mitochondrial","HSPD1",10.6152528759663,3,2.0621319e-07,15.2376566641054,444,NA,NA,"Unclassified",NA,"Unclassified"
"33","P50454","Serpin H1","SERPINH1",10.6014911729909,3,6.0059127e-09,5.20561974576006,860,"PC00191","PC00191","protease inhibitor","PC00095","protein-binding activity modulator"
"34","Q15758","Neutral amino acid transporter B(0)","SLC1A5",10.538689867871,3,1.4240687e-06,25.8523037468788,1402,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"35","Q14697","Neutral alpha-glucosidase AB","GANAB",10.4912768604979,3,1.1874231e-06,23.6846808294101,1328,"PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"36","Q09666","Neuroblast differentiation-associated protein AHNAK","AHNAK",10.4405959671491,3,1.4670187e-05,48.73991012577,1188,NA,NA,"Unclassified",NA,"Unclassified"
"37","O00159","Unconventional myosin-Ic","MYO1C",10.3420136441419,3,1.949534e-07,12.3972176651715,23,"PC00040","PC00085","actin or actin-binding cytoskeletal protein","PC00041","cytoskeletal protein"
"38","P30101","Protein disulfide-isomerase A3","PDIA3",10.2812728570944,3,4.7597596e-06,31.1003299690043,658,"PC00072","PC00072","chaperone","PC00072","chaperone"
"39","P11021","78 kDa glucose-regulated protein","HSPA5",10.23101450259,3,2.805333e-08,6.4041128086079,446,"PC00027","PC00027","Hsp70 family chaperone","PC00072","chaperone"
"40","Q15084","Protein disulfide-isomerase A6","PDIA6",10.1052550111558,3,1.6287865e-07,9.96672143057838,1361,"PC00072","PC00072","chaperone","PC00072","chaperone"
"41","Q07065","Cytoskeleton-associated protein 4","CKAP4",10.054497046567,3,2.9293392e-07,11.4817189512538,1167,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"42","P30040","Endoplasmic reticulum resident protein 29","ERP29",10.0369854485056,3,2.3843151e-07,10.6615783764901,652,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"43","P61224","Ras-related protein Rap-1b;Ras-related protein Rap-1A;Ras-related protein Rap-1b-like protein","RAP1B;RAP1A",10.0236077681178,3,9.0651065e-07,15.7904557945854,980,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"44","Q9NZM1","Myoferlin","MYOF",9.81928580470707,3,6.3118466e-07,12.2902503475829,2213,NA,NA,"Unclassified",NA,"Unclassified"
"45","P19022","Cadherin-2","CDH2",9.76872974921898,3,8.356605e-07,12.9130663610537,551,"PC00057","PC00057","cadherin","PC00069","cell adhesion molecule"
"46","P35222","Catenin beta-1","CTNNB1",9.75442964264856,3,1.6687147e-06,15.7448893246953,707,NA,NA,"Unclassified",NA,"Unclassified"
"47","P68032","Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle;Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle","ACTC1;ACTA1;ACTG2;ACTA2",9.74883790791126,3,0.00088316941,103.60012087884,2740,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"48","P09382","Galectin-1","LGALS1",9.58748053839963,3,1.8425985e-06,14.4491374304257,415,"PC00102","PC00102","extracellular matrix protein","PC00102","extracellular matrix protein"
"49","P55327","Tumor protein D52","TPD52",9.53775022209957,3,6.5134977e-06,20.4150951326819,938,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"50","P35052","Glypican-1;Secreted glypican-1","GPC1",9.49551682003411,3,1.2027225e-06,11.9230564198352,705,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"51","P05026","Sodium/potassium-transporting ATPase subunit beta-1","ATP1B1",9.42348357869889,3,4.4314752e-06,16.7958377297609,349,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"52","P14618","Pyruvate kinase PKM","PKM",9.39447612066005,3,4.107903e-08,4.02251109958504,493,"PC00137","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"53","Q8NBS9","Thioredoxin domain-containing protein 5","TXNDC5",9.37532781478701,3,2.2957458e-06,13.3267360912704,1678,"PC00072","PC00072","chaperone","PC00072","chaperone"
"54","P49411","Elongation factor Tu, mitochondrial","TUFM",9.30256461007565,3,9.5553469e-07,9.73250481929762,841,"PC00263","PC00263","translational protein","PC00263","translational protein"
"55","O14828","Secretory carrier-associated membrane protein 3","SCAMP3",9.28999740156052,3,1.5714912e-06,11.2068533573407,71,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"56","P13797","Plastin-3","PLS3",9.28646972849691,3,1.1531149e-06,10.1847750492902,483,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"57","O95573","Long-chain-fatty-acid--CoA ligase 3","ACSL3",9.18007499483443,3,1.9139031e-06,11.0195618061544,292,"PC00142","PC00142","ligase","PC00262","metabolite interconversion enzyme"
"58","Q9UKX5","Integrin alpha-11","ITGA11",9.16447236558245,3,4.2463353e-06,13.8564564320346,2293,"PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"59","P68371","Tubulin beta-4B chain","TUBB4B",9.12447917727742,3,1.9620876e-08,2.67066234853125,1075,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"60","P04843","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","RPN1",8.97801801380908,3,6.0645666e-06,13.5556062794854,343,"PC00111","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"61","P51659","Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2","HSD17B4",8.96324144980553,3,2.1276687e-06,9.7888926994962,884,NA,NA,"Unclassified",NA,"Unclassified"
"62","P01889","HLA class I histocompatibility antigen, B-7 alpha chain","HLA-B",8.94146869450534,3,1.1809072e-05,16.152485239962,320,"PC00149","PC00149","major histocompatibility complex protein","PC00090","defense/immunity protein"
"63","P38646","Stress-70 protein, mitochondrial","HSPA9",8.91615282245399,3,1.9591762e-05,18.4842749453292,745,"PC00027","PC00027","Hsp70 family chaperone","PC00072","chaperone"
"64","Q14126","Desmoglein-2","DSG2",8.84010125547273,3,1.2292238e-05,15.2393803368944,1290,"PC00057","PC00057","cadherin","PC00069","cell adhesion molecule"
"65","P05141","ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed;ADP/ATP translocase 1","SLC25A5",8.8375944196583,3,4.0081295e-06,10.8568669822646,2645,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"66","P34897","Serine hydroxymethyltransferase, mitochondrial","SHMT2",8.77891733464809,3,1.397624e-06,7.59109415145361,702,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"67","P54709","Sodium/potassium-transporting ATPase subunit beta-3","ATP1B3",8.75776067014711,3,1.0441013e-05,13.7037917865582,923,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"68","P37802","Transgelin-2","TAGLN2",8.73885263456653,3,4.7583444e-06,10.6760683113597,740,NA,NA,"Unclassified",NA,"Unclassified"
"69","O43399","Tumor protein D54","TPD52L2",8.60727793660216,3,1.7860273e-05,14.5119170730528,131,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"70","P40926","Malate dehydrogenase, mitochondrial","MDH2",8.6010543848032,3,1.5357586e-05,13.8074744311334,761,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"71","P14314","Glucosidase 2 subunit beta","PRKCSH",8.53309737426196,3,1.1087896e-05,11.9417864515294,490,"PC00095","PC00095","protein-binding activity modulator","PC00095","protein-binding activity modulator"
"72","P27105","Erythrocyte band 7 integral membrane protein","STOM",8.50792287360201,3,7.9622032e-06,10.6217993388407,625,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"73","Q9BSJ8","Extended synaptotagmin-1","ESYT1",8.49450051215143,3,4.4259368e-06,8.81833121780636,1972,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"74","P26006","Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain","ITGA3",8.47032389434797,3,9.0135163e-06,10.7422028155586,613,"PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"75","P04792","Heat shock protein beta-1","HSPB1",8.44906428774572,3,7.951418e-08,2.54825348490645,341,"PC00072","PC00072","chaperone","PC00072","chaperone"
"76","P08238","Heat shock protein HSP 90-beta","HSP90AB1",8.37383748982044,3,3.4408711e-07,3.75940876652834,393,"PC00028","PC00028","Hsp90 family chaperone","PC00072","chaperone"
"77","O43707","Alpha-actinin-4","ACTN4",8.37202784817029,3,3.546775e-05,15.1564673150321,144,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"78","P06733","Alpha-enolase","ENO1",8.28056232599564,3,2.7790491e-05,13.2182439307184,365,"PC00144","PC00144","lyase","PC00262","metabolite interconversion enzyme"
"79","Q16658","Fascin","FSCN1",8.2772147776106,3,7.5121079e-06,8.89488999440593,1427,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"80","P55809","Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial","OXCT1",8.27155898192554,3,8.2681181e-06,9.11956835607802,941,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"81","P07900","Heat shock protein HSP 90-alpha","HSP90AA1",8.24269554817587,3,2.0818647e-06,5.9017708522897,384,"PC00028","PC00028","Hsp90 family chaperone","PC00072","chaperone"
"82","Q6NZI2","Polymerase I and transcript release factor","PTRF",8.22932648671601,3,1.2474341e-06,5.01185212124796,1520,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"83","P45880","Voltage-dependent anion-selective channel protein 2","VDAC2",8.20731944458099,3,4.7019585e-06,7.35945190524836,795,"PC00133","PC00133","ion channel","PC00227","transporter"
"84","P08754","Guanine nucleotide-binding protein G(k) subunit alpha","GNAI3",8.17927498286999,3,5.5454082e-05,15.1706254483814,406,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"85","O00161","Synaptosomal-associated protein 23","SNAP23",8.06186301659695,3,4.7023159e-06,6.65378292204338,24,"PC00034","PC00034","SNARE protein","PC00150","membrane traffic protein"
"86","O43854","EGF-like repeat and discoidin I-like domain-containing protein 3","EDIL3",7.97568540511874,3,2.0214819e-05,9.72268775382725,153,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"87","Q06830","Peroxiredoxin-1","PRDX1",7.97076623302919,3,1.0558917e-06,3.98446329750531,1164,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"88","P49006","MARCKS-related protein","MARCKSL1",7.94311556335033,3,4.6115324e-06,6.09218868700704,832,NA,NA,"Unclassified",NA,"Unclassified"
"89","P07099","Epoxide hydrolase 1","EPHX1",7.90244276447384,3,1.8050454e-05,8.93167705182228,372,"PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"90","Q9UJZ1","Stomatin-like protein 2, mitochondrial","STOML2",7.88702366877466,3,9.139123e-06,7.19965745154175,2281,"PC00227","PC00227","transporter","PC00227","transporter"
"91","Q01082","Spectrin beta chain, non-erythrocytic 1","SPTBN1",7.83241257279688,3,1.4834461e-05,8.02045661651866,1117,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"92","Q9Y490","Talin-1","TLN1",7.76570455690991,3,7.2675037e-05,12.3555720500378,2389,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"93","P62979","Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-C;Ubiquitin;Polyubiquitin-B;Ubiquitin;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40","RPS27A;UBC;UBB;UBA52",7.75383030567488,3,1.2691391e-05,7.24677816450919,1052,NA,NA,"Unclassified",NA,"Unclassified"
"94","Q96AG4","Leucine-rich repeat-containing protein 59","LRRC59",7.70544428239279,3,1.5359614e-05,7.42208574816848,1827,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"95","O15173","Membrane-associated progesterone receptor component 2","PGRMC2",7.6844296319414,3,4.9904661e-06,5.21465110473718,95,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"96","P13667","Protein disulfide-isomerase A4","PDIA4",7.67270852832607,3,1.5245355e-05,7.239278632258,481,"PC00072","PC00072","chaperone","PC00072","chaperone"
"97","Q9BTV4","Transmembrane protein 43","TMEM43",7.62557616451747,3,8.7525032e-06,5.92867058124637,1981,NA,NA,"Unclassified",NA,"Unclassified"
"98","Q10589","Bone marrow stromal antigen 2","BST2",7.62388660341832,3,1.6190974e-05,7.12633085352176,1192,NA,NA,"Unclassified",NA,"Unclassified"
"99","P62491","Ras-related protein Rab-11A;Ras-related protein Rab-11B","RAB11A;RAB11B",7.62192320591595,3,1.5304093e-05,6.99697328491203,1026,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"100","P12272","Parathyroid hormone-related protein;PTHrP[1-36];PTHrP[38-94];Osteostatin","PTHLH",7.61076368598741,3,0.0041862172,37.5980341987041,2466,"PC00179","PC00179","peptide hormone","PC00207","intercellular signal molecule"
"101","P51148","Ras-related protein Rab-5C","RAB5C",7.6094416903049,3,4.587595e-05,9.6533289696376,873,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"102","P04844","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2","RPN2",7.59631822605463,3,3.6191436e-06,4.45345154451639,344,"PC00111","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"103","P53985","Monocarboxylate transporter 1","SLC16A1",7.59536375916743,3,8.2660124e-05,11.4134234890635,914,"PC00227","PC00227","transporter","PC00227","transporter"
"104","P68366","Tubulin alpha-4A chain","TUBA4A",7.58359938451784,3,4.1472638e-05,9.19826011879991,1074,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"105","Q9UBR2","Cathepsin Z","CTSZ",7.57675501689959,3,0.00012236668,12.6794317988618,2242,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"106","P54289","Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1","CACNA2D1",7.56722388740028,3,1.1512647e-05,6.18339527760656,920,"PC00133","PC00133","ion channel","PC00227","transporter"
"107","P31040","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","SDHA",7.54844818339993,3,2.1868871e-05,7.40384538313466,672,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"108","P22314","Ubiquitin-like modifier-activating enzyme 1","UBA1",7.54602097710144,3,3.0836651e-05,8.1969548692622,581,"PC00234","PC00234","ubiquitin-protein ligase","PC00260","protein modifying enzyme"
"109","Q9H0U4","Ras-related protein Rab-1B","RAB1B",7.54496223035047,3,1.8644314e-05,7.03967422427057,2048,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"110","P15328","Folate receptor alpha","FOLR1",7.52095000377458,3,3.0828494e-05,8.05509812556547,506,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"111","P30837","Aldehyde dehydrogenase X, mitochondrial","ALDH1B1",7.49687611148679,3,4.898995e-06,4.55352239714493,669,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"112","O43852","Calumenin","CALU",7.4870195980725,3,1.6132108e-05,6.47423974632949,152,"PC00061","PC00061","calmodulin-related","PC00060","calcium-binding protein"
"113","P50897","Palmitoyl-protein thioesterase 1","PPT1",7.44896247150944,3,3.3694192e-05,7.87083916864352,866,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"114","Q15366","Poly(rC)-binding protein 2","PCBP2",7.38715286811675,3,1.7799301e-06,3.11138256687537,1375,"PC00031","PC00031","RNA metabolism protein","PC00031","RNA metabolism protein"
"115","P35232","Prohibitin","PHB",7.38621400563931,3,2.7921529e-05,7.1213614010074,708,NA,NA,"Unclassified",NA,"Unclassified"
"116","O94925","Glutaminase kidney isoform, mitochondrial","GLS",7.35734162691594,3,2.9104143e-05,7.06797311619837,261,"PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"117","P62873","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","GNB1",7.33374010756128,3,0.00025028447,13.2891233463224,1042,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"118","P61106","Ras-related protein Rab-14","RAB14",7.31802426747179,3,6.5256216e-05,8.77042158284827,973,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"119","Q9NQC3","Reticulon-4","RTN4",7.29957751484858,3,0.00042593063,15.2307649301096,2138,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"120","Q00325","Phosphate carrier protein, mitochondrial","SLC25A3",7.24363950786308,3,7.8230842e-05,8.79703461462082,1109,"PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"121","P04406","Glyceraldehyde-3-phosphate dehydrogenase","GAPDH",7.17363652949318,3,2.5217963e-05,5.96014142037009,337,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"122","Q58FF8","Putative heat shock protein HSP 90-beta 2","HSP90AB2P",7.15403026101258,3,2.7451673e-05,6.03184289638945,1466,"PC00028","PC00028","Hsp90 family chaperone","PC00072","chaperone"
"123","Q10471","Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form","GALNT2",7.13267429737122,3,9.0130343e-05,8.50048687168584,1189,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"124","Q9NYL4","Peptidyl-prolyl cis-trans isomerase FKBP11","FKBP11",7.12839404218598,3,1.0692032e-05,4.46126982071956,2201,NA,NA,"Unclassified",NA,"Unclassified"
"125","P61026","Ras-related protein Rab-10","RAB10",7.04088868166355,3,1.4558101e-05,4.60752890271696,970,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"126","P62879","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2","GNB2",6.96066843519349,3,0.00025198425,10.2819487537873,1043,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"127","O75390","Citrate synthase, mitochondrial","CS",6.95606375099023,3,5.1595598e-05,6.35845554212527,207,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"128","Q13162","Peroxiredoxin-4","PRDX4",6.91138976436053,3,6.7758469e-05,6.69161005194861,1232,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"129","O15427","Monocarboxylate transporter 4","SLC16A3",6.82297819289522,3,0.00018279382,8.48514699536572,110,"PC00227","PC00227","transporter","PC00227","transporter"
"130","P21796","Voltage-dependent anion-selective channel protein 1","VDAC1",6.74725571345938,3,0.00010647601,6.84242366076957,574,"PC00133","PC00133","ion channel","PC00227","transporter"
"131","P31327","Carbamoyl-phosphate synthase [ammonia], mitochondrial","CPS1",6.70453939042126,3,0.00031607461,9.21720351238952,674,"PC00142","PC00142","ligase","PC00262","metabolite interconversion enzyme"
"132","P51149","Ras-related protein Rab-7a","RAB7A",6.69966112908946,3,3.0653373e-05,4.55086079817274,874,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"133","O43491","Band 4.1-like protein 2","EPB41L2",6.68017014766239,3,7.7270925e-05,5.93063412641003,135,"PC00165","PC00085","actin or actin-binding cytoskeletal protein","PC00041","cytoskeletal protein"
"134","P78344","Eukaryotic translation initiation factor 4 gamma 2","EIF4G2",6.6789594208698,3,3.0791234e-05,4.49208922252445,1083,"PC00223","PC00223","translation factor","PC00263","translational protein"
"135","Q86UP2","Kinectin","KTN1",6.55186981238515,3,9.4086019e-05,5.75730985640659,1609,NA,NA,"Unclassified",NA,"Unclassified"
"136","Q9Y653","G-protein coupled receptor 56;GPR56 N-terminal fragment;GPR56 C-terminal fragment","GPR56",6.50633723238952,3,0.00010397781,5.74886768423881,2417,"PC00021","PC00021","G-protein coupled receptor","PC00197","transmembrane signal receptor"
"137","O60716","Catenin delta-1","CTNND1",6.49030124667623,3,9.7619311e-05,5.57834458535694,178,"PC00129","PC00129","intermediate filament","PC00085","cytoskeletal protein"
"138","P40227","T-complex protein 1 subunit zeta","CCT6A",6.48980817039665,3,7.434428e-05,5.13746243114272,755,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"139","Q8N766","ER membrane protein complex subunit 1","EMC1",6.44266931106293,3,3.7890033e-05,4.05919705392439,1669,NA,NA,"Unclassified",NA,"Unclassified"
"140","P04083","Annexin A1","ANXA1",6.41698722352915,3,0.00017829084,6.3559868307292,332,"PC00060","PC00060","calcium-binding protein","PC00060","calcium-binding protein"
"141","P60953","Cell division control protein 42 homolog","CDC42",6.38362139913601,3,0.00017626828,6.18938255936607,964,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"142","P26641","Elongation factor 1-gamma","EEF1G",6.38290647813845,3,3.1433981e-05,3.68153089443634,623,NA,NA,"Unclassified",NA,"Unclassified"
"143","P51572","B-cell receptor-associated protein 31","BCAP31",6.3475474087228,3,7.762594e-05,4.71596963037894,881,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
