"","so_PID","so_SHORTNAME","so_NAME","so_ratioWave","so_allTWave","int","class_id","CLASS_ID","CLASS_TERM","UCLASS_ID","UCLASS_TERM"
"27","P27824","CANX","Calnexin",33.9292761573399,1.3002034e-06,"PE","PC00072","PC00072","chaperone","PC00072","chaperone"
"28","P04439","HLA-A","HLA class I histocompatibility antigen, A-3 alpha chain",32.8621562563004,3.4754017e-08,"PE","PC00149","PC00149","major histocompatibility complex protein","PC00090","defense/immunity protein"
"29","Q92928","RAB1C","Putative Ras-related protein Rab-1C",32.140129305881,0.0001086136,"DM|PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"30","P30101","PDIA3","Protein disulfide-isomerase A3",31.1003299690043,4.7597596e-06,"PE","PC00072","PC00072","chaperone","PC00072","chaperone"
"31","P26038","MSN","Moesin",28.3121414127773,3.7315064e-07,"PE","PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"32","P07237","P4HB","Protein disulfide-isomerase",27.8787954185802,1.472346e-06,"PE","PC00072","PC00072","chaperone","PC00072","chaperone"
"33","O15126","SCAMP1","Secretory carrier-associated membrane protein 1",27.2180492185815,7.2975026e-09,"DM","PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"34","Q10589","BST2","Bone marrow stromal antigen 2",26.7847000891606,1.545637e-05,"DM|PE",NA,NA,"Unclassified",NA,"Unclassified"
"35","Q15758","SLC1A5","Neutral amino acid transporter B(0)",25.8523037468788,1.4240687e-06,"PE","PC00068","PC00068","primary active transporter","PC00227","transporter"
"36","Q9H3Z4","DNAJC5","DnaJ homolog subfamily C member 5",25.8106037277116,1.5481216e-06,"DM","PC00072","PC00072","chaperone","PC00072","chaperone"
"37","Q99878","HIST1H2AJ","Histone H2A type 1-J",25.6670864746644,0.026283512,"DM|RE","PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"38","P08648","ITGA5","Integrin alpha-5",25.430752722306,1.5394379e-07,"PE","PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"39","O75165","DNAJC13","DnaJ homolog subfamily C member 13",25.2173358579634,8.0910771e-09,"DM","PC00072","PC00072","chaperone","PC00072","chaperone"
"40","P20645","M6PR","Cation-dependent mannose-6-phosphate receptor",24.500170592644,2.7054188e-08,"DM","PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"41","P43121","MCAM","Cell surface glycoprotein MUC18",24.1271504331128,1.1623757e-07,"PE","PC00125","PC00125","immunoglobulin superfamily cell adhesion molecule","PC00069","cell adhesion molecule"
"42","Q14697","GANAB","Neutral alpha-glucosidase AB",23.6846808294101,1.1874231e-06,"PE","PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"43","P14923","JUP","Junction plakoglobin",23.3761627041322,3.9124643e-07,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"44","P51809","VAMP7","Vesicle-associated membrane protein 7",23.1088439790749,1.3252112e-09,"DM","PC00034","PC00034","SNARE protein","PC00150","membrane traffic protein"
"45","Q15836","VAMP3","Vesicle-associated membrane protein 3",22.8184077173349,1.1221455e-06,"DM|PE","PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"46","Q15149","PLEC","Plectin",21.9268296422974,2.3798992e-07,"PE","PC00129","PC00129","intermediate filament","PC00085","cytoskeletal protein"
"47","P61106","RAB14","Ras-related protein Rab-14",19.8162975546243,9.4348792e-07,"DM|PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"48","P63027","VAMP2","Vesicle-associated membrane protein 2",19.7001435510704,2.8511745e-06,"DM","PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"49","Q7Z3C6","ATG9A","Autophagy-related protein 9A",19.4823515485338,9.2478264e-10,"DM","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"50","P14625","HSP90B1","Endoplasmin",19.3589193613657,1.2304636e-08,"PE","PC00028","PC00028","Hsp90 family chaperone","PC00072","chaperone"
"51","P61019","RAB2A","Ras-related protein Rab-2A",19.0269093016627,1.5154036e-07,"DM","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"52","P06756","ITGAV","Integrin alpha-V",18.5175072539599,8.7582485e-08,"PE","PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"53","P38646","HSPA9","Stress-70 protein, mitochondrial",18.4842749453292,1.9591762e-05,"PE","PC00027","PC00027","Hsp70 family chaperone","PC00072","chaperone"
"54","P35221","CTNNA1","Catenin alpha-1",18.1107953405019,1.2214569e-07,"PE","PC00165","PC00085","actin or actin-binding cytoskeletal protein","PC00041","cytoskeletal protein"
"55","Q8NCG7","DAGLB","Sn1-specific diacylglycerol lipase beta",17.4431687479697,3.7236634e-07,"DM","PC00143","PC00262","hydrolase","PC00121","metabolite interconversion enzyme"
"56","P11279","LAMP1","Lysosome-associated membrane glycoprotein 1",17.423384857991,0.00019377341,"DM|PE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"57","Q16890","TPD52L1","Tumor protein D53",17.2552139759533,3.0906246e-08,"DM","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"58","Q7Z7N9","TMEM179B","Transmembrane protein 179B",17.2148807416847,0.0013299284,"DM",NA,NA,"Unclassified",NA,"Unclassified"
"59","P05026","ATP1B1","Sodium/potassium-transporting ATPase subunit beta-1",16.7958377297609,4.4314752e-06,"PE","PC00068","PC00068","primary active transporter","PC00227","transporter"
"60","Q71DI3","HIST3H3","Histone H3.2",16.5475724481967,0.0047139488,"DM","PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"61","P49585","PCYT1A","Choline-phosphate cytidylyltransferase A",16.1800687846428,2.4672568e-06,"DM","PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"62","P01889","HLA-B","HLA class I histocompatibility antigen, B-7 alpha chain",16.1524852399621,1.1809072e-05,"PE","PC00149","PC00149","major histocompatibility complex protein","PC00090","defense/immunity protein"
"63","P23528","CFL1","Cofilin-1",15.7993073086199,7.7235185e-10,"PE","PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"64","P61224","RAP1B","Ras-related protein Rap-1b",15.7904557945854,9.0651065e-07,"PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"65","P35222","CTNNB1","Catenin beta-1",15.7448893246953,1.6687147e-06,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"66","Q14126","DSG2","Desmoglein-2",15.2393803368944,1.2292238e-05,"PE","PC00057","PC00057","cadherin","PC00069","cell adhesion molecule"
"67","P10809","HSPD1","60 kDa heat shock protein, mitochondrial",15.2376566641054,2.0621319e-07,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"68","Q9NQC3","RTN4","Reticulon-4",15.2307649301096,0.00042593063,"PE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"69","P08754","GNAI3","Guanine nucleotide-binding protein G(k) subunit alpha",15.1706254483814,5.5454082e-05,"PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"70","O43707","ACTN4","Alpha-actinin-4",15.1564673150321,3.546775e-05,"PE","PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"71","P39656","DDOST","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit",14.8362151228551,2.4108781e-08,"PE","PC00111","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"72","P09382","LGALS1","Galectin-1",14.4491374304257,1.8425985e-06,"PE","PC00102","PC00102","extracellular matrix protein","PC00102","extracellular matrix protein"
"73","Q93050","ATP6V0A1","V-type proton ATPase 116 kDa subunit a isoform 1",14.0161086021283,5.2456876e-08,"DM","PC00068","PC00068","primary active transporter","PC00227","transporter"
"74","P61421","ATP6V0D1","V-type proton ATPase subunit d 1",13.9237903267208,1.3481894e-09,"DM","PC00068","PC00068","primary active transporter","PC00227","transporter"
"75","Q9UKX5","ITGA11","Integrin alpha-11",13.8564564320346,4.2463353e-06,"PE","PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"76","P40926","MDH2","Malate dehydrogenase, mitochondrial",13.8074744311334,1.5357586e-05,"PE","PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"77","Q8IWB7","WDFY1","WD repeat and FYVE domain-containing protein 1",13.7868717952895,4.2427082e-08,"DM","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"78","P54709","ATP1B3","Sodium/potassium-transporting ATPase subunit beta-3",13.7037917865582,1.0441013e-05,"PE","PC00068","PC00068","primary active transporter","PC00227","transporter"
"79","P04843","RPN1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1",13.5556062794854,6.0645666e-06,"PE","PC00111","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"80","Q8NBS9","TXNDC5","Thioredoxin domain-containing protein 5",13.3267360912704,2.2957458e-06,"PE","PC00072","PC00072","chaperone","PC00072","chaperone"
"81","P62873","GNB1","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1",13.2891233463224,0.00025028447,"PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"82","P06733","ENO1","Alpha-enolase",13.2182439307184,2.7790491e-05,"PE","PC00144","PC00144","lyase","PC00262","metabolite interconversion enzyme"
"83","P61026","RAB10","Ras-related protein Rab-10",13.1189269619029,0.0001134568,"DM|PE","PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"84","P19022","CDH2","Cadherin-2",12.9130663610537,8.356605e-07,"PE","PC00057","PC00057","cadherin","PC00069","cell adhesion molecule"
"85","Q9UBR2","CTSZ","Cathepsin Z",12.6794317988618,0.00012236668,"PE","PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"86","O00159","MYO1C","Unconventional myosin-Ic",12.3972176651715,1.949534e-07,"PE","PC00040","PC00085","actin or actin-binding cytoskeletal protein","PC00041","cytoskeletal protein"
"87","Q9Y490","TLN1","Talin-1",12.3555720500378,7.2675037e-05,"PE","PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"88","P14314","PRKCSH","Glucosidase 2 subunit beta",11.9417864515294,1.1087896e-05,"PE","PC00095","PC00095","protein-binding activity modulator","PC00095","protein-binding activity modulator"
"89","P35052","GPC1","Glypican-1",11.9230564198352,1.2027225e-06,"PE","PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"90","P25705","ATP5A1","ATP synthase subunit alpha, mitochondrial",11.7281785483185,5.8290972e-08,"PE","PC00068","PC00068","primary active transporter","PC00227","transporter"
"91","Q07065","CKAP4","Cytoskeleton-associated protein 4",11.4817189512538,2.9293392e-07,"PE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"92","P53985","SLC16A1","Monocarboxylate transporter 1",11.4134234890635,8.2660124e-05,"PE","PC00227","PC00227","transporter","PC00227","transporter"
"93","P15291","B4GALT1","Beta-1,4-galactosyltransferase 1",11.333047313899,6.9361363e-07,"DM","PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"94","O95573","ACSL3","Long-chain-fatty-acid--CoA ligase 3",11.0195618061544,1.9139031e-06,"PE","PC00142","PC00142","ligase","PC00262","metabolite interconversion enzyme"
"95","P05141","SLC25A5","ADP/ATP translocase 2",10.8568669822646,4.0081295e-06,"PE","PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"96","P19105","MYL12A","Myosin regulatory light chain 12A",10.8451596094412,0.0044542896,"PE","PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"97","Q15907","RAB11B","Ras-related protein Rab-11B",10.7851667687247,0.001950135,"DM","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"98","P26006","ITGA3","Integrin alpha-3",10.7422028155586,9.0135163e-06,"PE","PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"99","P27658","COL8A1","Collagen alpha-1(VIII) chain",10.7086470847358,8.5313566e-08,"DM|RE","PC00103","PC00103","extracellular matrix structural protein","PC00102","extracellular matrix protein"
"100","P37802","TAGLN2","Transgelin-2",10.6760683113597,4.7583444e-06,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"101","P30040","ERP29","Endoplasmic reticulum resident protein 29",10.6615783764901,2.3843151e-07,"PE","PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"102","P27105","STOM","Erythrocyte band 7 integral membrane protein",10.6217993388407,7.9622032e-06,"PE","PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"103","P51149","RAB7A","Ras-related protein Rab-7a",10.4247141083841,0.0013253802,"DM|PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"104","P62879","GNB2","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2",10.2819487537873,0.00025198425,"PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"105","Q68DH5","LMBRD2","LMBR1 domain-containing protein 2",10.2359670993116,4.2283018e-06,"DM","PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"106","P13797","PLS3","Plastin-3",10.1847750492902,1.1531149e-06,"PE","PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"107","Q96BM9","ARL8A","ADP-ribosylation factor-like protein 8A",10.1837129717634,0.0011473644,"DM","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"108","Q15084","PDIA6","Protein disulfide-isomerase A6",9.96672143057838,1.6287865e-07,"PE","PC00072","PC00072","chaperone","PC00072","chaperone"
"109","P51659","HSD17B4","Peroxisomal multifunctional enzyme type 2",9.7888926994962,2.1276687e-06,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"110","P49411","TUFM","Elongation factor Tu, mitochondrial",9.73250481929762,9.5553469e-07,"PE","PC00263","PC00263","translational protein","PC00263","translational protein"
"111","P12235","SLC25A4","ADP/ATP translocase 2, N-terminally processed",9.64784318502442,0.023356916,"PE","PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"112","Q9BV40","VAMP8","Vesicle-associated membrane protein 8",9.45091024449211,0.01716313,"DM","PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"113","P47712","PLA2G4A","Cytosolic phospholipase A2",9.2350128520672,4.529002e-05,"DM|PE","PC00186","PC00262","hydrolase","PC00121","metabolite interconversion enzyme"
"114","P31327","CPS1","Carbamoyl-phosphate synthase [ammonia], mitochondrial",9.21720351238952,0.00031607461,"PE","PC00142","PC00142","ligase","PC00262","metabolite interconversion enzyme"
"115","P68366","TUBA4A","Tubulin alpha-4A chain",9.19826011879991,4.1472638e-05,"PE","PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"116","P06576","ATP5B","ATP synthase subunit beta, mitochondrial",9.12939632997766,1.604406e-08,"PE","PC00068","PC00068","primary active transporter","PC00227","transporter"
"117","P55809","OXCT1","Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",9.11956835607802,8.2681181e-06,"PE","PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"118","Q9BTU6","PI4K2A","Phosphatidylinositol 4-kinase type 2-alpha",9.02145407783312,1.1650541e-06,"DM","PC00137","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"119","P07099","EPHX1","Epoxide hydrolase 1",8.93167705182228,1.8050454e-05,"PE","PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"120","Q16658","FSCN1","Fascin",8.89488999440593,7.5121079e-06,"PE","PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"121","Q96QE2","SLC2A13","Proton myo-inositol cotransporter",8.86341079829573,1.0674542e-07,"DM","PC00227","PC00227","transporter","PC00227","transporter"
"122","Q9BSJ8","ESYT1","Extended synaptotagmin-1",8.81833121780636,4.4259368e-06,"PE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"123","Q00325","SLC25A3","Phosphate carrier protein, mitochondrial",8.79703461462082,7.8230842e-05,"PE","PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"124","P08962","CD63","CD63 antigen",8.73692931707936,0.0033460238,"DM","PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"125","O15427","SLC16A3","Monocarboxylate transporter 4",8.48514699536572,0.00018279382,"PE","PC00227","PC00227","transporter","PC00227","transporter"
"126","O15127","SCAMP2","Secretory carrier-associated membrane protein 2",8.38842625941538,8.7650442e-06,"DM|PE","PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"127","Q8WV19","SFT2D1","Vesicle transport protein SFT2A",8.29176975535154,0.0021501787,"DM","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"128","P13639","EEF2","Elongation factor 2",8.17827639451175,0.0018077182,"PE","PC00222","PC00263","translation factor","PC00223","translational protein"
"129","Q13393","PLD1","Phospholipase D1",8.14100866338483,8.7464778e-06,"DM","PC00186","PC00262","hydrolase","PC00121","metabolite interconversion enzyme"
"130","P15328","FOLR1","Folate receptor alpha",8.05509812556547,3.0828494e-05,"PE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"131","Q01082","SPTBN1","Spectrin beta chain, non-erythrocytic 1",8.02045661651866,1.4834461e-05,"PE","PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"132","P50897","PPT1","Palmitoyl-protein thioesterase 1",7.87083916864352,3.3694192e-05,"PE","PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"133","Q9NZM1","MYOF","Myoferlin",7.75478374285368,4.1705105e-05,"DM|PE",NA,NA,"Unclassified",NA,"Unclassified"
"134","P34897","SHMT2","Serine hydroxymethyltransferase, mitochondrial",7.59109415145361,1.397624e-06,"PE","PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"135","P29992","GNA14","Guanine nucleotide-binding protein subunit alpha-11",7.47208955596534,0.00038745851,"PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"136","Q96AG4","LRRC59","Leucine-rich repeat-containing protein 59",7.42208574816848,1.5359614e-05,"PE","PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"137","O75947","ATP5H","ATP synthase subunit d, mitochondrial",7.40725090827336,0.00037651096,"PE","PC00068","PC00068","primary active transporter","PC00227","transporter"
"138","P31040","SDHA","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",7.40384538313466,2.1868871e-05,"PE","PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"139","Q9NVJ2","ARL8B","ADP-ribosylation factor-like protein 8B",7.36751818870365,2.9570794e-05,"DM",NA,NA,"Unclassified",NA,"Unclassified"
"140","P13987","CD59","CD59 glycoprotein",7.36593769443911,0.00089133409,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"141","P45880","VDAC2","Voltage-dependent anion-selective channel protein 2",7.35945190524836,4.7019585e-06,"PE","PC00133","PC00133","ion channel","PC00227","transporter"
"142","P78371","CCT2","T-complex protein 1 subunit beta",7.32066015945491,0.00044516602,"PE","PC00073","PC00073","chaperonin","PC00072","chaperone"
"143","P51148","RAB5C","Ras-related protein Rab-5C",7.31070432242972,0.00073912111,"DM|PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"144","P61006","RAB8A","Ras-related protein Rab-8A",7.28601291221451,1.4996247e-05,"DM|PE","PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"145","P62979","RPS27A","Ubiquitin-40S ribosomal protein S27a",7.24677816450919,1.2691391e-05,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"146","P13667","PDIA4","Protein disulfide-isomerase A4",7.239278632258,1.5245355e-05,"PE","PC00072","PC00072","chaperone","PC00072","chaperone"
"147","Q9UJZ1","STOML2","Stomatin-like protein 2, mitochondrial",7.19965745154175,9.139123e-06,"PE","PC00227","PC00227","transporter","PC00227","transporter"
"148","Q9NR31;Q9Y6B6","SAR1A;SAR1B","GTP-binding protein SAR1a;GTP-binding protein SAR1b",7.17212545000238,0.018655436,"PE","PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"149","P35232","PHB","Prohibitin",7.12136140100741,2.7921529e-05,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"150","P07339","CTSD","Cathepsin D",7.07961497055102,0.0014833403,"PE","PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"151","O94925","GLS","Glutaminase kidney isoform, mitochondrial",7.06797311619837,2.9104143e-05,"PE","PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"152","O00469","PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",7.04289767393489,0.00032619172,"PE","PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"153","P62491","RAB11A","Ras-related protein Rab-11A",6.99697328491203,1.5304093e-05,"PE","PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"154","P16615","ATP2A2","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2",6.84613166238055,0.0010055043,"PE","PC00068","PC00068","primary active transporter","PC00227","transporter"
"155","P21796","VDAC1","Voltage-dependent anion-selective channel protein 1",6.84242366076957,0.00010647601,"PE","PC00133","PC00133","ion channel","PC00227","transporter"
"156","Q99623","PHB2","Prohibitin-2",6.73542237471495,0.0012867381,"PE",NA,NA,"Unclassified",NA,"Unclassified"
"157","Q13162","PRDX4","Peroxiredoxin-4",6.69161005194861,6.7758469e-05,"PE","PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"158","O00161","SNAP23","Synaptosomal-associated protein 23",6.65378292204338,4.7023159e-06,"PE","PC00034","PC00034","SNARE protein","PC00150","membrane traffic protein"
"159","P55060","CSE1L","Exportin-2",6.56674266047919,0.0055076447,"PE","PC00227","PC00227","transporter","PC00227","transporter"
"160","P19440","GGT1","Gamma-glutamyltranspeptidase 1",6.54216533175581,0.0082098339,"PE","PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"161","O43852","CALU","Calumenin",6.47423974632949,1.6132108e-05,"PE","PC00061","PC00061","calmodulin-related","PC00060","calcium-binding protein"
"162","P63104","YWHAZ","14-3-3 protein zeta/delta",6.43896396144135,0.00059096469,"PE","PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"163","P11021","HSPA5","78 kDa glucose-regulated protein",6.4041128086079,2.805333e-08,"PE","PC00027","PC00027","Hsp70 family chaperone","PC00072","chaperone"
"164","O75390","CS","Citrate synthase, mitochondrial",6.35845554212527,5.1595598e-05,"PE","PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"165","P04083","ANXA1","Annexin A1",6.3559868307292,0.00017829084,"PE","PC00060","PC00060","calcium-binding protein","PC00060","calcium-binding protein"
