"","so_PID","so_NAME","so_SHORTNAME","so_productWave","so_colorWave","so_allTWave","so_ratioWave","so_keyW","class_id","CLASS_ID","CLASS_TERM","UCLASS_ID","UCLASS_TERM"
"31","Q9BTU6","Phosphatidylinositol 4-kinase type 2-alpha","PI4K2A",9.10701381726956,3,1.1650541e-06,9.02145407783312,825,"PC00137","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"32","Q92928","Ras-related protein Rab-1B;Putative Ras-related protein Rab-1C","RAB1B;RAB1C",8.97041968622784,3,0.0001086136,32.140129305881,848,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"33","Q68DH5","LMBR1 domain-containing protein 2","LMBRD2",8.72940964338836,3,4.2283018e-06,10.2359670993116,683,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"34","O15127","Secretory carrier-associated membrane protein 2","SCAMP2",8.12564590546348,3,8.7650442e-06,8.38842625941538,22,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"35","Q13393","Phospholipase D1","PLD1",8.08337453488001,3,8.7464778e-06,8.14100866338483,594,"PC00186","PC00262","hydrolase","PC00121","metabolite interconversion enzyme"
"36","P11279","Lysosome-associated membrane glycoprotein 1","LAMP1",7.83565887042784,3,0.00019377341,17.423384857991,182,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"37","P61006","Ras-related protein Rab-8A;Ras-related protein Rab-8B","RAB8A",7.68914707653495,3,1.4996247e-05,7.28601291221451,1397,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"38","P61026","Ras-related protein Rab-10","RAB10",7.65874726597865,3,0.0001134568,13.1189269619029,446,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"39","P47712","Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase","PLA2G4A",7.55111144744601,3,4.529002e-05,9.2350128520672,367,"PC00186","PC00262","hydrolase","PC00121","metabolite interconversion enzyme"
"40","Q9NVJ2","ADP-ribosylation factor-like protein 8B","ARL8B",7.41031585158708,3,2.9570794e-05,7.36751818870365,877,NA,NA,"Unclassified",NA,"Unclassified"
"41","Q9NZM1","Myoferlin","MYOF",7.33489735956933,3,4.1705105e-05,7.75478374285368,887,NA,NA,"Unclassified",NA,"Unclassified"
"42","Q8N6T3","ADP-ribosylation factor GTPase-activating protein 1","ARFGAP1",7.33211295072407,3,1.4146538e-05,5.58966946775419,723,"PC00257","PC00095","G-protein modulator","PC00022","protein-binding activity modulator"
"43","Q8NBN3","Transmembrane protein 87A","TMEM87A",7.32629880991062,3,1.1842611e-05,5.27710435882898,726,"PC00021","PC00021","G-protein coupled receptor","PC00197","transmembrane signal receptor"
"44","Q7Z7N9","Transmembrane protein 179B","TMEM179B",6.9817561086894,3,0.0013299284,17.2148807416847,707,NA,NA,"Unclassified",NA,"Unclassified"
"45","P50914","60S ribosomal protein L14","RPL14",6.95649124046359,3,1.3205048e-05,4.21996542088516,392,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"46","Q9UP95","Solute carrier family 12 member 4","SLC12A4",6.7127455996131,3,4.1175208e-05,5.01893598117557,921,"PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"47","Q9Y2T3","Guanine deaminase","GDA",6.53731515978229,3,4.1544827e-05,4.45625590037112,932,"PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"48","P61020","Ras-related protein Rab-5B","RAB5B",6.41584449996564,3,4.5024615e-05,4.19681396164444,445,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"49","Q71DI3","Histone H3.2;Histone H3.1t;Histone H3.3;Histone H3.1;Histone H3;Histone H3.3C","HIST2H3A;HIST3H3;H3F3A;HIST1H3A;HIST2H3PS2;H3F3C",6.37516277722,3,0.0047139488,16.5475724481967,520,"PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"50","Q96BM9","ADP-ribosylation factor-like protein 8B;ADP-ribosylation factor-like protein 8A","ARL8B;ARL8A",6.28849031469347,3,0.0011473644,10.1837129717634,1974,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"51","Q99878","Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 2-A;Histone H2A type 1-D;Histone H2A type 1;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E","HIST1H2AJ;HIST1H2AH;H2AFJ;HIST2H2AC;HIST2H2AA3;HIST1H2AD;HIST1H2AG;HIST1H2AC;HIST3H2A;HIST1H2AB",6.26216429951396,3,0.026283512,25.6670864746644,166,"PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"52","P51149","Ras-related protein Rab-7a","RAB7A",6.25959547329187,3,0.0013253802,10.4247141083841,397,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"53","Q15907","Ras-related protein Rab-11B","RAB11B",6.14091200635479,3,0.001950135,10.7851667687247,653,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"54","P51148","Ras-related protein Rab-5C","RAB5C",6.00129487925086,3,0.00073912111,7.31070432242972,396,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"55","P15924","Desmoplakin","DSP",5.76440545657637,3,0.00056290958,5.71535909975581,209,"PC00129","PC00129","intermediate filament","PC00085","cytoskeletal protein"
"56","Q8WV19","Vesicle transport protein SFT2A","SFT2D1",5.71920558632031,3,0.0021501787,8.29176975535154,746,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"57","Q969S8","Histone deacetylase 10","HDAC10",5.64963078607076,3,0.0010000729,6.27520458929987,771,NA,NA,"Unclassified",NA,"Unclassified"
"58","P08962","CD63 antigen","CD63",5.60259733866694,3,0.0033460238,8.73692931707936,157,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"59","P05089","Arginase-1","ARG1",5.51245191801555,3,0.00029559256,3.95354132925102,119,"PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"60","Q99805","Transmembrane 9 superfamily member 2","TM9SF2",5.38577541617338,3,0.00026148398,3.4899844272774,810,"PC00227","PC00227","transporter","PC00227","transporter"
"61","P06730","Eukaryotic translation initiation factor 4E","EIF4E",5.35750192738786,3,0.00075351313,4.7062986011412,133,"PC00223","PC00223","translation factor","PC00263","translational protein"
"62","Q9NRX5","Serine incorporator 1","SERINC1",5.32230069788975,3,0.0017800898,5.9493940068842,872,"PC00095","PC00095","protein-binding activity modulator","PC00095","protein-binding activity modulator"
"63","Q10471","Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form","GALNT2",5.28523444615797,3,0.0015063224,5.51420309069469,572,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"64","Q13126","S-methyl-5-thioadenosine phosphorylase","MTAP",5.01619660948899,3,0.0013930283,4.4696337171708,583,"PC00172","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"65","Q9BV40","Vesicle-associated membrane protein 8","VAMP8",5.00585679529631,3,0.01716313,9.4509102444921,831,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"66","P20339","Ras-related protein Rab-5A","RAB5A",4.63477797547799,3,0.0049398118,5.0227877182627,228,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"67","Q13641","Trophoblast glycoprotein","TPBG",4.63313717586308,3,0.0034548161,4.50510941366813,601,NA,NA,"Unclassified",NA,"Unclassified"
"68","O43657","Tetraspanin-6","TSPAN6",4.45094107581752,3,0.0049347747,4.42049650716906,39,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"69","P04075","Fructose-bisphosphate aldolase A","ALDOA",4.35241135048591,3,0.0042251227,3.94015008278001,1120,"PC00144","PC00144","lyase","PC00262","metabolite interconversion enzyme"
"70","P13473","Lysosome-associated membrane glycoprotein 2","LAMP2",4.27286133000826,3,0.0029572092,3.34902992906122,191,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"71","Q92930","Ras-related protein Rab-8A;Ras-related protein Rab-8B","RAB8A;RAB8B",4.15402349640136,3,0.022045106,5.64641685063834,443,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"72","Q6IAA8","Ragulator complex protein LAMTOR1","LAMTOR1",4.12850998984856,3,0.015198534,4.9599021757816,685,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"73","P62273","40S ribosomal protein S29","RPS29",4.07850758491927,3,0.0075619449,3.88291757887229,474,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"74","P46778","60S ribosomal protein L21","RPL21",4.01928421089529,3,0.0052973973,3.3481093645614,361,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"75","P55265","Double-stranded RNA-specific adenosine deaminase","ADAR",3.90990476677989,3,0.0048428588,3.02095881182239,1383,"PC00031","PC00031","RNA metabolism protein","PC00031","RNA metabolism protein"
"76","P62917","60S ribosomal protein L8","RPL8",3.88846990433962,3,0.0036591268,2.73558101981387,499,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"77","P31025","Lipocalin-1","LCN1",3.88284736650382,3,0.025019728,4.86058477531713,295,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"78","O60664","Perilipin-3","PLIN3",3.87543959215388,3,0.0069320141,3.28592375552112,55,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"79","P11233","Ras-related protein Ral-A;Ras-related protein Ral-B","RALA;RALB",3.85816265942136,3,0.0039521684,2.74156187443725,181,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"80","P06753","Tropomyosin alpha-3 chain","TPM3",3.78781684010296,3,0.030878257,4.8482684820023,136,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"81","P31944","Caspase-14;Caspase-14 subunit p17, mature form;Caspase-14 subunit p10, mature form;Caspase-14 subunit p20, intermediate form;Caspase-14 subunit p8, intermediate form","CASP14",3.78477250523371,3,0.0072193136,3.12372717785881,302,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"82","Q15645","Pachytene checkpoint protein 2 homolog","TRIP13",3.70591316742204,3,0.013037046,3.53348638109688,647,"PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"83","P11717","Cation-independent mannose-6-phosphate receptor","IGF2R",3.67583479226849,3,0.0046448167,2.53643708625689,185,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"84","Q9P258","Protein RCC2","RCC2",3.66138563151748,3,0.025369329,4.18635502769802,895,NA,NA,"Unclassified",NA,"Unclassified"
"85","Q99873","Protein arginine N-methyltransferase 1","PRMT1",3.63641402486356,3,0.015182214,3.52530753008359,814,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"86","Q9BZG1","Ras-related protein Rab-34","RAB34",3.62002800387397,3,0.0070680832,2.768931916222,843,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"87","P67936","Tropomyosin alpha-4 chain","TPM4",3.58309758649969,3,0.042617559,4.63537542875544,514,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"88","P62906","60S ribosomal protein L10a","RPL10A",3.36802431568718,3,0.015854798,2.96531436225156,497,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"89","P05387","60S acidic ribosomal protein P2","RPLP2",3.30439982516813,3,0.022467759,3.15132725952372,125,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"90","P52272","Heterogeneous nuclear ribonucleoprotein M","HNRNPM",3.27435816867763,3,0.038543604,3.63085785417176,407,NA,NA,"Unclassified",NA,"Unclassified"
"91","P67809","Nuclease-sensitive element-binding protein 1","YBX1",3.26701021193746,3,0.017286563,2.83769375130893,513,NA,NA,"Unclassified",NA,"Unclassified"
"92","P62277","40S ribosomal protein S13","RPS13",3.2662424266216,3,0.026949609,3.24179959873954,475,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"93","P41252","Isoleucine--tRNA ligase, cytoplasmic","IARS",3.24656093038714,3,0.025413416,3.14187103550413,343,"PC00047","PC00047","aminoacyl-tRNA synthetase","PC00263","translational protein"
"94","P01040","Cystatin-A;Cystatin-A, N-terminally processed","CSTA",3.21079023442871,3,0.010811906,2.36968044382564,94,"PC00191","PC00191","protease inhibitor","PC00095","protein-binding activity modulator"
"95","P36578","60S ribosomal protein L4","RPL4",3.20333390221822,3,0.012560399,2.46628125870475,323,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"96","P61289","Proteasome activator complex subunit 3","PSME3",3.09166603838956,3,0.010045497,2.13411423427723,454,NA,NA,"Unclassified",NA,"Unclassified"
"97","Q9UHB9","Signal recognition particle subunit SRP68","SRP68",3.03619515949718,3,0.039769039,3.10746960657975,907,"PC00031","PC00031","RNA metabolism protein","PC00031","RNA metabolism protein"
"98","P31153","S-adenosylmethionine synthase isoform type-2","MAT2A",3.0175188025484,3,0.028917095,2.78692369380073,298,"PC00174","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"99","Q96S97","Myeloid-associated differentiation marker","MYADM",2.99894807411683,3,0.015716966,2.2899510640055,802,NA,NA,"Unclassified",NA,"Unclassified"
"100","Q9UBV8","Peflin","PEF1",2.97385699450493,3,0.046577547,3.12105470686037,901,NA,NA,"Unclassified",NA,"Unclassified"
"101","Q13085","Acetyl-CoA carboxylase 1;Biotin carboxylase","ACACA",2.94973202775016,3,0.019161124,2.34917309613385,582,NA,NA,"Unclassified",NA,"Unclassified"
"102","P49327","Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase","FASN",2.87117264714948,3,0.016578915,2.12981591507696,380,NA,NA,"Unclassified",NA,"Unclassified"
"103","Q8TB96","T-cell immunomodulatory protein","ITFG1",2.82674015309345,3,0.016478328,2.0614411233936,739,NA,NA,"Unclassified",NA,"Unclassified"
"104","P22314","Ubiquitin-like modifier-activating enzyme 1","UBA1",2.81796185449088,3,0.036747579,2.60844597848342,241,"PC00234","PC00234","ubiquitin-protein ligase","PC00260","protein modifying enzyme"
"105","Q9Y230","RuvB-like 2","RUVBL2",2.79781698653896,3,0.03582998,2.55276995047864,924,NA,NA,"Unclassified",NA,"Unclassified"
"106","Q96DG6","Carboxymethylenebutenolidase homolog","CMBL",2.73734976697506,3,0.048160315,2.67592758738784,779,NA,NA,"Unclassified",NA,"Unclassified"
"107","Q9UL25","Ras-related protein Rab-21","RAB21",2.72558310803565,3,0.023489034,2.13827619610476,915,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"108","P06702","Protein S100-A9","S100A9",2.62917875210273,3,0.038694881,2.32435796552442,132,"PC00061","PC00061","calmodulin-related","PC00060","calcium-binding protein"
"109","P35659","Protein DEK","DEK",2.5710498404166,3,0.047677357,2.37736269904816,322,"PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"110","Q5T749","Keratinocyte proline-rich protein","KPRP",2.5194215742191,3,0.04167584,2.2027502742075,677,NA,NA,"Unclassified",NA,"Unclassified"
"111","Q9NX40","OCIA domain-containing protein 1","OCIAD1",2.38359702587436,3,0.04333533,2.02853635364656,1988,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
