"so_SHORTNAME","so_NAME","so_PID","so_ratioWave","so_allTWave","Entry","Entry.Name","Protein.names","Gene.Names","Transmembrane","Length","Function..CC.","Subcellular.location..CC.","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","tms"
"LCN1","Lipocalin-1","P31025",4.86058477531713,0.025019728,"P31025","LCN1_HUMAN","Lipocalin-1 (Tear lipocalin) (Tlc) (Tear prealbumin) (TP) (von Ebner gland protein) (VEG protein)","LCN1 VEGP","",176,"FUNCTION: Could play a role in taste reception. Could be necessary for the concentration and delivery of sapid molecules in the gustatory system. Can bind various ligands, with chemical structures ranging from lipids and retinoids to the macrocyclic antibiotic rifampicin and even to microbial siderophores. Exhibits an extremely wide ligand pocket.","SUBCELLULAR LOCATION: Secreted.","proteolysis [GO:0006508]; response to stimulus [GO:0050896]; retina homeostasis [GO:0001895]; sensory perception of taste [GO:0050909]","extracellular region [GO:0005576]; extracellular space [GO:0005615]",0
"LDHA","L-lactate dehydrogenase A chain","P00338",2.43851233640738,0.058445696,"P00338","LDHA_HUMAN","L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)","LDHA PIG19","",332,"FUNCTION: Interconverts simultaneously and stereospecifically pyruvate and lactate with concomitant interconversion of NADH and NAD(+). {ECO:0000269|PubMed:11276087}.","SUBCELLULAR LOCATION: Cytoplasm.","glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]; substantia nigra development [GO:0021762]","cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; oxidoreductase complex [GO:1990204]",0
"LDHB","L-lactate dehydrogenase B chain","P07195",1.31426253040411,0.22069263,"P07195","LDHB_HUMAN","L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)","LDHB","",334,"FUNCTION: Interconverts simultaneously and stereospecifically pyruvate and lactate with concomitant interconversion of NADH and NAD(+). {ECO:0000269|PubMed:27618187}.","SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion inner membrane {ECO:0000269|PubMed:27618187}; Peripheral membrane protein {ECO:0000305}.","lactate metabolic process [GO:0006089]; NAD metabolic process [GO:0019674]; pyruvate metabolic process [GO:0006090]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; oxidoreductase complex [GO:1990204]",0
"LEPRE1","Prolyl 3-hydroxylase 1","Q32P28",0.796580345328073,0.78174371,"Q32P28","P3H1_HUMAN","Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)","P3H1 GROS1 LEPRE1 PSEC0109","",736,"FUNCTION: Basement membrane-associated chondroitin sulfate proteoglycan (CSPG). Has prolyl 3-hydroxylase activity catalyzing the post-translational formation of 3-hydroxyproline in -Xaa-Pro-Gly- sequences in collagens, especially types IV and V. May be involved in the secretory pathway of cells. Has growth suppressive activity in fibroblasts. {ECO:0000269|PubMed:10951563}.","SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum {ECO:0000269|PubMed:19088120}.; SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q9R1J8}. Note=Secreted into the extracellular matrix as a chondroitin sulfate proteoglycan (CSPG). {ECO:0000250|UniProtKB:Q9R1J8}.","bone development [GO:0060348]; chaperone-mediated protein folding [GO:0061077]; collagen metabolic process [GO:0032963]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of post-translational protein modification [GO:1901874]; positive regulation of neuron projection development [GO:0010976]; protein folding [GO:0006457]; protein hydroxylation [GO:0018126]; protein stabilization [GO:0050821]; regulation of protein secretion [GO:0050708]","cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]",0
"LGALS1","Galectin-1","P09382",0.285322503055017,0.15308279,"P09382","LEG1_HUMAN","Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)","LGALS1","",135,"FUNCTION: Lectin that binds beta-galactoside and a wide array of complex carbohydrates. Plays a role in regulating apoptosis, cell proliferation and cell differentiation. Inhibits CD45 protein phosphatase activity and therefore the dephosphorylation of Lyn kinase. Strong inducer of T-cell apoptosis. {ECO:0000269|PubMed:14617626, ECO:0000269|PubMed:18796645, ECO:0000269|PubMed:19497882, ECO:0000269|PubMed:24945728}.","SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14617626}. Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:32272059}. Note=Can be secreted; the secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.","apoptotic process [GO:0006915]; cell-cell adhesion [GO:0098609]; myoblast differentiation [GO:0045445]; plasma cell differentiation [GO:0002317]; positive regulation of apoptotic process [GO:0043065]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of inflammatory response [GO:0050729]; positive regulation of viral entry into host cell [GO:0046598]; regulation of apoptotic process [GO:0042981]; T cell costimulation [GO:0031295]","collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; galectin complex [GO:1990724]",0
"LIMA1","LIM domain and actin-binding protein 1","Q9UHB6",1.03298295119392,0.92348307,"Q9UHB6","LIMA1_HUMAN","LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)","LIMA1 EPLIN SREBP3 PP624","",759,"FUNCTION: Actin-binding protein involved in actin cytoskeleton regulation and dynamics. Increases the number and size of actin stress fibers and inhibits membrane ruffling. Inhibits actin filament depolymerization. Bundles actin filaments, delays filament nucleation and reduces formation of branched filaments (PubMed:12566430). Plays a role in cholesterol homeostasis. Influences plasma cholesterol levels through regulation of intestinal cholesterol absorption. May act as a scaffold protein by regulating NPC1L1 transportation, an essential protein for cholesterol absorption, to the plasma membrane by recruiting MYO5B to NPC1L1, and thus facilitates cholesterol uptake (By similarity). {ECO:0000250|UniProtKB:Q9ERG0, ECO:0000269|PubMed:12566430}.","SUBCELLULAR LOCATION: Cytoplasm. Cell junction, focal adhesion {ECO:0000269|PubMed:10618726, ECO:0000269|PubMed:24694988}. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:10618726}. Cell membrane {ECO:0000250|UniProtKB:Q9ERG0}. Note=Expressed in the brush border membrane of the small intestine and colocalizes with NPC1L1 and MYO5B (PubMed:29880681). Colocalizes with PXN at focal adhesions in mesangial cells (PubMed:24694988). Colocalizes with actin stress fibers in quiescent cells. PDGF stimulation induced disassembly of stress fibers and formation of peripheral and dorsal ruffles, where LIMA1 is relocalized (By similarity). {ECO:0000250|UniProtKB:Q9ERG0, ECO:0000269|PubMed:24694988, ECO:0000269|PubMed:29880681}.","actin filament bundle assembly [GO:0051017]; cell migration [GO:0016477]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; intestinal cholesterol absorption [GO:0030299]; negative regulation of actin filament depolymerization [GO:0030835]; ruffle organization [GO:0031529]","actin cytoskeleton [GO:0015629]; brush border membrane [GO:0031526]; cleavage furrow [GO:0032154]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; stress fiber [GO:0001725]",0
"LIN7C","Protein lin-7 homolog C","Q9NUP9",0.902815294608424,0.82910258,"Q9NUP9","LIN7C_HUMAN","Protein lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3)","LIN7C MALS3 VELI3","",197,"FUNCTION: Plays a role in establishing and maintaining the asymmetric distribution of channels and receptors at the plasma membrane of polarized cells. Forms membrane-associated multiprotein complexes that may regulate delivery and recycling of proteins to the correct membrane domains. The tripartite complex composed of LIN7 (LIN7A, LIN7B or LIN7C), CASK and APBA1 associates with the motor protein KIF17 to transport vesicles containing N-methyl-D-aspartate (NMDA) receptor subunit NR2B along microtubules (By similarity). This complex may have the potential to couple synaptic vesicle exocytosis to cell adhesion in brain. Ensures the proper localization of GRIN2B (subunit 2B of the NMDA receptor) to neuronal postsynaptic density and may function in localizing synaptic vesicles at synapses where it is recruited by beta-catenin and cadherin. Required to localize Kir2 channels, GABA transporter (SLC6A12) and EGFR/ERBB1, ERBB2, ERBB3 and ERBB4 to the basolateral membrane of epithelial cells. {ECO:0000250|UniProtKB:O88952}.","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12967566}; Peripheral membrane protein {ECO:0000269|PubMed:12967566}. Basolateral cell membrane {ECO:0000269|PubMed:12967566}; Peripheral membrane protein {ECO:0000269|PubMed:12967566}. Cell junction {ECO:0000250}. Postsynaptic density membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell junction, tight junction {ECO:0000250}. Note=Mainly basolateral in renal epithelial cells. {ECO:0000250}.","exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; morphogenesis of an epithelial sheet [GO:0002011]; neurotransmitter secretion [GO:0007269]; protein localization to basolateral plasma membrane [GO:1903361]; protein transport [GO:0015031]","basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]; MPP7-DLG1-LIN7 complex [GO:0097025]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; presynapse [GO:0098793]; synapse [GO:0045202]",0
"LMBRD2","LMBR1 domain-containing protein 2","Q68DH5",10.2359670993116,4.2283018e-06,"Q68DH5","LMBD2_HUMAN","G-protein coupled receptor-associated protein LMBRD2 (LMBR1 domain-containing protein 2)","LMBRD2","TRANSMEM 6..21; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 33..53; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 106..126; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 151..171; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 388..408; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 433..453; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 474..494; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 522..542; /note=""Helical""; /evidence=""ECO:0000255""",695,"FUNCTION: Recruited to ligand-activated beta-2 adrenergic receptor/ADRB2, it negatively regulates the adrenergic receptor signaling pathway (PubMed:28388415). May also regulate other G-protein coupled receptors including type-1 angiotensin II receptor/AGTR1 (Probable). {ECO:0000269|PubMed:28388415, ECO:0000305|PubMed:28388415}.","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:28388415}; Multi-pass membrane protein {ECO:0000255}.","adrenergic receptor signaling pathway [GO:0071875]","membrane [GO:0016020]; plasma membrane [GO:0005886]",9
"LMNA","Prelamin-A/C","P02545",0.766408594185922,0.51958972,"P02545","LMNA_HUMAN","Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]","LMNA LMN1","",664,"FUNCTION: Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin (PubMed:10080180, PubMed:10580070, PubMed:10587585, PubMed:10814726, PubMed:11799477, PubMed:12075506, PubMed:12927431, PubMed:15317753, PubMed:18551513, PubMed:18611980, PubMed:22431096, PubMed:23666920, PubMed:31548606). Lamin A and C are present in equal amounts in the lamina of mammals (PubMed:10080180, PubMed:10580070, PubMed:10587585, PubMed:10814726, PubMed:11799477, PubMed:12075506, PubMed:12927431, PubMed:15317753, PubMed:18551513, PubMed:18611980, PubMed:22431096, PubMed:23666920, PubMed:31548606). Recruited by DNA repair proteins XRCC4 and IFFO1 to the DNA double-strand breaks (DSBs) to prevent chromosome translocation by immobilizing broken DNA ends (PubMed:31548606). Plays an important role in nuclear assembly, chromatin organization, nuclear membrane and telomere dynamics. Required for normal development of peripheral nervous system and skeletal muscle and for muscle satellite cell proliferation (PubMed:10080180, PubMed:10814726, PubMed:11799477, PubMed:18551513, PubMed:22431096). Required for osteoblastogenesis and bone formation (PubMed:12075506, PubMed:15317753, PubMed:18611980). Also prevents fat infiltration of muscle and bone marrow, helping to maintain the volume and strength of skeletal muscle and bone (PubMed:10587585). Required for cardiac homeostasis (PubMed:10580070, PubMed:12927431, PubMed:23666920, PubMed:18611980). {ECO:0000269|PubMed:10080180, ECO:0000269|PubMed:10580070, ECO:0000269|PubMed:10587585, ECO:0000269|PubMed:10814726, ECO:0000269|PubMed:11799477, ECO:0000269|PubMed:12075506, ECO:0000269|PubMed:12927431, ECO:0000269|PubMed:15317753, ECO:0000269|PubMed:18551513, ECO:0000269|PubMed:18611980, ECO:0000269|PubMed:22431096, ECO:0000269|PubMed:23666920, ECO:0000269|PubMed:31548606}.; FUNCTION: Prelamin-A/C can accelerate smooth muscle cell senescence. It acts to disrupt mitosis and induce DNA damage in vascular smooth muscle cells (VSMCs), leading to mitotic failure, genomic instability, and premature senescence. {ECO:0000269|PubMed:20458013}.","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15372542, ECO:0000269|PubMed:31548606}. Nucleus envelope {ECO:0000269|PubMed:29599122}. Nucleus lamina {ECO:0000305|PubMed:10080180}. Nucleus, nucleoplasm. Nucleus matrix {ECO:0000269|PubMed:31548606}. Note=Farnesylation of prelamin-A/C facilitates nuclear envelope targeting and subsequent cleavage by ZMPSTE24/FACE1 to remove the farnesyl group produces mature lamin-A/C, which can then be inserted into the nuclear lamina (PubMed:15317753). EMD is required for proper localization of non-farnesylated prelamin-A/C (PubMed:19323649). {ECO:0000269|PubMed:15317753, ECO:0000269|PubMed:19323649}.; SUBCELLULAR LOCATION: [Isoform C]: Nucleus speckle {ECO:0000269|PubMed:16061563}.","cellular response to hypoxia [GO:0071456]; cellular senescence [GO:0090398]; DNA double-strand break attachment to nuclear envelope [GO:1990683]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; heterochromatin formation [GO:0031507]; muscle organ development [GO:0007517]; negative regulation of cardiac muscle hypertrophy in response to stress [GO:1903243]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of mesenchymal cell proliferation [GO:0072201]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; nuclear envelope organization [GO:0006998]; nuclear migration [GO:0007097]; nuclear pore localization [GO:0051664]; positive regulation of gene expression [GO:0010628]; protein import into nucleus [GO:0006606]; protein localization [GO:0008104]; protein localization to nuclear envelope [GO:0090435]; protein localization to nucleus [GO:0034504]; regulation of cell migration [GO:0030334]; regulation of protein localization to nucleus [GO:1900180]; regulation of protein stability [GO:0031647]; regulation of telomere maintenance [GO:0032204]; ventricular cardiac muscle cell development [GO:0055015]","cytosol [GO:0005829]; intermediate filament [GO:0005882]; lamin filament [GO:0005638]; nuclear envelope [GO:0005635]; nuclear lamina [GO:0005652]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; site of double-strand break [GO:0035861]",0
"LMNB1","Lamin-B1","P20700",0.490090374979377,0.67481321,"P20700","LMNB1_HUMAN","Lamin-B1","LMNB1 LMN2 LMNB","",586,"FUNCTION: Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin. {ECO:0000269|PubMed:28716252, ECO:0000269|PubMed:32910914}.","SUBCELLULAR LOCATION: Nucleus lamina {ECO:0000269|PubMed:28716252, ECO:0000269|PubMed:32910914}.","heterochromatin formation [GO:0031507]; nuclear envelope organization [GO:0006998]; nuclear migration [GO:0007097]; nuclear pore localization [GO:0051664]; protein localization to nuclear envelope [GO:0090435]","lamin filament [GO:0005638]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]; nuclear lamina [GO:0005652]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]",0
"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","P42704",0.751939314949141,0.75005358,"P42704","LPPRC_HUMAN","Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)","LRPPRC LRP130","",1394,"FUNCTION: May play a role in RNA metabolism in both nuclei and mitochondria. In the nucleus binds to HNRPA1-associated poly(A) mRNAs and is part of nmRNP complexes at late stages of mRNA maturation which are possibly associated with nuclear mRNA export. May bind mature mRNA in the nucleus outer membrane. In mitochondria binds to poly(A) mRNA. Plays a role in translation or stability of mitochondrially encoded cytochrome c oxidase (COX) subunits. May be involved in transcription regulation. Cooperates with PPARGC1A to regulate certain mitochondrially encoded genes and gluconeogenic genes and may regulate docking of PPARGC1A to transcription factors. Seems to be involved in the transcription regulation of the multidrug-related genes MDR1 and MVP. Part of a nuclear factor that binds to the invMED1 element of MDR1 and MVP gene promoters. Binds single-stranded DNA (By similarity). {ECO:0000250, ECO:0000269|PubMed:11585913, ECO:0000269|PubMed:12832482, ECO:0000269|PubMed:15081402, ECO:0000269|PubMed:15139850, ECO:0000269|PubMed:15272088, ECO:0000269|PubMed:17050673}.","SUBCELLULAR LOCATION: Mitochondrion. Nucleus, nucleoplasm. Nucleus inner membrane. Nucleus outer membrane. Note=Seems to be predominantly mitochondrial.","mitochondrial RNA catabolic process [GO:0000957]; mitochondrion transport along microtubule [GO:0047497]; mRNA transport [GO:0051028]; negative regulation of mitochondrial RNA catabolic process [GO:0000961]; regulation of mitochondrial translation [GO:0070129]","condensed nuclear chromosome [GO:0000794]; cytoskeleton [GO:0005856]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nuclear inner membrane [GO:0005637]; nuclear outer membrane [GO:0005640]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribonucleoprotein complex [GO:1990904]",0
"LRRC59","Leucine-rich repeat-containing protein 59","Q96AG4",1.06976201739416,0.94091219,"Q96AG4","LRC59_HUMAN","Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34) (p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]","LRRC59 PRO1855","TRANSMEM 245..265; /note=""Helical""; /evidence=""ECO:0000255""",307,"FUNCTION: Required for nuclear import of FGF1, but not that of FGF2. Might regulate nuclear import of exogenous FGF1 by facilitating interaction with the nuclear import machinery and by transporting cytosolic FGF1 to, and possibly through, the nuclear pores. {ECO:0000269|PubMed:22321063}.","SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Endoplasmic reticulum membrane; Single-pass type II membrane protein. Nucleus envelope. Note=Localization in the nuclear envelope depends upon the nuclear import machinery, including KPNB1.","signal transduction [GO:0007165]","cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrial nucleoid [GO:0042645]; nuclear envelope [GO:0005635]",1
"LRRC8A","Volume-regulated anion channel subunit LRRC8A","Q8IWT6",3.27359688664967,0.0077473982,"Q8IWT6","LRC8A_HUMAN","Volume-regulated anion channel subunit LRRC8A (Leucine-rich repeat-containing protein 8A) (HsLRRC8A) (Swelling protein 1)","LRRC8A KIAA1437 LRRC8 SWELL1 UNQ221/PRO247","TRANSMEM 24..47; /note=""Helical""; /evidence=""ECO:0000305|PubMed:30095067, ECO:0000305|PubMed:30127360, ECO:0007744|PDB:5ZSU, ECO:0007744|PDB:6DJB""; TRANSMEM 124..142; /note=""Helical""; /evidence=""ECO:0000305|PubMed:30095067, ECO:0000305|PubMed:30127360, ECO:0007744|PDB:5ZSU, ECO:0007744|PDB:6DJB""; TRANSMEM 265..286; /note=""Helical""; /evidence=""ECO:0000305|PubMed:30095067, ECO:0000305|PubMed:30127360, ECO:0007744|PDB:5ZSU, ECO:0007744|PDB:6DJB""; TRANSMEM 317..341; /note=""Helical""; /evidence=""ECO:0000305|PubMed:30095067, ECO:0000305|PubMed:30127360, ECO:0007744|PDB:5ZSU, ECO:0007744|PDB:6DJB""",810,"FUNCTION: Essential component of the volume-regulated anion channel (VRAC, also named VSOAC channel), an anion channel required to maintain a constant cell volume in response to extracellular or intracellular osmotic changes (PubMed:24725410, PubMed:29769723, PubMed:24790029, PubMed:26530471, PubMed:26824658, PubMed:28193731). The VRAC channel conducts iodide better than chloride and can also conduct organic osmolytes like taurine (PubMed:24725410, PubMed:30095067, PubMed:24790029, PubMed:26530471, PubMed:26824658, PubMed:28193731). Mediates efflux of amino acids, such as aspartate and glutamate, in response to osmotic stress (PubMed:28193731). LRRC8A and LRRC8D are required for the uptake of the drug cisplatin (PubMed:26530471). In complex with LRRC8C or LRRC8E, acts as a transporter of immunoreactive cyclic dinucleotide GMP-AMP (2'-3'-cGAMP), an immune messenger produced in response to DNA virus in the cytosol: mediates both import and export of 2'-3'-cGAMP, thereby promoting transfer of 2'-3'-cGAMP to bystander cells (PubMed:33171122). In contrast, complexes containing LRRC8D inhibit transport of 2'-3'-cGAMP (PubMed:33171122). Required for in vivo channel activity, together with at least one other family member (LRRC8B, LRRC8C, LRRC8D or LRRC8E); channel characteristics depend on the precise subunit composition (PubMed:24790029, PubMed:26824658, PubMed:28193731). Can form functional channels by itself (in vitro) (PubMed:26824658). Involved in B-cell development: required for the pro-B cell to pre-B cell transition (PubMed:14660746). Also required for T-cell development (By similarity). Required for myoblast differentiation: VRAC activity promotes membrane hyperpolarization and regulates insulin-stimulated glucose metabolism and oxygen consumption (By similarity). Also acts as a regulator of glucose-sensing in pancreatic beta cells: VRAC currents, generated in response to hypotonicity- or glucose-induced beta cell swelling, depolarize cells, thereby causing electrical excitation, leading to increase glucose sensitivity and insulin secretion (PubMed:29371604). Also plays a role in lysosome homeostasis by forming functional lysosomal VRAC channels in response to low cytoplasmic ionic strength condition: lysosomal VRAC channels are necessary for the formation of large lysosome-derived vacuoles, which store and then expel excess water to maintain cytosolic water homeostasis (PubMed:31270356, PubMed:33139539). {ECO:0000250|UniProtKB:Q80WG5, ECO:0000269|PubMed:14660746, ECO:0000269|PubMed:24725410, ECO:0000269|PubMed:24790029, ECO:0000269|PubMed:26530471, ECO:0000269|PubMed:26824658, ECO:0000269|PubMed:28193731, ECO:0000269|PubMed:29371604, ECO:0000269|PubMed:29769723, ECO:0000269|PubMed:30095067, ECO:0000269|PubMed:31270356, ECO:0000269|PubMed:33139539, ECO:0000269|PubMed:33171122}.","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24725410, ECO:0000269|PubMed:24782309, ECO:0000269|PubMed:24790029, ECO:0000269|PubMed:26824658, ECO:0000305|PubMed:29769723}; Multi-pass membrane protein {ECO:0000269|PubMed:24725410, ECO:0000269|PubMed:24782309, ECO:0000269|PubMed:24790029, ECO:0000269|PubMed:30095067, ECO:0000269|PubMed:30127360}. Lysosome membrane {ECO:0000269|PubMed:33139539}; Multi-pass membrane protein {ECO:0000269|PubMed:24725410, ECO:0000269|PubMed:24782309, ECO:0000269|PubMed:24790029, ECO:0000269|PubMed:30095067, ECO:0000269|PubMed:30127360}. Note=Mainly localizes to the cell membrane, with some intracellular localization to lysosomes. {ECO:0000269|PubMed:33139539}.","aspartate transmembrane transport [GO:0015810]; cell volume homeostasis [GO:0006884]; chloride transmembrane transport [GO:1902476]; cyclic-GMP-AMP transmembrane import across plasma membrane [GO:0140361]; intracellular glucose homeostasis [GO:0001678]; monoatomic anion transmembrane transport [GO:0098656]; monoatomic anion transport [GO:0006820]; positive regulation of insulin secretion [GO:0032024]; positive regulation of myoblast differentiation [GO:0045663]; pre-B cell differentiation [GO:0002329]; protein hexamerization [GO:0034214]; response to osmotic stress [GO:0006970]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]; taurine transport [GO:0015734]","cell surface [GO:0009986]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; monoatomic ion channel complex [GO:0034702]; plasma membrane [GO:0005886]",4
"M6PR","Cation-dependent mannose-6-phosphate receptor","P20645",24.500170592644,2.7054188e-08,"P20645","MPRD_HUMAN","Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)","M6PR MPR46 MPRD","TRANSMEM 186..210; /note=""Helical""; /evidence=""ECO:0000255""",277,"FUNCTION: Transport of phosphorylated lysosomal enzymes from the Golgi complex and the cell surface to lysosomes. Lysosomal enzymes bearing phosphomannosyl residues bind specifically to mannose-6-phosphate receptors in the Golgi apparatus and the resulting receptor-ligand complex is transported to an acidic prelyosomal compartment where the low pH mediates the dissociation of the complex.","SUBCELLULAR LOCATION: Lysosome membrane; Single-pass type I membrane protein.","endosome to lysosome transport [GO:0008333]; lysosomal transport [GO:0007041]; protein targeting to lysosome [GO:0006622]; receptor-mediated endocytosis [GO:0006898]; secretion of lysosomal enzymes [GO:0033299]","clathrin-coated endocytic vesicle membrane [GO:0030669]; endosome [GO:0005768]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; transport vesicle [GO:0030133]",1
