Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
CCT4	T-complex protein 1 subunit delta	A8K3C3;P50991;B7Z8B1;F5H5W3;B7Z9L0;B7Z2Z8;B7Z2F4	0.167	52	9.606	9.489	0
ALDOA	Fructose-bisphosphate aldolase A;Fructose-bisphosp	P04075;H3BQN4;H3BPS8;H3BR04;H3BUH7;H3BMQ8;H3BU78;H3BR68;A4UCS9;A4UCT0;A8K430;P05062;C9J4K3;Q8NHT3;Q5T7D5	0.281	45	9.816	9.481	0
CCT7	T-complex protein 1 subunit eta	Q53HV2;Q99832;Q6IBT3;B8ZZC9;B7Z7I4;F5GZK5;B7Z1C9;F8WAM2	0.167	52	9.592	9.476	0
RPL3;rpl3	60S ribosomal protein L3	P39023;Q8TBW1;Q96QL0;G5E9G0;Q9NY85;Q9BT63;Q49AJ9;H7C422;B5MCW2;H7C3M2;F8WCR1;B4DN06;B2R7Y3;Q92901	0.231	47	9.591	9.448	0
CCT3	T-complex protein 1 subunit gamma	Q59H77;P49368;B3KX11;Q5SZY0;B4DUR8;Q2TU64;Q5SZX6;E9PRC8;Q5SZX9;Q5SZW8;Q5SZX8;E9PM09;E9PQ35	0.178	57	9.715	9.436	0
PA2G4	Proliferation-associated protein 2G4	Q9UQ80;Q05D08;H0Y3X3;F8VTY8;Q6PIN5;A8K6Y1;F8VRZ3;F8VR77;F8W0A3;H0YIN7;F8VZ69	0.242	50	9.684	9.422	0
TCP1	T-complex protein 1 subunit alpha	P17987;E7ERF2;E7EQR6;F5H282;F5GZ03;F5GZI8;F5GYL4;F5H7Y1	0.184	50	9.619	9.415	0
CCT5	T-complex protein 1 subunit epsilon	P48643;Q9BU08;E7EWW2;B4DZT5;E9PCA1;B4DXI1;E7ENZ3;B4DDU6;B7ZAR1;B4DYC8;B4DE30;B4DYD8;B4DX08;Q96GI1;Q9HB74	0.236	56	9.562	9.401	0
CCT6A	T-complex protein 1 subunit zeta	B2R9K8;P40227;Q59ET3;B4DPJ8;A1JUI8;A6NCD2;B4DN39	0.222	38	9.51	9.391	0
HNRNPA1;HNRPA1;HNRNPA1L2	Heterogeneous nuclear ribonucleoprotein A1;Heterog	P09651;F8W6I7;F8VRQ1;F8VXY0;F8W1S7;Q6IPF2;F8VSB5;Q0VAC0;Q9BSM5;Q32P51;F8VZ49;B4E0B5;F8VTQ5;B4DP35;H0YH80;F8W646;Q3MI39;F8VYN5	0.385	39	9.73	9.365	0
PKM2	Pyruvate kinase isozymes M1/M2;Pyruvate kinase	P14618;B4DRT3;H3BTN5;E9PF79;B4DNK4;Q8WUW7;H3BQ34;E7EUJ4;Q504U3;H3BTJ2;H3BUW1;H3BT25;H3BSU3;H3BU13;E7ESY9;O75758;Q16715;B1AVT2;P30613;Q16716;B1AVT1;B4DPM0;H3BQZ3;Q9UK31;Q9UKK4;Q9NYI7;H3BN34	-0.465	43	9.494	9.357	0
RPL4	60S ribosomal protein L4	Q59GY2;P36578;E7EWF1;B4DMJ6;Q53G74;H3BM89;B4DMJ2;B4DFI6;H3BTP7;H3BU31;B4DP82	0.211	43	9.558	9.318	0
DDX17	Probable ATP-dependent RNA helicase DDX17	Q59F66;H3BLZ8;Q92841;B1AHM1;C9JMU5;B4DZQ7;B1AHM2;Q9UQL5;G5E9L5	0.389	71	9.532	9.276	0
HNRPK;HNRNPK	Heterogeneous nuclear ribonucleoprotein K	B4DUQ1;Q5EC54;Q6IBN1;P61978;Q5T6W5;B4DFF1;Q5T6W2;Q5T6W1;B3KU16	0.175	38	9.435	9.267	0
RPL7A;RP-L7a	60S ribosomal protein L7a	P62424;Q5T8U4;Q5T8U3;Q5T8U2;Q9BY74	0.117	23	9.396	9.241	0
ILF3	Interleukin enhancer-binding factor 3	G5E9M5;F4ZW66;Q12906;F4ZW65;C9JFV5;A8K590;F4ZW64;B4DFG4;Q59GP7;B4DDF3	0.308	62	9.402	9.24	0
HNRNPL	Heterogeneous nuclear ribonucleoprotein L	P14866;Q6NTA2;A6NIT8;B4DPK8;B4DVF8	0.203	35	9.324	9.212	0
HNRNPM;ORF	Heterogeneous nuclear ribonucleoprotein M	P52272;Q59ES8;Q7KYM9;F5H7Z1;Q6P2D7;B4DEG4;Q8TCM5	0.387	93	9.499	9.202	0
RPL7	60S ribosomal protein L7	P18124;A8MUD9;C9JIJ5;C9JZ88	0.16	28	9.658	9.202	0
DDX5;DKFZp686J01190	Probable ATP-dependent RNA helicase DDX5	B5BUE6;P17844;E7ETL9;B4DLW8;B4DN41;B4DNG2;Q59E92;Q7Z2V5;C1IK54	0.456	35	9.389	9.196	0
RPS3	40S ribosomal protein S3	P23396;Q53G83;E9PL09;H0YEU2;E9PPU1;E9PL45;Q9NQS8;H0YCJ7;F2Z2S8;H0YF32;E9PJH4;E9PQ96;A7E2S3;E9PSF4;E9PQX2;H0YES8;E9PJN9	0.366	32	9.496	9.186	0
DHX9	ATP-dependent RNA helicase A	Q08211;F5GXA5;Q6PJK6;Q58F26;B3KU66	0.342	84	9.187	9.186	0
SFPQ	"Splicing factor, proline- and glutamine-rich"	P23246;Q86VG2;Q9BSV4;Q6PIX2;H0Y9K7;H0Y9U2	0.45	42	9.233	9.167	0
RPS3A	40S ribosomal protein S3a	A8K4W0;P61247;Q6NXR8;D6RG13;H0Y9Y4;E9PFI5;B7Z3M5;F5H4F9;D6RAT0;H0Y8L7;D6RB09;D6R9B6;D6RAS7;D6RED7;D6RI02;A4D1I1;D6RGE0	0.344	28	9.458	9.158	0
DARS;DKFZp781B11202	"Aspartate--tRNA ligase, cytoplasmic"	P14868;D3DP78;Q68CR9;Q53T60;H7BZ35;Q53R85;C9JLC1;C9J7S3;H7C278;C9JQM9	0.192	41	9.181	9.127	0
SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	B2R8Z8;O60506;Q59GL1;Q05CK9;B7Z645;B7Z213;F6UXX1;Q5TCG1	0.433	42	9.387	9.122	0
NONO	Non-POU domain-containing octamer-binding protein	A8K525;Q15233;F5GYZ3;B7Z4C2;H7C367;C9JYS8;C9IZL7;C9J4X2	0.465	46	9.228	9.115	0
IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 	Q9NZI8;D3DTW3;C9JT33;REV__Q15833;REV__Q53GF4;REV__F5GXG3;REV__O00184;REV__B4DY46;D2IYL2;G8JLG2;Q15517;Q2L6G8;A8K9C1;Q0EFA5	0.366	45	9.458	9.105	0
RPS8	40S ribosomal protein S8	P62241;Q5JR94;Q5JR95;Q9BS10	0.277	21	9.482	9.096	0
HNRNPC;hCG_1641229;HNRNPCL1	Heterogeneous nuclear ribonucleoproteins C1/C2;Het	A8K9A4;P07910;G3V2Q1;B2R603;G3V4C1;B2R5W2;B3KX96;B4DY08;G3V4W0;G3V576;D3DPI2;O60812;G3V2D6;G3V5V7;G3V575;G3V555;B2RXH8;B7ZW38;B7ZW41;Q6PKD2;B4DQQ2;G8JL89;B4DSU6;B4DMJ1;G3V251;G3V3K6;G3V5X6;Q569J8;G3V4M8;G3V2H6;G3V129;B3KSX3;Q86SE5;B3KT61;E5RG71	0.241	23	9.473	9.086	0
HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	Q14103;B4DTC3;Q12771;H7BXN2;H0Y8G5;H0YA96;D6RAF8;B4E0W4;F5H6R6;D6RF44;D6RBQ9;D6RD83	0.49	27	9.36	9.07	0
RPL6	60S ribosomal protein L6	Q9HBB3;Q02878;Q8N5Z7;Q8TBK5;F8W181;B2R4K7;B4DRX3;F8VZ45;F8VR69;F8VWR1;F8VZA3	0.225	35	9.259	9.061	0
RPS11	40S ribosomal protein S11	P62280	0.204	22	9.461	9.06	0
HSP90AA1	Heat shock protein HSP 90-alpha	P07900;Q2VPJ6;Q8TBA7;O75322;Q86U12;Q96HX7;Q58FG0;Q14568;G3V2J8;Q86SX1;B4DTA5;Q58FF9	-0.282	45	9.417	9.053	0
ABCE1	ATP-binding cassette sub-family E member 1	P61221;D6R9I9;D6RGF4	0.31	26	9.248	9.051	0
PTBP1	Polypyrimidine tract-binding protein 1	P26599;Q59H49;A6NLN1;O95758;B1ALY6	0.366	19	9.195	9.045	0
SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicas	O75643;A4FU77;F5H447;Q9H8B9;C9JAQ9;F5H4C1;B4E150;A2RRQ7;Q9UNV9;B4E0P5;Q7L5W4;Q9P172;Q5ZF01	0.31	71	9.075	9.044	0
HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	Q13151	0.365	17	9.52	9.037	0
YBX1	Nuclease-sensitive element-binding protein 1	P67809;H0Y449;E7ETA0;Q05D43;Q6PKI6;Q7KZ24;C9J5V9;A0JLU4;Q2VIK8;B2RCC2;Q9Y2T7;Q59HE1	0.334	24	9.162	9.034	0
RPL18A	60S ribosomal protein L18a	Q02543;Q53HD3;B2R4C0;B4DUV3;B4DM74;B4DM94;Q32XH3;Q76N54	0.21	19	9.28	9.033	0
RPL28	60S ribosomal protein L28	P46779;H0YKD8;E9PB24;H0YMF4;Q59F34;G5E9L2;C9JB50;H0YLP6;O60251	0.192	10	9.212	9.015	0
DDX21	Nucleolar RNA helicase 2	Q9NR30;Q3SWU7;Q8NI92	0.718	44	9.134	9.01	0
SERBP1;DKFZp686P17171	Plasminogen activator inhibitor 1 RNA-binding prot	Q8NC51;D3DQ70;D3DQ69;Q5VU21;Q63HR1	0.164	34	9.134	9	0
RPS4X;RPS4Y1	"40S ribosomal protein S4, X isoform;40S ribosomal "	B2R491;P62701;Q96IR1;Q53HV1;P22090;Q496E4;A4FU11;C9JEH7;Q8TD47;Q53HI6;A6NH36;B7Z1M6;C9JQ55	0.231	19	9.443	8.957	0
RPL8	60S ribosomal protein L8	P62917;E9PIZ3;E9PKZ0;E9PKU4;B4DVG7;G3V1A1;E9PP36	0.232	11	9.302	8.951	0
PRPF8	Pre-mRNA-processing-splicing factor 8	Q6P2Q9;B4DK16;I3L0J9;Q53GM6;Q6JH03;F5H2I4;Q6JH02;I3L3Z8;I3L1T8	0.267	75	8.999	8.931	0
PABPC1;PABPC3	Polyadenylate-binding protein 1;Polyadenylate-bind	P11940;B4DQX0;E7ERJ7;B4DZW4;E7EQV3;B3KT93;H0YAR2;H0YBQ4;Q3ZCS4;Q5VX58;Q9H361;Q2VIP3;H0YBN4;Q4VXU2;H3BNY3;H0YB86;H0YAP2;H3BPI5;Q4VY17;E5RJB9;E5RH24;E5RGH3;H0YB75;H0YAS6;E5RHG7;Q96DU9;B4DM75;H0YAS7;E5RFD8;E5RGC4;H0YC10	0.535	57	9.393	8.925	0
PRPF19	Pre-mRNA-processing factor 19	Q9UMS4;F5GY56;F5H2I0;H0YGF3;H0YGZ5	0.316	13	9.071	8.922	0
RPS9	40S ribosomal protein S9	P46781;B7Z732;C9JM19;B5MCT8;A5D904;A8MXK4;F2Z3C0	0.315	16	9.147	8.921	0
RPL26	60S ribosomal protein L26	P61254;Q6IBH6	0.261	17	9.238	8.917	0
C22orf28	tRNA-splicing ligase RtcB homolog	Q9Y3I0;B4DNA0;B4DNG5;E7EQS9;B4DXF1;B2REA2	0.386	29	9.027	8.916	0
TKT	Transketolase	B4DE31;E7EPA7;P29401;Q53EM5;B4E022;B3KSI4;B4DVU1;B3KPZ8;E9PFF2;Q6MZE3;F8W888	0.26	26	9.087	8.911	0
RPS6	40S ribosomal protein S6	A2A3R6;P62753;Q96DV6;A2A3R5;A2A3R7;Q9BZU1;D3DRJ5	0.197	11	9.129	8.91	0
RPL14		Q6IPH7	0.121	17	9.243	8.904	0
RPL13A;RP11-365K22.1-001;RPL13a	60S ribosomal protein L13a	P40429;Q9BSQ6;Q5VY36;Q5QTS3;Q53H34;Q8J015;Q0VGL3;B4DNC8;Q6NVV1	0.113	13	9.245	8.904	0
HNRNPA3;HNRPA3;D10S102	Heterogeneous nuclear ribonucleoprotein A3	P51991;B4DDB6;B4E3E6;E7ERJ4;E7EWI9;Q65ZQ3;B4E036;Q66K53;H7C1J8;Q8NFG3	0.295	20	9.276	8.892	0
PAICS	Multifunctional protein ADE2;Phosphoribosylaminoim	P22234;E9PBS1;D6RF62;B4DGX3	0.318	27	9.217	8.89	0
HNRNPH1;DKFZp686A15170	Heterogeneous nuclear ribonucleoprotein H;Heteroge	G8JLB6;P31943;E9PCY7;D6RBM0;H0YB39;H0YBD7;Q68DG4;D6RIU0;D6RIT2;E5RGV0;D6RIH9;D6RJ04;D6RDU3;E7EN40;D6RFM3;D6R9T0;D6RAM1;H0YBG7;E7EQJ0;B4DP51;F5GZT4;H0YAQ2;E5RGH4;D6RDL0;D6RF17;D6R9D3	0.289	33	9.144	8.89	0
XRCC6	X-ray repair cross-complementing protein 6	P12956;B2RDN9;B1AHC9;B4DE32;B1AHC8;B1AHC7;B4E356;F5H1I8;Q6IC76	0.31	57	9.392	8.888	0
PSMD3	26S proteasome non-ATPase regulatory subunit 3	O43242;Q6IBN0;F5H8K4;Q96N86;B3KNN7;B4DEB0;Q8N9M2;B4DV84;B4DPM7;B4DT72;H0YGV8;O95325	0.302	28	8.98	8.888	0
RPL34	60S ribosomal protein L34	P49207;Q5MK14	0.167	6	8.987	8.886	0
DDX3X;DDX3Y	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA	Q59GX6;B5BTY4;O00571;O15523;B4DXX7;B4DLU5;B4E010;Q5S4N1;B4E132;B4DK29;B4E3C4;C9J081;C9J8G5;B4DLA0;Q9NQI0;D6RDK4;B3KSF4;E9PCD8;D6RCM4;H0Y960	0.374	54	9.141	8.884	0
RPL35A	60S ribosomal protein L35a	P18077;C9K025;F8WB72;F8WBS5	0.138	12	9.217	8.884	0
MYH9	Myosin-9	P35579;Q60FE2;Q86XU5;A8K6E4;B4E3S1;Q6ZNL4;H0Y3P4;Q5BKV1;Q99529;B1AH99;A1L2Z2;B4E177;Q2PS10;A7E2Y1;Q9UKX2;F5H4L2;D9YZU2;P12882;P13533;Q9Y623;Q9UKX3;P13535;P12883;A5YM51;Q59EV3;REV__Q9UKV3;REV__E7EQT4;REV__B4DQZ7;B4E0I9;B4DRV3;B4DFX9;Q16086;Q16085;C3TTN4;A8	-0.12	60	8.878	8.869	0
RPL10A	60S ribosomal protein L10a;Ribosomal protein	P62906;Q1JQ76	0.188	22	9.266	8.864	0
RPL27	60S ribosomal protein L27	B2R4D8;P61353;E4W6B6;Q6LCU2	0.173	16	9.312	8.859	0
RPL15	60S ribosomal protein L15;Ribosomal protein L15	P61313;E7EQV9;E7ENU7;B4DLP4;E7EX53;Q642I1;B4DEN1;E7ERA2;A4D1Q5;Q76N55;Q96S84	0.301	18	9.243	8.858	0
ENO1	Alpha-enolase;Enolase	P06733;E2DRY6;Q9BT62;A4UCS8;Q96GV1;A4QMW8;A8K3B0;D3DTL2;P09104;P13929;Q6FHV6;B7Z2X9;F5H0C8;E5RGZ4;B4DUJ6;E5RG95;F5GZ30;E5RI09;F5GWQ3;F5H5U1;F5H1C3	0.154	33	9.37	8.858	0
RARS	"Arginine--tRNA ligase, cytoplasmic"	P54136;B4DXW6;F5H3T8;E5RJM9;E5RH09	0.166	38	9.079	8.857	0
EIF2S3;EIF2S3L	Eukaryotic translation initiation factor 2 subunit	P41091;Q53HK3;A8K2Y2;B2R5N2;Q2VIR3;F8W810;H7BZU1	0.128	31	8.884	8.853	0
FARSB;FARSLB	Phenylalanine--tRNA ligase beta subunit	Q9NSD9;Q9BR63;A8K666;B4DFM0;B7ZB32;F5H6Y1	0.559	26	9.052	8.851	0
XRCC5	X-ray repair cross-complementing protein 5	P13010;Q53T09;Q53TC2;C9JZ81;H7C0H9	0.405	35	9.17	8.845	0
PRDX2	Peroxiredoxin-2	P32119;B4DF70;A6NIW5	0.393	8	9.025	8.844	0
RPLP0;RPLP0P6	60S acidic ribosomal protein P0;60S acidic ribosom	A8K4Z4;P05388;F8VWS0;Q3B7A4;Q6NSF2;F8VU65;G3V210;Q53HK9;Q8NHW5;Q53HW2;F8VRK7;F8VPE8;F8VQY6;F8VZS0;F8VW21;F8VS58;F8VWV4;B4E3D5	0.076	11	9.174	8.842	0
hCG_1994130;RPS15A	40S ribosomal protein S15a	B2R4W8;P62244;I3L3P7;A8K7H3;H3BVC7	0.294	13	9.211	8.836	0
IMPDH2	Inosine-5-monophosphate dehydrogenase 2	P12268;H0Y4R1;B7Z1G4;F5H247;E7ETK5;Q6QE17;C9K0R9;Q6RUP9;Q6RUP8	0.228	27	8.936	8.835	0
RPL12;hCG_21173	60S ribosomal protein L12	P30050;Q59FI9;D3DS95	0.208	13	9.185	8.829	0
RPL13	60S ribosomal protein L13	A8K4C8;P26373;Q6NZ55;F5H1S2;B4DLX3;B4DGL7;H3BTH3;O60250	0.101	13	9.167	8.817	0
RPL5	60S ribosomal protein L5	A2RUM7;P46777;B3KTM6;Q59GX9;Q5T7N0;Q9BUV4;Q8WYP1	0.452	23	9.28	8.816	0
FUS	RNA-binding protein FUS	Q13344;H3BPE7;P35637;Q6IBQ5;Q8TBR3;A8K4H1;B4DR70;Q59H57;Q70T18	0.166	30	9.207	8.814	0
LDHB	L-lactate dehydrogenase B chain;L-lactate dehydrog	P07195;Q5U077;A8MW50;C9J7H8;F5H793;Q59G78	-0.182	20	9.326	8.811	0
RBMX;RBMXL1	"RNA-binding motif protein, X chromosome;RNA-bindin"	P38159;B4E352;H3BT71;H0Y6E7;Q96E39;Q2VIN3;H3BUY5;B3KRG5;H3BR27;Q5T9T9;A8K8A6;O75526;H3BNC1;Q8N7X1;F1T0J8;Q8IZ40	0.287	26	9.151	8.81	0
RPS18	40S ribosomal protein S18	P62269;Q5GGW2	0.415	18	9.176	8.807	0
RPS16	40S ribosomal protein S16	P62249;Q6IPX4;B4DP32	0.213	20	9.216	8.807	0
RPS2;rps2	40S ribosomal protein S2	P15880;Q8N5L9;Q3KQT6;Q6IPX5;H0YEN5;Q8J014;E9PQD7;E9PMM9;E9PM36;I3L404;Q8NI61;E9PPT0;Q9BSW5;O60249;A4D0Y7;D3DU83;Q6ZNN8;H0YE27;H3BNG3	0.302	19	9.229	8.803	0
RPL22	60S ribosomal protein L22	P35268;Q7Z4W8	0.211	5	9.116	8.8	0
RPL24	60S ribosomal protein L24	P83731;C9JNW5;C9JXB8	0.115	12	9.177	8.8	0
KHDRBS1	"KH domain-containing, RNA-binding, signal transduc"	Q07666;B4DDX2;E7ET98;B2R7B5;B4E043;Q5VWX1;O75525;B3KTS3;F5H5F6	0.241	12	8.905	8.789	0
TARS	"Threonine--tRNA ligase, cytoplasmic"	B4DEG8;P26639;Q53GX7;B2RDX5;Q5M7Z9;G3XAN9;B4DKZ9;E7ERI3;B3KTN2;D6RDJ6;D6R9F8;D6RCA5;D6RBR8;A2RTX5;B7ZLP8	-0.44	33	8.944	8.787	0
HSPA6;HSPA7	Heat shock 70 kDa protein 6;Putative heat shock 70	B2R6X5;B3KSM6;P17066;Q53FC7;B4DHP5;P48741	-0.105	4	8.995	8.779	0
TUBB4B;TUBB2C;TUBB4A;TUBB4	Tubulin beta-4B chain;Tubulin beta-4A chain	P68371;Q8IZ29;Q8N6N5;Q8IWP6;B3KML9;P04350;B4DE77;B4DJ43;Q96HX0;B4DFH6;Q3ZCM7;B4DNW1;F8W813	-0.308	57	9.479	8.778	0
DDX1	ATP-dependent RNA helicase DDX1	A3RJH1;Q92499;F1T0B3;B4DPN6;B4DME8;B4DP70	0.446	31	9.069	8.772	0
RPL18	60S ribosomal protein L18	Q07020;G3V203;H0YHA7;Q0QEW2;F8VWC5;B4DDY5;E7EW92;F8VYV2;F8VUA6;F8VXR6	0.209	15	9.091	8.77	0
SF3B3	Splicing factor 3B subunit 3	Q15393;A8K6V3;B3KQH1;B3KM77;I3L4G7;H3BMB0	0.233	33	8.913	8.767	0
HIST2H2BF;HIST1H2BF;HIST1H2BK;HIST1H2BD;HIST1H2BC;	Histone H2B;Histone H2B type 1-K;Histone H2B type 	B4DR52;A8K9J7;B2R4S9;O60814;P58876;P62807;Q0D2M2;Q5QNW6;Q93079;Q99877;Q99879;Q99880;P57053;Q96A08	-0.008	10	8.996	8.751	0
RPL23A	60S ribosomal protein L23a	A8MUS3;A8MXA8;H7BY10;P62750;B9EJE3;Q53RC5	0.176	10	9.07	8.748	0
EIF4A3	Eukaryotic initiation factor 4A-III	P38919;I3L3F6;I3L2Z3;I3L3H2;I3L2M0;F8WE11;E9PBH4;Q5JWW0;Q59GT8;I3L1H0	0.244	26	9.17	8.746	0
PSMB5	Proteasome subunit beta type-5	P28074;E9PAV2;H0YJM8	0.169	13	9.037	8.741	0
NPM1	Nucleophosmin	P06748;A4ZU86;Q9BTI9;Q504R3;Q9NX34;E5RI98;E5RGW4	0.108	12	9.185	8.736	0
RPS7	40S ribosomal protein S7	P62081;Q57Z92;B5MCP9	0.322	7	9.123	8.726	0
PSMD2;DKFZp564A2282	26S proteasome non-ATPase regulatory subunit 2	Q59EG8;Q13200;F5GZ16;B4DM22;B4DX07;E7EW34;B4DXY1;E9PCS3;Q9NSM5;Q13041;H0Y305;H7C1H2;C9JPC0;H7C2Q3	0.305	38	8.839	8.721	0
FASN	Fatty acid synthase;[Acyl-carrier-protein] S-acety	P49327;F5H0D4;Q6PJJ3	0.272	63	8.883	8.721	0
RPL27A;L27a	60S ribosomal protein L27a	P46776;Q6NZ52;E9PLL6;Q9BQQ5;E9PJD9;E9PLX7;H0YF34;E9PKT2	0.178	13	9.13	8.708	0
HSP90AB1;HSP90AB3P	Heat shock protein HSP 90-beta;Putative heat shock	P08238;B4DMA2;B4DGL0;Q58FF7;A8K3W9;Q9H6X9;Q6PK50;E9PHI1;H0Y6E4;Q5T9W5;E9PHI2;H0Y5S7;Q5T9W6;E9PHH7;H0Y598;Q5T9W4;Q5T9W8;O14942;Q58FF4	-0.185	29	9.175	8.702	0
RCC2	Protein RCC2	Q9P258;A5PLK7	0.04	22	8.874	8.687	0
RPL11	60S ribosomal protein L11	P62913;Q5VVD0;Q08ES8;Q5VVC8;Q5VVC9	0.368	10	9.095	8.684	0
PSMA6	Proteasome subunit alpha type;Proteasome subunit a	G3V5Z7;P60900;G3V295;B4DXJ9;G3V3I1;G3V3U4;B4DQR4;Q9BZ93;Q59F72;H0YJC4;G3V2S7;G3V4S5	0.219	15	9.05	8.677	0
HIST1H1D;HIST1H1E;HIST1H1C	Histone H1.3;Histone H1.4;Histone H1.2	P16402;A3R0T8;B2R984;P10412;Q4VB24;A8K4I2;P16403;A3R0T7;Q02539;A1L407;P22492;P16401	0.203	11	8.854	8.676	0
RPL31	60S ribosomal protein L31	B7Z4C8;B2R4C1;P62899;B7Z4E3;C9JU56;H7C2W9;B8ZZK4;Q76N53	0.169	10	9	8.666	0
RPL21	60S ribosomal protein L21	P46778;Q6IAX2;Q59GK9;G3V1B3	0.117	14	9.143	8.652	0
SARS	"Serine--tRNA ligase, cytoplasmic"	Q5T5C7;P49591;Q53HA4;Q0VGA5	0.105	18	8.824	8.644	0
SF3B1	Splicing factor 3B subunit 1	O75533;Q7Z497;A0PJH5;Q32Q20;A0JLT9;H7C341;B4DGZ4;E9PCH3;A8K355;Q9NTB4;F8WC19	0.21	46	8.869	8.643	0
PSMA1	Proteasome subunit alpha type-1;Proteasome subunit	P25786;F5GX11;B4DEV8;B4E0X6;F5H112	0.168	12	8.917	8.631	0
PSMC1	26S protease regulatory subunit 4	P62191;Q53HB3;Q53XL8;Q6NW36;B4DR63;G3V4X1	0.068	21	8.713	8.63	0
EIF3EIP;EIF3L	Eukaryotic translation initiation factor 3 subunit	B0QY89;Q9Y262;B3KPB9;B4DQF6;G8JLH4;B4DYB2;B0QY90;B3KNG0;Q8N7H0;B4DEH4;E2QC27;Q7Z5X3;C9K0Q7;C9JHP4;E2QC29;H7C3A0;B0QY85;H0Y7E6	0.171	26	9.08	8.613	0
SRSF6	Serine/arginine-rich splicing factor 6	A8K588;Q13247;Q59GY3;B5BU15	0.356	28	8.84	8.609	0
ILF2	Interleukin enhancer-binding factor 2	F4ZW62;Q12905;Q53FG3;B4DY09;F4ZW63	0.203	15	8.984	8.609	0
PRKDC	DNA-dependent protein kinase catalytic subunit	P78527;E7EUY0;B4DL41;F5GX40;H0YG84	0.315	215	9.22	8.608	0
PSMC2	26S protease regulatory subunit 7	P35998;Q75L23;B7Z5E2;C9JLS9;B7Z571	0.213	29	8.819	8.604	0
KARS	Lysine--tRNA ligase	Q15046;Q6ZTI3;H3BVA8;H3BPV7	0.143	44	8.863	8.602	0
