Row	GI Accession	Name	Peptides	Species	Annotation	From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
26	38075087	"SCAMP1, secretory carrier membrane protein 1 "	3	Mus musculus	CCV	SCAM1_HUMAN	O15126	reviewed	SCAM1_HUMAN	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1)	SCAMP1 SCAMP	Homo sapiens (Human)	338
27	6755404	"SCAMP3, secretory carrier membrane protein 3 "	20	Mus musculus	CCV	SCAM3_HUMAN	O14828	reviewed	SCAM3_HUMAN	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)	SCAMP3 C1orf3 PROPIN1	Homo sapiens (Human)	347
28	9507167	synaptogyrin 1	6	Rattus norvegicus	CCV	SNG1_HUMAN	O43759	reviewed	SNG1_HUMAN	Synaptogyrin-1	SYNGR1	Homo sapiens (Human)	233
29	16758322	synaptogyrin 2	2	Rattus norvegicus		SNG2_HUMAN	O43760	reviewed	SNG2_HUMAN	Synaptogyrin-2 (Cellugyrin)	SYNGR2 UNQ352/PRO615	Homo sapiens (Human)	224
30	34870526	synaptogyrin 3	9	Rattus norvegicus	CCV	SNG3_HUMAN	O43761	reviewed	SNG3_HUMAN	Synaptogyrin-3	SYNGR3	Homo sapiens (Human)	229
31	6678195	synaptophysin	17	Mus musculus	AP-3	SYPH_HUMAN	P08247	reviewed	SYPH_HUMAN	Synaptophysin (Major synaptic vesicle protein p38)	SYP	Homo sapiens (Human)	313
32	285432	synaptic vesicle protein SV2	3	Rattus norvegicus	AP-3	SV2A_HUMAN	Q7L0J3	reviewed	SV2A_HUMAN	Synaptic vesicle glycoprotein 2A	SV2A KIAA0736 PSEC0174	Homo sapiens (Human)	742
33	207308	thy-1 glycoprotein	1	Rattus norvegicus	CCV	THY1_HUMAN	P04216	reviewed	THY1_HUMAN	Thy-1 membrane glycoprotein (CDw90) (Thy-1 antigen) (CD antigen CD90)	THY1	Homo sapiens (Human)	161
34	34873852	vat1 protein	33	Rattus norvegicus	AP-3	VAT1_HUMAN	Q99536	reviewed	VAT1_HUMAN	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	VAT1	Homo sapiens (Human)	393
35	2253399	"VAMP2, vesicle associated membrane protein 2 "	18	Mus musculus	AP-3	VAMP2_HUMAN	P63027	reviewed	VAMP2_HUMAN	Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2)	VAMP2 SYB2	Homo sapiens (Human)	116
36	3955096	"vacuolar adenosine triphosphatase, V0 subunit A, isoform 1"	5	Mus musculus	AP-3	VPP1_HUMAN	Q93050	reviewed	VPP1_HUMAN	V-type proton ATPase 116 kDa subunit a 1 (V-ATPase 116 kDa subunit a 1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar adenosine triphosphatase subunit Ac116) (Vacuolar proton pump subunit 1) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 1)	ATP6V0A1 ATP6N1 ATP6N1A VPP1	Homo sapiens (Human)	837
37	34851617	"vacuolar adenosine triphosphatase, V0 subunit D, isoform 1 "	6	Rattus norvegicus	CCV	VA0D1_HUMAN	P61421	reviewed	VA0D1_HUMAN	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1)	ATP6V0D1 ATP6D VPATPD	Homo sapiens (Human)	351
38	34869154	"vacuolar adenosine triphosphatase, V1 subunit A, isoform 1 "	31	Rattus norvegicus	CCV	VATA_HUMAN	P38606	reviewed	VATA_HUMAN	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)	ATP6V1A ATP6A1 ATP6V1A1 VPP2	Homo sapiens (Human)	617
39	1184661	"vacuolar adenosine triphosphatase, V1 subunit B, isoform 2"	27	Mus musculus	CCV	VATB2_HUMAN	P21281	reviewed	VATB2_HUMAN	"V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)"	ATP6V1B2 ATP6B2 VPP3	Homo sapiens (Human)	511
40	38454230	"vacuolar adenosine triphosphatase, V1 subunit E, isoform 1"	9	Rattus norvegicus	CCV	VATE1_HUMAN	P36543	reviewed	VATE1_HUMAN	V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1)	ATP6V1E1 ATP6E ATP6E2	Homo sapiens (Human)	226
41	6755552	"zinc transporter 3; SCL 30, member 3"	31	Mus musculus	AP-3	ZNT3_HUMAN	Q99726	reviewed	ZNT3_HUMAN	Probable proton-coupled zinc antiporter SLC30A3 (Solute carrier family 30 member 3) (Zinc transporter 3) (ZnT-3)	SLC30A3 ZNT3	Homo sapiens (Human)	388
42	7230618	"adapter protein SETA 123, RUK1, CIN85"	12	Rattus norvegicus		SH3K1_HUMAN	Q96B97	reviewed	SH3K1_HUMAN	SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1)	SH3KBP1 CIN85	Homo sapiens (Human)	665
43	6680740	ataxia telangiectasia mutated homolog	5	Mus musculus	AP-3	ATM_HUMAN	Q13315	reviewed	ATM_HUMAN	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	Homo sapiens (Human)	3056
44	17390817	"BLOC I complex, dysbindin"	4	Mus musculus	AP-3	DTBP1_HUMAN	Q96EV8	reviewed	DTBP1_HUMAN	Dysbindin (Biogenesis of lysosome-related organelles complex 1 subunit 8) (BLOC-1 subunit 8) (Dysbindin-1) (Dystrobrevin-binding protein 1) (Hermansky-Pudlak syndrome 7 protein) (HPS7 protein)	DTNBP1 BLOC1S8 My031	Homo sapiens (Human)	351
45	27684693	"BLOC I complex, muted protein"	7	Rattus norvegicus	AP-3	BL1S5_HUMAN	Q8TDH9	reviewed	BL1S5_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 5 (BLOC-1 subunit 5) (Protein Muted homolog)	BLOC1S5 MUTED	Homo sapiens (Human)	187
46	34856819	"BLOC I complex, pallidin "	4	Rattus norvegicus	AP-3	BL1S6_HUMAN	Q9UL45	reviewed	BL1S6_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 6 (BLOC-1 subunit 6) (Pallid protein homolog) (Pallidin) (Syntaxin 13-interacting protein)	BLOC1S6 PA PLDN	Homo sapiens (Human)	172
47	13879528	"BLOC I complex, snapap protein"	2	Mus musculus	AP-3	SNAPN_HUMAN	O95295	reviewed	SNAPN_HUMAN	SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein) (SNAP-associated protein)	SNAPIN BLOC1S7 SNAP25BP SNAPAP	Homo sapiens (Human)	136
48	126378	LAMP 1	2	Rattus norvegicus	AP-3	LAMP1_HUMAN	P11279	reviewed	LAMP1_HUMAN	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	LAMP1	Homo sapiens (Human)	417
49	126382	LAMP 2	2	Rattus norvegicus	AP-3	LAMP2_HUMAN	P13473	reviewed	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2	Homo sapiens (Human)	410
50	34863475	protein-tyrosine phosphatase MEG2; PTPase-MEG2	17	Rattus norvegicus		PTN9_HUMAN	P43378	reviewed	PTN9_HUMAN	Tyrosine-protein phosphatase non-receptor type 9 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG2) (PTPase MEG2)	PTPN9	Homo sapiens (Human)	593
51	13938659	Sorcs1 protein	13	Mus musculus		SORC1_HUMAN	Q8WY21	reviewed	SORC1_HUMAN	VPS10 domain-containing receptor SorCS1 (hSorCS)	SORCS1 SORCS	Homo sapiens (Human)	1168
52	34869235	sorting nexin 4 	5	Rattus norvegicus		SNX4_HUMAN	O95219	reviewed	SNX4_HUMAN	Sorting nexin-4	SNX4	Homo sapiens (Human)	450
53	27705482	TMS-2/KIAA1253	2	Rattus norvegicus	AP-3	SERC1_HUMAN	Q9NRX5	reviewed	SERC1_HUMAN	Serine incorporator 1 (Tumor differentially expressed protein 1-like) (Tumor differentially expressed protein 2)	SERINC1 KIAA1253 TDE1L TDE2 UNQ396/PRO732	Homo sapiens (Human)	453
54	29293817	vacuole 14 protein; Vac14 protein; hydin (KIAA0274)	3	Rattus norvegicus		VAC14_HUMAN	Q08AM6	reviewed	VAC14_HUMAN	Protein VAC14 homolog (Tax1-binding protein 2)	VAC14 TAX1BP2 TRX	Homo sapiens (Human)	782
55	7514115	vacuolar protein sorting protein 33b	6	Rattus norvegicus		VP33B_HUMAN	Q9H267	reviewed	VP33B_HUMAN	Vacuolar protein sorting-associated protein 33B (hVPS33B)	VPS33B	Homo sapiens (Human)	617
56	16758296	VAMP7 vesicle associated membrane protein 7	7	Rattus norvegicus	AP-3	VAMP7_HUMAN	P51809	reviewed	VAMP7_HUMAN	Vesicle-associated membrane protein 7 (VAMP-7) (Synaptobrevin-like protein 1) (Tetanus-insensitive VAMP) (Ti-VAMP)	VAMP7 SYBL1	Homo sapiens (Human)	220
57	91870	polyubiquitin 	9	Mus musculus	AP-3	UBC_HUMAN	P0CG48	reviewed	UBC_HUMAN	Polyubiquitin-C [Cleaved into: Ubiquitin]	UBC	Homo sapiens (Human)	685
58	38077035	ubiquitin--protein ligase ( RIKEN cDNA 4432411E13 )	10	Mus musculus		UBR5_HUMAN	O95071	reviewed	UBR5_HUMAN	"E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (HECT-type E3 ubiquitin transferase UBR5) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)"	UBR5 EDD EDD1 HYD KIAA0896	Homo sapiens (Human)	2799
59	33468901	hect 	11	Mus musculus		HERC2_HUMAN	O95714	reviewed	HERC2_HUMAN	E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	HERC2	Homo sapiens (Human)	4834
60	12711694	"dynein, cytoplasmic, heavy chain 2"	10	Rattus norvegicus		DYHC2_HUMAN	Q8NCM8	reviewed	DYHC2_HUMAN	Cytoplasmic dynein 2 heavy chain 1 (Cytoplasmic dynein 2 heavy chain) (Dynein cytoplasmic heavy chain 2) (Dynein heavy chain 11) (hDHC11) (Dynein heavy chain isotype 1B)	DYNC2H1 DHC1B DHC2 DNCH2 DYH1B KIAA1997	Homo sapiens (Human)	4307
61	38091406	"dynein, axonemal, heavy polypeptide 9"	17	Mus musculus		IDLC_HUMAN	O14645	reviewed	IDLC_HUMAN	"Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal) (hp28)"	DNALI1	Homo sapiens (Human)	258
62	34875563	"dynein, axonemal, Beta heavy chain outer-arm "	17	Rattus norvegicus		DYH8_HUMAN	Q96JB1	reviewed	DYH8_HUMAN	Dynein axonemal heavy chain 8 (Axonemal beta dynein heavy chain 8) (Ciliary dynein heavy chain 8)	DNAH8	Homo sapiens (Human)	4490
63	38092571	dynein heavy chain  (RIKEN cDNA 2810003K23)	18	Mus musculus		DYH17_HUMAN	Q9UFH2	reviewed	DYH17_HUMAN	Dynein axonemal heavy chain 17 (Axonemal beta dynein heavy chain 17) (Axonemal dynein heavy chain-like protein 1) (Ciliary dynein heavy chain 17) (Ciliary dynein heavy chain-like protein 1) (Dynein axonemal light chain 2)	DNAH17 DNAHL1 DNEL2	Homo sapiens (Human)	4462
64	38087391	similar to axonemal heavy chain dynein type 3 	12	Mus musculus		DYH3_HUMAN	Q8TD57	reviewed	DYH3_HUMAN	Dynein axonemal heavy chain 3 (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)	DNAH3 DNAHC3B	Homo sapiens (Human)	4116
65	4512330	kinesin kif1B-beta 	6	Mus musculus		KIF1B_HUMAN	O60333	reviewed	KIF1B_HUMAN	Kinesin-like protein KIF1B (Klp)	KIF1B KIAA0591 KIAA1448	Homo sapiens (Human)	1816
66	45476577	kinesin Kif11	10	Mus musculus		KIF11_HUMAN	P52732	reviewed	KIF11_HUMAN	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	KIF11 EG5 KNSL1 TRIP5	Homo sapiens (Human)	1056
67	33285017	desmuslin	8	Rattus norvegicus		SYNEM_HUMAN	O15061	reviewed	SYNEM_HUMAN	Synemin (Desmuslin)	SYNM DMN KIAA0353 SYN	Homo sapiens (Human)	1565
68	138531	vimentin	2	Rattus norvegicus	AP-3	MACF1_HUMAN	Q9UPN3	reviewed	MACF1_HUMAN	"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)"	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	Homo sapiens (Human)	7388
69	34874618	similar to bullous pemphigoid antigen 1-b	15	Rattus norvegicus		DYST_HUMAN	Q03001	reviewed	DYST_HUMAN	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570
70	19882221	bullous pemphigoid antigen 1; dystonin isoform b	21	Mus musculus		DYST_HUMAN	Q03001	reviewed	DYST_HUMAN	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570
71	19745146	bullous pemphigoid antigen 1; dystonin isoform e	17	Mus musculus		DYST_HUMAN	Q03001	reviewed	DYST_HUMAN	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570
72	38077811	plectin 1	9	Mus musculus		PLEC_HUMAN	Q15149	reviewed	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	4684
73	41322931	plectin 1 isoform 6	10	Mus musculus		PLEC_HUMAN	Q15149	reviewed	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	4684
74	25021548	microtubule-actin crosslinking factor 1	11	Mus musculus		MACF1_HUMAN	Q9UPN3	reviewed	MACF1_HUMAN	"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)"	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	Homo sapiens (Human)	7388
75	14285343	"microtubule-actin crosslinking factor 1, Actin cross-linking family 7"	11	Mus musculus		MACF1_HUMAN	Q9UPN3	reviewed	MACF1_HUMAN	"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)"	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	Homo sapiens (Human)	7388
76	34870961	similar to macrophin 1 isoform 4	13	Rattus norvegicus		MACF1_HUMAN	Q9UPN3	reviewed	MACF1_HUMAN	"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)"	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	Homo sapiens (Human)	7388
77	6981696	dystrophin-related protein 1 (utrophin) 	9	Rattus norvegicus		KC1G1_HUMAN	Q9HCP0	reviewed	KC1G1_HUMAN	Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)	CSNK1G1	Homo sapiens (Human)	422
78	34852958	spectrin alpha 1 (protein XP_346647 )	10	Rattus norvegicus		SPTA1_HUMAN	P02549	reviewed	SPTA1_HUMAN	"Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)"	SPTA1 SPTA	Homo sapiens (Human)	2419
79	34856454	titin 	33	Rattus norvegicus		TITIN_HUMAN	Q8WZ42	reviewed	TITIN_HUMAN	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	34350
80	7441396	tropomyosin	13	Rattus norvegicus		TPM3_HUMAN	P06753	reviewed	TPM3_HUMAN	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5) (hTM5)	TPM3	Homo sapiens (Human)	285
81	11560119	casein kinase 1 gamma 1	3	Rattus norvegicus		P4K2A_HUMAN	Q9BTU6	reviewed	P4K2A_HUMAN	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	PI4K2A	Homo sapiens (Human)	479
82	16758554	phosphatidylinositol 4-kinase type II	38	Rattus norvegicus	AP-3	P4K2A_HUMAN	Q9BTU6	reviewed	P4K2A_HUMAN	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	PI4K2A	Homo sapiens (Human)	479
83	34872893	protein kinase Njmu-R1 	8	Rattus norvegicus		NJMU_HUMAN	Q9HAS0	reviewed	NJMU_HUMAN	Protein Njmu-R1	C17orf75	Homo sapiens (Human)	396
84	6679313	"protein kinase C, alpha binding protein"	8	Mus musculus		PICK1_HUMAN	Q9NRD5	reviewed	PICK1_HUMAN	PRKCA-binding protein (Protein interacting with C kinase 1) (Protein kinase C-alpha-binding protein)	PICK1 PRKCABP	Homo sapiens (Human)	415
85	20302065	golgi-associated protein GCP360 	23	Rattus norvegicus		GOGA4_HUMAN	Q13439	reviewed	GOGA4_HUMAN	Golgin subfamily A member 4 (256 kDa golgin) (Golgin-245) (Protein 72.1) (Trans-Golgi p230)	GOLGA4	Homo sapiens (Human)	2230
86	20127150	"golgi autoantigen, golgin subfamily a, 4; golgin-245"	6	Mus musculus		GCC2_HUMAN	Q8IWJ2	reviewed	GCC2_HUMAN	GRIP and coiled-coil domain-containing protein 2 (185 kDa Golgi coiled-coil protein) (GCC185) (CLL-associated antigen KW-11) (CTCL tumor antigen se1-1) (Ran-binding protein 2-like 4) (RanBP2L4) (Renal carcinoma antigen NY-REN-53)	GCC2 KIAA0336 RANBP2L4	Homo sapiens (Human)	1684
87	32469711	GRIP and coiled-coil domain-containing protein 2	16	Rattus norvegicus		MYOME_HUMAN	Q5VU43	reviewed	MYOME_HUMAN	Myomegalin (Cardiomyopathy-associated protein 2) (Phosphodiesterase 4D-interacting protein)	PDE4DIP CMYA2 KIAA0454 KIAA0477 MMGL	Homo sapiens (Human)	2346
88	11693144	myomegalin	9	Rattus norvegicus		UGGG1_HUMAN	Q9NYU2	reviewed	UGGG1_HUMAN	UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (hUGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)	UGGT1 GT UGCGL1 UGGT UGT1 UGTR	Homo sapiens (Human)	1555
89	4852562	similar to Golgi coiled coil protein GCC185	14	Rattus norvegicus		GCC2_HUMAN	Q8IWJ2	reviewed	GCC2_HUMAN	GRIP and coiled-coil domain-containing protein 2 (185 kDa Golgi coiled-coil protein) (GCC185) (CLL-associated antigen KW-11) (CTCL tumor antigen se1-1) (Ran-binding protein 2-like 4) (RanBP2L4) (Renal carcinoma antigen NY-REN-53)	GCC2 KIAA0336 RANBP2L4	Homo sapiens (Human)	1684
