User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
PPIB	PPIB	228 / 716	9	56
ATP6V0D1	ATP6V0D1	12 / 716	2.2	9
LMAN2	LMAN2	22 / 716	1.7	3
NME1-NME2	NME1-NME2	324 / 716	6.7	48
NME2	NME2	324 / 716	6.7	48
NME2P1	NME2P1	279 / 716	4.1	21
NME1	NME1	320 / 716	5.6	41
SYP	SYP	 / 716	0	
ESYT2	ESYT2	77 / 716	2.5	13
DCXR	DCXR	49 / 716	2.1	7
ATP6V1B2	ATP6V1B2	90 / 716	2.2	9
SLC35E1	SLC35E1	27 / 716	1.1	4
AP1B1	AP1B1	147 / 716	3.1	22
FAM3C	FAM3C	10 / 716	1.1	2
YIPF4	YIPF4	 / 716	0	
SLC35B2	SLC35B2	4 / 716	1	1
STXBP3	STXBP3	13 / 716	1.3	2
SEC23A	SEC23A	125 / 716	2.6	16
PRRC1	PRRC1	11 / 716	1.4	2
ARF6	ARF6	27 / 716	1.3	4
SLC35A1	SLC35A1	 / 716	0	
SFT2D2	SFT2D2	 / 716	0	
CYCS	CYCS	68 / 716	3.3	9
KIF11	KIF11	278 / 716	24.1	627
DCTN4	DCTN4	44 / 716	1.6	5
EIF1AX	EIF1AX	157 / 716	5.7	34
EIF1AY	EIF1AY	157 / 716	5.7	34
SLC38A1	SLC38A1	25 / 716	1.6	3
ATP6AP1	ATP6AP1	12 / 716	1.3	2
DKFZP434B0535	Invalid identifier / gene not available			
FLJ00383	Invalid identifier / gene not available			
RTN1	RTN1	27 / 716	1.2	2
YWHAG	YWHAG	332 / 716	4.7	54
ZDHHC17	ZDHHC17	 / 716	0	
ZDHHC13	ZDHHC13	 / 716	0	
KDELR3	KDELR3	 / 716	0	
RTN3	RTN3	54 / 716	1.6	7
WDFY1	WDFY1	3 / 716	1	1
RAB6A	RAB6A	143 / 716	2.3	10
PRPSAP2	PRPSAP2	135 / 716	9.2	53
CLIC1	CLIC1	147 / 716	3.3	17
GOLGA2	GOLGA2	71 / 716	3.9	25
TMEM230	TMEM230	1 / 716	1	1
C20ORF30	Invalid identifier / gene not available			
GLB1L2	GLB1L2	 / 716	0	
AP2B1	AP2B1	183 / 716	4.4	46
DKFZP781K0743	Invalid identifier / gene not available			
NCAPG2	NCAPG2	13 / 716	1.1	2
KIAA1467	Invalid identifier / gene not available			
DKFZP762C0813	DKFZP762C0813	 / 716	0	
POP1	POP1	73 / 716	3	15
STX7	STX7	7 / 716	2.3	10
ERP29	ERP29	85 / 716	2.3	8
ESYT1	ESYT1	173 / 716	7.8	56
ATP6V0A1	ATP6V0A1	6 / 716	1.5	3
DKFZP686N0561	Invalid identifier / gene not available			
TUBB2A	TUBB2A	675 / 716	34.5	290
TUBB2B	TUBB2B	675 / 716	34.7	292
DKFZP566F223	Invalid identifier / gene not available			
IPO5	IPO5	267 / 716	4.1	33
B4GALT1	B4GALT1	 / 716	0	
B2M	B2M	14 / 716	1.1	2
SLC1A5	SLC1A5	236 / 716	3	14
SORT1	SORT1	4 / 716	1	1
SURF4	SURF4	158 / 716	2.6	10
PDIA3	PDIA3	281 / 716	8.7	87
SHINC3	Invalid identifier / gene not available			
TMEM33	TMEM33	144 / 716	1.7	6
BCAP31	BCAP31	104 / 716	2	9
VTI1A	VTI1A	 / 716	0	
STX16-NPEPL1	STX16-NPEPL1	2 / 716	1	1
STX16	STX16	2 / 716	1	1
PI4K2B	PI4K2B	 / 716	0	
RAC1	RAC1	58 / 716	1.5	4
RAC3	RAC3	42 / 716	1.3	4
RAC2	RAC2	43 / 716	1.2	3
ARL6IP5	ARL6IP5	17 / 716	2	7
SNRPB2	SNRPB2	214 / 716	3.6	36
LMBRD2	LMBRD2	 / 716	0	
LMAN1	LMAN1	31 / 716	1.5	5
SCAMP4	SCAMP4	2 / 716	1	1
GANAB	GANAB	216 / 716	12.5	100
SCAMP1	SCAMP1	19 / 716	1.2	2
TALDO1	TALDO1	95 / 716	3.1	12
GBF1	GBF1	55 / 716	2.1	5
SPCS2	SPCS2	17 / 716	1.5	3
ATP1B3	ATP1B3	55 / 716	2.3	7
CLCN3	CLCN3	1 / 716	1	1
DYNC1LI2	DYNC1LI2	109 / 716	2.2	10
HLA-C	HLA-C	118 / 716	2.1	11
HLA-CW	Invalid identifier / gene not available			
HLA-A	HLA-A	114 / 716	2.5	15
HLA-A*02	Invalid identifier / gene not available			
HLA-A*0226	Invalid identifier / gene not available			
MHC	Invalid identifier / gene not available			
CLASS	Invalid identifier / gene not available			
I	Invalid identifier / gene not available			
RPN2	RPN2	179 / 716	3.5	29
CDK5RAP2	CDK5RAP2	11 / 716	1.5	4
DKFZP686M1993	Invalid identifier / gene not available			
DKFZP686D1070	Invalid identifier / gene not available			
DKFZP686E2242	Invalid identifier / gene not available			
QSOX2	QSOX2	5 / 716	1	1
AP1B1	AP1B1	147 / 716	3.1	22
LRP1	LRP1	32 / 716	30	284
TM9SF2	TM9SF2	1 / 716	1	1
PEBP1	PEBP1	101 / 716	4.6	14
ARHGDIA	ARHGDIA	98 / 716	3.4	12
RDH11	RDH11	28 / 716	1.3	3
SUMO3	SUMO3	237 / 716	1.4	19
SUMO2	SUMO2	254 / 716	2.3	19
SUMO4	SUMO4	236 / 716	1.4	19
CCDC22	CCDC22	10 / 716	2	4
TMEM109	TMEM109	65 / 716	1.5	5
LAMP2	LAMP2	25 / 716	1.4	3
ARL8A	ARL8A	42 / 716	2.9	13
GOLGB1	GOLGB1	30 / 716	3.5	18
APMAP	APMAP	38 / 716	1.6	7
C20ORF3	Invalid identifier / gene not available			
C20ORF27	C20ORF27	12 / 716	1.2	2
CPD	CPD	26 / 716	3.9	12
IMPAD1	IMPAD1	3 / 716	1	1
C5ORF44	Invalid identifier / gene not available			
AGTRAP	AGTRAP	2 / 716	1.5	2
PRDX3	PRDX3	315 / 716	4.7	28
AP1M1	AP1M1	21 / 716	1.9	11
AP1M2	AP1M2	9 / 716	1	1
CKB	CKB	308 / 716	12.7	96
PDIA6	PDIA6	357 / 716	7.3	52
P5	Invalid identifier / gene not available			
CHMP6	CHMP6	5 / 716	1.4	2
PPP2R1A	PPP2R1A	316 / 716	5	35
GPR89A	GPR89A	10 / 716	1.1	2
GPR89B	GPR89B	10 / 716	1.1	2
GPR89C	Invalid identifier / gene not available			
PPP2CA	PPP2CA	193 / 716	2.3	9
PPP2CB	PPP2CB	193 / 716	2.2	9
PCNT	PCNT	35 / 716	4.7	21
TFRC	TFRC	87 / 716	2.4	21
ACTN4	ACTN4	335 / 716	28.4	1023
ACTN1	ACTN1	314 / 716	12.1	400
ACTN3	ACTN3	170 / 716	6.4	190
ACTN2	ACTN2	213 / 716	7.9	237
BSG	BSG	108 / 716	4.1	30
HEMMPRIN	Invalid identifier / gene not available			
PGK1	PGK1	200 / 716	9	64
PI4K2A	PI4K2A	 / 716	0	
PGRMC2	PGRMC2	112 / 716	3.3	11
PGRMC1	PGRMC1	128 / 716	2.9	19
CANT1	CANT1	 / 716	0	
PCNA	PCNA	268 / 716	6.2	70
PNP	PNP	78 / 716	3.7	14
HLA-B	HLA-B	118 / 716	1.8	9
REEP5	REEP5	24 / 716	1.5	4
PKM2	Invalid identifier / gene not available			
CLTC	CLTC	406 / 716	18.6	236
ATP1A1	ATP1A1	335 / 716	7.3	88
DTYMK	DTYMK	15 / 716	2.1	4
LOC727761	Invalid identifier / gene not available			
TGOLN2	TGOLN2	2 / 716	1	1
CALR	CALR	205 / 716	8	46
GBA	GBA	13 / 716	1.5	3
SSR4	SSR4	254 / 716	2.9	16
LSM4	LSM4	139 / 716	3.3	17
RALA	RALA	23 / 716	2	8
YWHAZ	YWHAZ	410 / 716	7.2	47
ZMPSTE24	ZMPSTE24	11 / 716	2.2	4
P4HB	P4HB	247 / 716	13.1	85
TARS	TARS	167 / 716	6.9	66
DDOST	DDOST	148 / 716	3.1	18
RPP30	RPP30	49 / 716	3	13
RP11-320F15	Invalid identifier / gene not available			
VCL	VCL	156 / 716	4.1	28
H1FX	H1FX	257 / 716	5.2	27
ECT2	ECT2	4 / 716	2	2
SERPINH1	SERPINH1	281 / 716	5	48
TMEM87A	TMEM87A	2 / 716	1	1
ITGB1	ITGB1	38 / 716	2.5	10
CORO1C	CORO1C	281 / 716	6.4	66
SEC24C	SEC24C	122 / 716	3	21
PPIA	PPIA	439 / 716	7.8	59
SLC16A1	SLC16A1	172 / 716	2.7	9
EEF1G	EEF1G	461 / 716	8.9	58
AP1G1	AP1G1	21 / 716	1.7	11
HSP90B1	HSP90B1	460 / 716	14.4	96
TRA1	Invalid identifier / gene not available			
PHGDH	PHGDH	394 / 716	6.2	42
PGDH3	Invalid identifier / gene not available			
VAMP7	VAMP7	5 / 716	1.6	2
SYBL1	Invalid identifier / gene not available			
VAMP3	VAMP3	81 / 716	1.6	6
VAMP2	VAMP2	74 / 716	1.2	4
ARF5	ARF5	232 / 716	4.4	20
PDIA4	PDIA4	168 / 716	8.8	42
SCARB2	SCARB2	2 / 716	1	1
SYNGR1	SYNGR1	2 / 716	1.5	2
GSTP1	GSTP1	164 / 716	6.4	90
PFN1	PFN1	308 / 716	6.6	46
AP1G2	AP1G2	 / 716	0	
PRKCSH	PRKCSH	174 / 716	5.2	17
EIF5A	EIF5A	352 / 716	4.4	22
EIF5AL1	EIF5AL1	307 / 716	2.9	15
EIF5A2	EIF5A2	314 / 716	3	15
PTPLAD1	Invalid identifier / gene not available			
RAB7A	RAB7A	104 / 716	4.7	25
KCT2	KCT2	5 / 716	1.2	2
C5ORF15	Invalid identifier / gene not available			
GOSR1	GOSR1	1 / 716	1	1
ATRIP	ATRIP	1 / 716	2	2
RPN1	RPN1	246 / 716	4.3	37
MYADM	MYADM	5 / 716	2.2	3
YWHAE/FAM22A	Invalid identifier / gene not available			
FUSION	Invalid identifier / gene not available			
YWHAE/FAM22B	Invalid identifier / gene not available			
FUSION	Invalid identifier / gene not available			
YWHAE	YWHAE	447 / 716	10	81
RAN	RAN	440 / 716	8.8	42
HDAC1	HDAC1	306 / 716	4.5	45
TMEM184C	TMEM184C	1 / 716	1	1
SFT2D3	SFT2D3	 / 716	0	
FKBP4	FKBP4	197 / 716	8.2	58
PTPN1	PTPN1	124 / 716	2.4	8
MARCKSL1	MARCKSL1	176 / 716	2	14
ATP2A2	ATP2A2	302 / 716	4.2	41
MIF	MIF	211 / 716	4.1	141
MARCKS	MARCKS	283 / 716	3.9	23
TPI1	TPI1	177 / 716	7.5	54
SV2A	SV2A	1 / 716	1	1
CLINT1	CLINT1	161 / 716	8.5	36
PLS3	PLS3	208 / 716	7.4	37
LCP1	LCP1	167 / 716	3.7	19
HSPD1	HSPD1	520 / 716	22.2	217
SPTBN1	SPTBN1	250 / 716	31.3	390
RANBP1	RANBP1	259 / 716	3	12
PSME3	PSME3	198 / 716	6.8	34
YWHAQ	YWHAQ	410 / 716	5	95
KIF2A	KIF2A	105 / 716	1.8	9
NPEPPS	NPEPPS	123 / 716	4.5	45
SRSF5	SRSF5	260 / 716	1.7	15
RAB13	RAB13	128 / 716	2	8
HCG_1996054	Invalid identifier / gene not available			
TUBB4B	TUBB4B	678 / 716	40	317
TUBB2C	Invalid identifier / gene not available			
TUBB4A	TUBB4A	668 / 716	30.7	255
TUBB4	Invalid identifier / gene not available			
RAB4A	RAB4A	130 / 716	1.5	6
STIP1	STIP1	237 / 716	8.3	67
DLAT	DLAT	137 / 716	5.2	23
SACM1L	SACM1L	22 / 716	2.1	5
TSPAN6	TSPAN6	 / 716	0	
PGAM1	PGAM1	239 / 716	5.1	30
PGAM2	PGAM2	205 / 716	2.9	16
HCG_2015269	Invalid identifier / gene not available			
SEC11A	SEC11A	8 / 716	1.5	3
SPC18	Invalid identifier / gene not available			
SEC11L1	Invalid identifier / gene not available			
TUBAL3	TUBAL3	501 / 716	4.6	43
LRRC59	LRRC59	175 / 716	3.7	18
FTH1	FTH1	7 / 716	1	1
KRT18	KRT18	471 / 716	10.3	311
RAB18	RAB18	84 / 716	2.4	28
NME1	NME1	320 / 716	5.6	41
METAP1	METAP1	11 / 716	1	1
DKFZP781C0419	Invalid identifier / gene not available			
RAB35	RAB35	165 / 716	2.5	25
GOLM1	GOLM1	1 / 716	1	1
GOLPH2	Invalid identifier / gene not available			
DHCR24	DHCR24	9 / 716	1.2	2
NBLA03646	NBLA03646	9 / 716	1.2	2
NAPA	NAPA	19 / 716	1.2	3
SEC23IP	SEC23IP	92 / 716	2.4	6
HSP90AA1	HSP90AA1	565 / 716	33.7	343
LDHA	LDHA	304 / 716	7.4	60
EPHX1	EPHX1	13 / 716	1.2	2
SCD	SCD	14 / 716	1.1	2
CKAP4	CKAP4	168 / 716	4.7	25
KATNAL2	KATNAL2	132 / 716	1.7	6
FAM18B2	Invalid identifier / gene not available			
FAM18B1	Invalid identifier / gene not available			
FAM18B2-CDRT4	Invalid identifier / gene not available			
AP1S1	AP1S1	4 / 716	1.3	2
TP53	TP53	131 / 716	10.8	139
DYNC1I2	DYNC1I2	163 / 716	2.5	9
STRN3	STRN3	37 / 716	1.5	5
ERH	ERH	454 / 716	5.4	100
RAB11B	RAB11B	125 / 716	5.7	52
RAB11A	RAB11A	125 / 716	5.5	40
MDH1	MDH1	100 / 716	3.6	13
TRAPPC9	TRAPPC9	1 / 716	1	1
TECR	TECR	192 / 716	2.4	14
ACTC1	ACTC1	656 / 716	26.6	411
ACTA1	ACTA1	656 / 716	26.4	411
ACTA2	ACTA2	653 / 716	24.5	355
ACTG2	ACTG2	653 / 716	24.3	355
PDIA3	PDIA3	281 / 716	8.7	87
CAPZA1	CAPZA1	318 / 716	4.6	36
ANP32A	ANP32A	116 / 716	3.3	25
PRDX6	PRDX6	388 / 716	6.8	63
PTGFRN	PTGFRN	2 / 716	1	1
RAP1A	RAP1A	115 / 716	2.2	10
RAP1B	RAP1B	117 / 716	2.4	10
FAM45B	Invalid identifier / gene not available			
FAM45A	FAM45A	 / 716	0	
DDX41	DDX41	171 / 716	10.4	43
ERO1L	Invalid identifier / gene not available			
GOT2	GOT2	78 / 716	7.4	21
C16ORF62	C16ORF62	11 / 716	1	1
MYL12B	MYL12B	295 / 716	5.6	82
MYL12A	MYL12A	294 / 716	5.6	81
MRLC3	Invalid identifier / gene not available			
TUBB	TUBB	685 / 716	47.2	336
XTP3TPATP1	Invalid identifier / gene not available			
PARK7	PARK7	236 / 716	4.2	20
EIF5B	EIF5B	200 / 716	6.2	22
NAP1L1	NAP1L1	374 / 716	6.3	25
ATIC	ATIC	88 / 716	5.2	30
CANX	CANX	310 / 716	7.9	76
PIG59	Invalid identifier / gene not available			
GLUL	GLUL	58 / 716	1.6	6
PIG43	Invalid identifier / gene not available			
HSP90AB2P	HSP90AB2P	524 / 716	7.4	50
PRPS1	PRPS1	225 / 716	7	54
YIPF6	YIPF6	 / 716	0	
LRRC47	LRRC47	82 / 716	1.6	11
EIF4E	EIF4E	97 / 716	1.9	5
VAC14	VAC14	3 / 716	2	4
ATP2C1	ATP2C1	3 / 716	4.3	6
EEF1B2	EEF1B2	379 / 716	4.6	30
LOC392793	Invalid identifier / gene not available			
DPYSL5	DPYSL5	68 / 716	3.6	28
SNX2	SNX2	141 / 716	2.8	8
AARS	AARS	122 / 716	4.5	42
TXN	TXN	432 / 716	3.5	15
TXN	TXN	432 / 716	3.5	15
DELTA	Invalid identifier / gene not available			
3	Invalid identifier / gene not available			
EIF4G1	EIF4G1	293 / 716	25	153
VARIANT	Invalid identifier / gene not available			
PROTEIN	Invalid identifier / gene not available			
EIF4G1	EIF4G1	293 / 716	25	153
NRAS	NRAS	24 / 716	1.4	3
KRAS	KRAS	24 / 716	1.4	7
HRAS	HRAS	17 / 716	1.4	3
HSP90AB1	HSP90AB1	573 / 716	34.8	273
HSP90AB3P	HSP90AB3P	510 / 716	13.3	102
TMX1	TMX1	53 / 716	1.8	7
TXNDC	Invalid identifier / gene not available			
LDHB	LDHB	340 / 716	8.9	87
CUL2	CUL2	35 / 716	1.8	16
MAN1B1	MAN1B1	 / 716	0	
DKFZP434I213	Invalid identifier / gene not available			
GNAI3	GNAI3	166 / 716	2.8	39
GNAI2	GNAI2	159 / 716	2.8	25
GNAI1	GNAI1	155 / 716	2.3	26
GNAO1	GNAO1	146 / 716	1.7	13
SPTAN1	SPTAN1	324 / 716	27.7	374
DKFZP564P0562	Invalid identifier / gene not available			
VPS29	VPS29	31 / 716	1.9	6
DKFZP667O202	Invalid identifier / gene not available			
SCAMP3	SCAMP3	56 / 716	1.4	3
PTGES3	PTGES3	175 / 716	2.9	14
UCHL1	UCHL1	167 / 716	4.6	27
GLO1	GLO1	130 / 716	4.5	26
SET	SET	384 / 716	5.7	33
ACSL3	ACSL3	153 / 716	1.8	16
UBA1	UBA1	301 / 716	10.7	146
HSP90AB4P	HSP90AB4P	429 / 716	5.2	34
HSPA4	HSPA4	304 / 716	11.1	60
HS24/P52	Invalid identifier / gene not available			
CFL1	CFL1	496 / 716	6.7	70
PELP1	PELP1	87 / 716	2.7	24
VPS35	VPS35	75 / 716	2.8	26
DKFZP686O2462	Invalid identifier / gene not available			
XPO5	XPO5	129 / 716	2.7	26
C17ORF56	Invalid identifier / gene not available			
CAND1	CAND1	275 / 716	7.1	65
DKFZP686E2459	Invalid identifier / gene not available			
RBM10	RBM10	327 / 716	20.8	233
DNAJC7	DNAJC7	150 / 716	3.2	24
PRDX4	PRDX4	394 / 716	3.6	29
MYL6	MYL6	411 / 716	6.8	50
MYL6B	MYL6B	332 / 716	2.2	24
HSPA5	HSPA5	661 / 716	23.9	146
GDI2	GDI2	166 / 716	5.4	33
FRG1	FRG1	138 / 716	5.2	35
FRG1B	Invalid identifier / gene not available			
LOC283788	Invalid identifier / gene not available			
MYH9	MYH9	448 / 716	51.8	667
NARS	NARS	64 / 716	2.7	10
AHCY	AHCY	232 / 716	9.3	56
ACSL4	ACSL4	130 / 716	1.2	4
FACL4	Invalid identifier / gene not available			
YWHAB	YWHAB	368 / 716	5.8	39
HIST1H2AK	HIST1H2AK	551 / 716	10.6	209
HIST1H2AB	HIST1H2AB	550 / 716	10.1	209
HIST1H2AG	HIST1H2AG	551 / 716	10.6	209
HIST1H2AD	HIST1H2AD	551 / 716	10.5	209
HIST2H2AA3	HIST2H2AA3	552 / 716	10.6	210
RPL29	RPL29	399 / 716	2.5	60
RP11-632C17__A	Invalid identifier / gene not available			
RBBP4	RBBP4	393 / 716	5.5	28
RBBP7	RBBP7	370 / 716	6.8	42
RAB14	RAB14	151 / 716	1.9	8
HSPA6	HSPA6	687 / 716	14.9	158
HSPA7	HSPA7	674 / 716	9.6	132
GNB1	GNB1	140 / 716	3.6	29
DNAJC13	DNAJC13	47 / 716	3.6	40
STX8	STX8	 / 716	0	
VPS26A	VPS26A	40 / 716	1.4	8
POR	POR	31 / 716	1.7	9
DKFZP686G04235	Invalid identifier / gene not available			
HP1BP3	HP1BP3	214 / 716	8.1	100
UBA2	UBA2	137 / 716	3.2	16
RAB10	RAB10	176 / 716	3	16
NAA15	NAA15	68 / 716	2.8	14
NARG1	Invalid identifier / gene not available			
GART	GART	336 / 716	9.7	51
RAB2A	RAB2A	81 / 716	2	8
RUVBL2	RUVBL2	310 / 716	12.9	96
GLTSCR2	Invalid identifier / gene not available			
ANP32B	ANP32B	114 / 716	3.1	20
EIF3S3	EIF3S3	195 / 716	3.2	15
EIF3H	EIF3H	195 / 716	3.2	15
DHX15	DHX15	432 / 716	11	165
YARS	YARS	170 / 716	4.3	35
NSF	NSF	98 / 716	2.1	13
LARS	LARS	348 / 716	7.7	61
PIG44	Invalid identifier / gene not available			
TXNDC5	TXNDC5	149 / 716	4.3	41
DKFZP666I134	Invalid identifier / gene not available			
STRF8	Invalid identifier / gene not available			
ANGEL1	ANGEL1	 / 716	0	
SORD	SORD	46 / 716	2.7	13
CTTN	CTTN	318 / 716	15.2	122
EMS1	Invalid identifier / gene not available			
DCTN2	DCTN2	219 / 716	4.8	26
RUVBL1	RUVBL1	378 / 716	18.3	97
PDAP1	PDAP1	233 / 716	5.1	24
NOL12	NOL12	12 / 716	1.3	2
BLMH	BLMH	63 / 716	2	16
SRSF1	SRSF1	280 / 716	8.7	60
EXOC3	EXOC3	23 / 716	1.4	4
CD151	CD151	 / 716	0	
WDR11	WDR11	43 / 716	2.5	11
DKFZP434L1715	Invalid identifier / gene not available			
SNAP29	SNAP29	124 / 716	3.4	14
APEX1	APEX1	109 / 716	3.2	12
HSPA9	HSPA9	552 / 716	26.2	161
C16ORF88	Invalid identifier / gene not available			
GNB2	GNB2	151 / 716	3.3	24
GNB4	GNB4	144 / 716	2.6	13
GNB1	GNB1	140 / 716	3.6	29
SNRPG	SNRPG	146 / 716	1.9	7
RPS27A	RPS27A	478 / 716	5.8	84
UBC	UBC	457 / 716	5.5	84
DKFZP434K0435	Invalid identifier / gene not available			
UBB	UBB	457 / 716	5.5	84
LANCL1	LANCL1	94 / 716	1.7	6
SARS2	SARS2	75 / 716	1.9	15
FBXO17	FBXO17	3 / 716	1.3	2
FDX1L	Invalid identifier / gene not available			
DYNC1H1	DYNC1H1	345 / 716	15.1	127
UCHL5	UCHL5	59 / 716	2.4	8
RFC1	RFC1	129 / 716	6.9	54
IK	IK	134 / 716	6.7	45
CSA2	Invalid identifier / gene not available			
DKFZP564B112	Invalid identifier / gene not available			
THOC6	THOC6	79 / 716	3.6	23
KPNB1	KPNB1	418 / 716	12	76
HSPA8	HSPA8	703 / 716	46.9	338
