NAME	SHORTNAME	PID	productWave	colorWave	allTWave	ratioWave	meanCond1	meanCond2
Membrane-associated progesterone receptor component 1	PGRMC1	O00264	6.1524984695381	3	0.00028000388	6.061448220711415	16.92566553492541	14.32600300670201
Transcription elongation factor SPT5	SUPT5H	O00267	4.225297366039305	2	0.004216352	0.2773473440237542	14.41191253808197	16.26214672319782
Chloride intracellular channel protein 1	CLIC1	O00299	3.325848619765315	3	0.032648429	3.579382873942119	16.20101247025009	14.36130159824936
Eukaryotic translation initiation factor 3 subunit F	EIF3F	O00303	1.099675235710409	0	0.33566186	1.542828005032049	16.43985189346377	15.81427465470352
Importin-5	IPO5	O00410	0.5327153429243321	0	0.53780192	1.200252294601068	14.65841472624201	14.39507703214809
Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3	O00425;Q9Y6M1	3.923198672783776	2	0.0055557778	0.3147016285420238	16.77531619370735	18.44325964417057
Dynamin-1-like protein	DNM1L	O00429	1.772779497334877	0	0.075729951	1.571396432159501	14.95903569520693	14.30698850530614
Golgi integral membrane protein 4	GOLIM4	O00461	1.909886656964282	0	0.086809814	1.800572246246954	14.8293780500365	13.9809225625821
Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment	AGRN	O00468	1.047657578360038	0	0.28414282	1.415384737638623	14.38494202470908	13.88374775706758
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	O00469	6.302696088098227	3	0.00032619172	7.042897673934894	17.0333800459334	14.21721092393014
Homeobox protein Meis1;Homeobox protein Meis3;Homeobox protein Meis2;Putative homeobox protein Meis3-like 1	MEIS1;MEIS3;MEIS2;MEIS3P1	O00470;Q99687;O14770;A6NDR6	1.047208704962058	0	0.43432093	1.60772368034511	14.35384621428984	13.66882674263086
26S proteasome non-ATPase regulatory subunit 14	PSMD14	O00487	0.1405754379179669	0	0.83337116	0.9583244580954372	14.30553408846002	14.36694799415476
Importin subunit alpha-4	KPNA3	O00505	3.617510826307948	3	0.0064386711	2.687578685318791	15.275152824812	13.8488458311304
Serine/threonine-protein kinase 26;Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 36 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit;Serine/threonine-protein kinase 25	STK26;STK24;STK25	Q9P289;Q9Y6E0;O00506	0.2818144292297422	0	0.81491196	0.8748301693364149	14.15611677850247	14.34904189945842
B-cell CLL/lymphoma 9 protein	BCL9	O00512	3.100626132524631	2	0.012482723	0.4362008732343403	14.03854644645632	15.23548188321832
Pescadillo homolog	PES1	O00541	1.370759050517588	0	0.15141486	1.465027311426803	14.95960366922953	14.40867610922861
Syntenin-1	SDCBP	O00560	0.3167801838416882	0	0.73492712	0.8808544425661647	14.23647518931096	14.41949964455024
U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10	O00566	0.500996334992621	0	0.5214051	1.163258404119057	14.1965171686005	13.97834555852052
Nucleolar protein 56	NOP56	O00567	1.630900181067743	0	0.11677352	1.622529319793667	14.81475680444796	14.1165122558761
ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	O00571;O15523;Q9NQI0	9.476055804748729	2	7.6347385e-07	0.09747322679979672	17.44384743012803	20.80269761506475
Podocalyxin	PODXL	O00592	2.648131015572678	3	0.041826259	2.410913699104531	15.54456959541542	14.27498958615988
Protein CYR61	CYR61	O00622	0.6524449352850024	0	0.46287662	1.246523577415402	14.4990370757856	14.18112690479045
Importin subunit alpha-3	KPNA4	O00629	1.718158718578433	0	0.13493538	1.800358904958028	16.00629543784965	15.15801089863447
Nuclear factor 1 B-type	NFIB	O00712	5.423056382815076	2	0.0006426762	0.2130038477926955	14.23109449162001	16.46214309436001
Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide	MAN2B1	O00754	0.05304398803879273	0	0.95825249	1.024218798659988	14.22951750327596	14.19499355940003
Acyl-CoA desaturase	SCD	O00767	0.2475105057667157	0	0.73280752	0.9249835236140556	14.17743589557127	14.2899363227886
AT-rich interactive domain-containing protein 1A	ARID1A	O14497	17.13390610895502	2	4.6102141e-12	0.01797795591232153	13.90869800081342	19.70632519436317
Class E basic helix-loop-helix protein 40	BHLHE40	O14503	0.8981108965034235	0	0.3382248	1.344729819092382	14.16416395078156	13.73684761280323
Suppressor of cytokine signaling 2	SOCS2	O14508	0.6475594250825729	0	0.53103811	1.294760380737152	14.39892403793851	14.02623891262057
Citron Rho-interacting kinase	CIT	O14578	0.3685220430022138	0	0.59581631	1.104684531800515	14.65552902033005	14.51189458680965
Coatomer subunit epsilon	COPE	O14579	0.5822908877633779	0	0.50876677	0.8185771909243781	15.04261954537366	15.33142917259893
Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal	EIF1AX;EIF1AY	P47813;O14602	2.298770588129544	0	0.014263534	1.368881655146782	14.51976944157943	14.06677171588427
Cdc42 effector protein 2	CDC42EP2	O14613	1.331227662276968	0	0.27195504	1.700223941246031	14.79079749837788	14.0250727181047
Actin-binding LIM protein 1	ABLIM1	O14639	0.8189936572617693	0	0.27285916	0.8380265203792143	13.98463536085897	14.23956755524156
Golgi SNAP receptor complex member 2	GOSR2	O14653	0.2064312212805621	0	0.79015011	0.9303588406573133	14.24920870785253	14.35334952976051
Torsin-1A	TOR1A	O14656	0.07343237883124765	0	0.9014141	1.019849822063245	14.24981905057998	14.22146232673225
Histone-lysine N-methyltransferase 2D	KMT2D	O14686	0.9670135907969275	0	0.20879002	1.219866532598311	14.58975092079472	14.30302761177041
Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	O14744	0.6268508382706397	0	0.42991513	0.8349527275661655	14.71423981210318	14.97447338801038
Na(+)/H(+) exchange regulatory cofactor NHE-RF1	SLC9A3R1	O14745	4.497798842415321	3	0.0018117704	3.377374062888762	16.05284796216186	14.29694598749861
Serine/threonine-protein kinase Chk1	CHEK1	O14757	0.6724651870708342	0	0.52036667	0.7637780449415701	13.83029635759765	14.21907100268583
Tripeptidyl-peptidase 1	TPP1	O14773	2.463648791591375	1	0.071584649	2.494012481761497	15.31211262554192	13.99364394011357
Neuropilin-1	NRP1	O14786	2.080149399865814	0	0.054285873	1.759098479488342	15.18855066913659	14.37371441776931
Proteasome subunit alpha type-7;Proteasome subunit alpha type-7-like	PSMA7;PSMA8	O14818;Q8TAA3	1.174220058519444	0	0.22480249	1.439952434054315	14.71990788142683	14.19388672551436
Secretory carrier-associated membrane protein 3	SCAMP3	O14828	9.289997401560516	3	1.5714912e-06	11.20685335734069	17.6646135799772	14.17830422773309
Putative mitochondrial import inner membrane translocase subunit Tim23B;Mitochondrial import inner membrane translocase subunit Tim23	TIMM23B;TIMM23	Q5SRD1;O14925	0.4359701040152579	0	0.55690455	0.881632388340516	14.26332155991746	14.44507242994301
Histone acetyltransferase type B catalytic subunit	HAT1	O14929	3.669442111029927	3	0.0088460036	3.065641881098091	15.84667529476463	14.23048611914425
Myosin regulatory light chain 12B;Myosin regulatory light chain 12A	MYL12B;MYL12A	O14950;P19105	0.4835295337688521	0	0.73675805	1.275315697349653	16.41360779771891	16.06275337524385
Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	O14964	0.8719867333637339	0	0.26679555	1.229579747778463	14.23091807432909	13.93275276640329
Calmegin	CLGN	O14967	0.09809847581837516	0	0.88003927	1.029968725588431	14.17035967632891	14.12775914486555
Protein phosphatase 1 regulatory subunit 12A	PPP1R12A	O14974	0.3773561732316946	0	0.64691234	1.139342582325775	14.5189500208158	14.33074841291842
Cyclin-G-associated kinase	GAK	O14976	0.8174806284374139	0	0.24010508	1.147013205681976	14.29717161812091	14.09928961677395
Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	O14979	0.8974680332677281	0	0.37439421	0.7215657899169212	14.33515174219456	14.80594889633669
Exportin-1	XPO1	O14980	2.892053438209098	3	0.036855608	2.74833327627438	15.44630397430699	13.98774701131762
Zinc finger protein 609	ZNF609	O15014	1.197000617915132	0	0.19830564	0.7098884734162083	14.37195814806631	14.86629385423446
Spectrin beta chain, non-erythrocytic 2	SPTBN2	O15020	0.5673669764403968	0	0.51834565	0.8224578023473958	14.54841104724739	14.83039748140949
Protein transport protein Sec16A	SEC16A	O15027	13.28083877138872	2	3.5648426e-09	0.03508799029985683	14.16078769867862	18.993666570165
Plexin-B2	PLXNB2	O15031	3.017249326494454	3	0.023890767	2.630759601825964	15.48069746539858	14.08521804399446
U2 snRNP-associated SURP motif-containing protein	U2SURP	O15042	8.082092436975049	2	2.6304e-05	0.08825889849250447	14.6358453487121	18.13795979649037
Synaptojanin-2	SYNJ2	O15056	1.79034070857843	0	0.1575819	0.5042296929487525	13.52057986307092	14.50842688020495
Synemin	SYNM	O15061	1.188889832941006	0	0.23057958	0.6822107072946506	13.6718497707676	14.22356046743236
Zinc finger protein 536	ZNF536	O15090	0.6689489731090674	0	0.36615843	1.174965176527694	14.35840399432764	14.12578599532059
Sphingolipid delta(4)-desaturase DES1	DEGS1	O15121	0.3048263741059287	0	0.64157617	0.9252565867898596	14.19962743798341	14.31170203193701
Secretory carrier-associated membrane protein 1	SCAMP1	O15126	2.1872988725254	1	0.069543004	2.041390691724897	15.33546373010559	14.30591141100121
Secretory carrier-associated membrane protein 2	SCAMP2	O15127	3.345293550082941	3	0.0075887642	2.338307412720682	15.49983180533099	14.27436719468592
Actin-related protein 2/3 complex subunit 2	ARPC2	O15144	0.4096038884717554	0	0.5725553	0.8904328138430275	14.00636342312141	14.17378475877868
BET1 homolog	BET1	O15155	0.5420003730339502	0	0.43383542	1.132354245998429	14.27299536168679	14.09366999981082
DNA-directed RNA polymerases I and III subunit RPAC1	POLR1C	O15160	0.3828285568427052	0	0.61617446	1.127034949066179	14.38695958401031	14.21442733020143
Membrane-associated progesterone receptor component 2	PGRMC2	O15173	7.684429631941406	3	4.9904661e-06	5.214651104737175	16.51626503888857	14.13369430892471
NF-kappa-B-repressing factor	NKRF	O15226	3.202534075268245	2	0.010796733	0.4245991864146897	14.16076914470353	15.39659563272965
Protein CASC3	CASC3	O15234	3.322151579994619	2	0.010713065	0.3917308452262869	14.30736806050798	15.65943342357602
Protein RER1	RER1	O15258	0.8421454453273203	0	0.40570688	0.7318613042961802	14.94870937131878	15.39906719824743
Surfeit locus protein 4	SURF4	O15260	3.380301274401305	2	0.033244576	0.2675680866836187	14.39520929171614	16.29723133313862
Serine palmitoyltransferase 1	SPTLC1	O15269	0.7969742893701657	0	0.32818851	0.8049116414990267	13.93793620775359	14.25103388136104
Serine palmitoyltransferase 2	SPTLC2	O15270	0.3901653419566955	0	0.57973427	1.112183091953231	14.44488160264427	14.29148729290173
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	OGT	O15294	5.338513691131068	2	0.001301233	0.1826471593947693	14.20857705052643	16.66144582893777
Protein phosphatase 1G	PPM1G	O15355	0.201478795056266	0	0.77343273	1.064297399851749	14.32785718272522	14.23795583889805
Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	INPPL1	O15357	0.7290277434910273	0	0.38745427	1.245951741635799	14.12056777269329	13.8033195819004
Eukaryotic translation initiation factor 3 subunit D	EIF3D	O15371	1.977583225439066	0	0.084622346	0.5340074099551628	15.11346319822715	16.01853153204176
Eukaryotic translation initiation factor 3 subunit H	EIF3H	O15372	0.4344963579977605	0	0.66813231	0.8354591399113009	15.4291989192453	15.68855774250548
Histone deacetylase 3	HDAC3	O15379	4.799380370861037	2	0.0026822411	0.2134724559187792	14.41705849389232	16.64493665604364
Importin-8	IPO8	O15397	0.4588653191833014	0	0.57550764	1.163859106826282	14.64343524093497	14.42451882030552
Syntaxin-7	STX7	O15400	0.2886067135965895	0	0.68900985	0.9158402411167376	14.0520238400746	14.17885597796089
Monocarboxylate transporter 4	SLC16A3	O15427	6.822978192895217	3	0.00018279382	8.485146995365723	17.57895454524913	14.49401489224039
Canalicular multispecific organic anion transporter 2	ABCC3	O15438	1.355737702575398	0	0.11587101	1.337660959674877	14.41746157661659	13.99774907631551
Prolyl 4-hydroxylase subunit alpha-2	P4HA2	O15460	4.351482221518308	3	0.0014846605	2.874098496975327	15.67335165567197	14.15024215105735
Synaptobrevin homolog YKT6	YKT6	O15498	0.2217872482766463	0	0.800942	0.9167572523011076	14.33766905595993	14.46305737696521
Nucleoporin-like protein 2	NUPL2	O15504	0.7442686544249231	0	0.41979867	1.28994514653629	14.43830986713258	14.07100014916052
Tapasin	TAPBP	O15533	0.06172020148439117	0	0.91393799	1.015814469475222	14.31725572743863	14.29461879817294
Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	O43143	6.732992561335088	2	6.1667015e-05	0.1739753177995058	14.30255762471256	16.82560307682523
mRNA cap guanine-N7 methyltransferase	RNMT	O43148	4.610249606072212	2	0.0040048352	0.2157101239640429	14.1332088389482	16.34604304546902
Cytochrome b5 type B	CYB5B	O43169	4.516948990128272	3	0.0021568004	3.606898543053349	15.83183412871155	13.98107528598318
U4/U6 small nuclear ribonucleoprotein Prp4	PRPF4	O43172	0.005600867513853913	0	0.99278253	0.9982997740708937	14.22926971902596	14.23172471415737
D-3-phosphoglycerate dehydrogenase	PHGDH	O43175	5.424319987030547	3	0.00021280196	3.368941783930989	18.16632483770407	16.41402933912262
26S proteasome non-ATPase regulatory subunit 3	PSMD3	O43242	2.535208498530677	0	0.022664161	1.853880362692699	14.91165608821263	14.02110794334254
RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1	RBFOX2;RBFOX1	O43251;Q9NWB1;A6NFN3	0.09846136417139562	0	0.93638355	0.952694036268302	16.05103913251268	16.12095426954187
Beta-1,4-galactosyltransferase 5	B4GALT5	O43286	0.4305008076780279	0	0.5219596	1.108138103612606	14.32079104814564	14.17265335720879
U4/U6.U5 tri-snRNP-associated protein 1	SART1	O43290	2.345755746518627	0	0.042238303	0.5099889237584442	14.5777278342094	15.54919001497791
Glycosylphosphatidylinositol anchor attachment 1 protein	GPAA1	O43292	0.6537246095401823	0	0.39193103	0.8426852255617012	14.26948439854806	14.51641866218103
Death-associated protein kinase 3	DAPK3	O43293	0.5341704621465748	0	0.4551146	1.142576880696629	14.32190341454021	14.12961217121039
Mitogen-activated protein kinase kinase kinase 7	MAP3K7	O43318	4.593120945636535	2	0.0027121229	0.2454616826138948	14.24504909332282	16.27147935559449
Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	O43324	1.052110289989068	0	0.17938694	1.236190553266178	14.51764299830697	14.21174185291019
Heterogeneous nuclear ribonucleoprotein R	HNRNPR	O43390	6.903621618705706	2	9.3890114e-05	0.1361962013613725	16.13095622886055	19.00719785794224
U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3	O43395	0.968768326249025	0	0.28610387	1.342844305325859	14.62790762363905	14.20261558094029
Tumor protein D54	TPD52L2	O43399	8.607277936602163	3	1.7860273e-05	14.51191707305278	17.62023957988001	13.76107336813136
Eukaryotic translation initiation factor 4 gamma 3	EIF4G3	O43432	1.487096553507641	0	0.11676853	1.468580535672971	14.40467504347306	13.85025265950583
Krueppel-like factor 4	KLF4	O43474	1.218041452885817	0	0.18371066	0.7158971292830845	14.47016948151522	14.95234528183985
Aflatoxin B1 aldehyde reductase member 2;Aflatoxin B1 aldehyde reductase member 4	AKR7A2;AKR7L	O43488;Q8NHP1	0.8533638926862075	0	0.4476504	0.7050009563047898	13.74096407717756	14.2452669575957
Band 4.1-like protein 2	EPB41L2	O43491	6.680170147662389	3	7.7270925e-05	5.930634126410025	16.94955127800762	14.38136490643776
Mediator of RNA polymerase II transcription subunit 7	MED7	O43513	0.7249686389200178	0	0.46844962	0.7601565562567684	14.43863596501119	14.83426748387505
Carbonic anhydrase 12	CA12	O43570	1.264535809433555	0	0.21557879	1.513765648443783	14.64886667349049	14.05072479973732
Mitochondrial import inner membrane translocase subunit TIM44	TIMM44	O43615	1.608193708882496	0	0.17190033	1.794361296880876	14.04374249229302	13.20027208434436
Charged multivesicular body protein 2a	CHMP2A	O43633	0.07280454350722643	0	0.92888904	0.9721370484966843	14.25631836650667	14.29708674710105
Protein regulator of cytokinesis 1	PRC1	O43663	7.587151541461798	2	2.1754806e-05	0.1316968779460334	14.39213399503662	17.3168409449762
BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207	O43670	4.519656065518468	2	0.00080930034	0.3717061000661387	14.31798869266584	15.7457544231013
ATPase ASNA1	ASNA1	O43681	3.321510846625564	3	0.010562572	2.540795854458711	15.43781864388278	14.09253818017653
Mitotic checkpoint protein BUB3	BUB3	O43684	4.982827751719581	2	0.0017204485	0.2148691892669178	14.47448506918203	16.69295453881238
Alpha-actinin-4	ACTN4	O43707;Q08043;P35609;Q9H254	8.372027848170291	3	3.546775e-05	15.15646731503213	18.76841378409392	14.84655216135697
T-cell leukemia homeobox protein 3	TLX3	O43711	0.6873390348748529	0	0.50309104	0.7636663706702238	13.79859254955007	14.18757815081591
Synaptogyrin-2	SYNGR2	O43760	3.119694394916371	3	0.020938158	2.714399111442239	15.01539056029676	13.57475769740095
Asparagine--tRNA ligase, cytoplasmic	NARS	O43776	0.3977794899383778	0	0.60711759	0.8820593838666392	14.33123577478441	14.51228808245369
Unconventional myosin-Ib	MYO1B	O43795	4.296408755678435	3	0.0031797369	3.479306694801235	15.92259166261656	14.12379180700831
Cleavage and polyadenylation specificity factor subunit 5	NUDT21	O43809	20.68351469781854	2	4.7100124e-14	0.006101852544625421	14.9170010249309	22.27353799295208
Striatin	STRN	O43815	0.3097908794798165	0	0.69179899	0.901393657363039	13.89640296654767	14.04617376283847
A-kinase anchor protein 8	AKAP8	O43823	20.05837751473253	2	8.0299888e-16	0.03205977033779187	14.45513200146355	19.41822410054667
Calumenin	CALU	O43852	7.4870195980725	3	1.6132108e-05	6.474239746329491	16.85153233594961	14.15682154525015
EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3	O43854	7.975685405118735	3	2.0214819e-05	9.722687753827246	17.79771308274643	14.5163578930818
Putative adenosylhomocysteinase 2	AHCYL1	O43865	0.4295855230335661	0	0.58004826	1.143177685592616	14.59450882321502	14.40145916226965
Double-strand-break repair protein rad21 homolog	RAD21	O60216	2.153866176032945	0	0.038702819	1.672039283587534	14.73913065710423	13.99752191400891
Mediator of RNA polymerase II transcription subunit 14	MED14	O60244	3.572330739503872	2	0.015977485	0.2920244121996859	14.44480473901811	16.22064385559718
Protocadherin-7	PCDH7	O60245	2.325280881229713	0	0.034103841	1.812629636640501	15.1056955183789	14.24761134010634
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Probable global transcription activator SNF2L1	SMARCA5;SMARCA1	O60264;P28370	1.37726781292543	0	0.19900642	1.597853255511747	14.40637632946017	13.73024141009706
Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1	OPA1	O60313	0.1709240495366835	0	0.80973291	1.056480284546041	14.59257988268701	14.51331403794426
Lysine-specific histone demethylase 1A	KDM1A	O60341	4.516209449423631	2	0.0014429284	0.3130675264192756	14.56981482697311	16.24526905216883
Fatty acid desaturase 1	FADS1	O60427	0.4306369935913406	0	0.59911758	1.155205128541537	14.45331529824886	14.24516624604183
Non-syndromic hearing impairment protein 5	DFNA5	O60443	0.31387439312482	0	0.66531932	1.099543390297947	14.06726270210146	13.93035816500043
Long-chain-fatty-acid--CoA ligase 4	ACSL4	O60488	0.6891205051220446	0	0.38655096	1.211107776525886	14.73121226884424	14.45488501261403
Sorting nexin-3	SNX3	O60493	0.2617252598712323	0	0.67100853	1.063229696779006	14.4859474449128	14.39749413910116
Adenylate cyclase type 9	ADCY9	O60503	0.02299728222193664	0	0.97487426	1.008314632913947	14.18453726611958	14.17259138073697
Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	O60506	1.311212211684751	0	0.20068705	0.653504224309906	15.16416683454193	15.77789836766834
Ran-binding protein 6	RANBP6	O60518	0.5665271875161455	0	0.5363422	0.8145249757778471	13.81032585507859	14.10629501318152
Cyclin-T1	CCNT1	O60563	2.845298271701786	0	0.011944062	0.5276121579178366	14.3953512626379	15.31780154811837
Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	BUB1B	O60566	0.5227449341671342	0	0.53732371	1.191666821012627	14.80055800554542	14.54757707751613
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3	O60568	1.892348124573177	0	0.11034529	1.912025733347664	15.61377503144485	14.67867309122074
Eukaryotic translation initiation factor 4E type 2	EIF4E2	O60573	6.486812272829702	2	0.00063435873	0.1022982026931612	14.31224034687	17.60138764357971
Protein diaphanous homolog 1	DIAPH1	O60610	1.398225929807428	0	0.16962934	1.545128558807904	14.67236545199981	14.0446385728096
Exocyst complex component 3	EXOC3	O60645	0.03480449609969583	0	0.9667846	0.9861409566380958	14.52673141818841	14.54686563634241
Perilipin-3	PLIN3	O60664	4.308215344997416	3	0.0027843635	3.370450261675544	16.09305886892308	14.34011753363025
Monocarboxylate transporter 2	SLC16A7	O60669	1.999757413108615	0	0.089010291	1.93079855738063	15.09342446044542	14.14422680647682
Importin subunit alpha-7	KPNA6	O60684;O15131	0.7897617182026728	0	0.42067781	0.7506897370549384	15.29814310255309	15.71185443790321
UDP-glucose 6-dehydrogenase	UGDH	O60701	2.549663680418059	3	0.032539766	2.087936933676318	15.89774062411576	14.83566248828388
Catenin delta-1	CTNND1	O60716	6.490301246676228	3	9.7619311e-05	5.578344585356944	16.84234621231055	14.36250915707109
Dolichol-phosphate mannosyltransferase subunit 1	DPM1	O60762	1.265152268922842	0	0.24618149	1.576153066705817	14.91765971977098	14.26125207212499
General vesicular transport factor p115	USO1	O60763	4.550657397100903	3	0.001065574	2.986055533061201	15.77297161916728	14.1947306229758
Target of Myb protein 1	TOM1	O60784	0.8401208660367345	0	0.28834572	1.231173733788325	14.82092082485975	14.52088646662026
Polyglutamine-binding protein 1	PQBP1	O60828	2.60534463691782	0	0.0121481	1.613119074382235	14.45852412626423	13.76867118951883
