LFQ intensity R159E_1	LFQ intensity R159E_2	LFQ intensity R159E_3	LFQ intensity R159E_4	LFQ intensity R159E_5	LFQ intensity R159E_6	LFQ intensity Untransfected_1	LFQ intensity Untransfected_2	LFQ intensity Untransfected_3	LFQ intensity Untransfected_4	LFQ intensity Untransfected_5	LFQ intensity Untransfected_6	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	LFQ intensity WT_4	LFQ intensity WT_5	LFQ intensity WT_6	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	0.9	0.9	0.9	241.26	0.0030534	2.2699	1079500	2	A5YKK6-3;A5YKK6-2;A5YKK6;A5YKK6-4	A5YKK6-3;A5YKK6-2;A5YKK6;A5YKK6-4	CCR4-NOT transcription complex subunit 1	CNOT1	8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	4	4	15.4	15.4	15.4	40.078	0	5.082	2427400	4	A6NED2	A6NED2	RCC1 domain-containing protein 1	RCCD1	9
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			1	1	1	3.5	3.5	3.5	66.833	1	-2	2125100	1	A8K979-2;A8K979	A8K979-2;A8K979	ERI1 exoribonuclease 2	ERI2	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	7.7	7.7	7.7	42.233	0.0030659	2.2915	7519100	1	A8MXV4	A8MXV4	Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	NUDT19	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	1.8	1.8	1.8	104.1	0	2.9235	3399000	3	Q99613-2;Q99613;B5ME19	Q99613-2;Q99613;B5ME19	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	12
3505600	2187400	0	0	0	0	0	0	3601700	0	0	0	3761900	3500800	4417900	2395900	1728000	1511500				4	4	4	20.5	20.5	20.5	23.384	0	39.153	101260000	31	Q13765;E9PAV3-2;E9PAV3;Q9BZK3	Q13765;E9PAV3-2;E9PAV3;Q9BZK3	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Putative nascent polypeptide-associated complex subunit alpha-like protein	NACA;NACAP1	72
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	4.6	4.6	4.6	33.615	0.00053476	2.6774	5397900	1	O00115-2;O00115	O00115-2;O00115	Deoxyribonuclease-2-alpha	DNASE2	73
0	0	2142700	0	0	0	3057000	0	0	0	0	0	0	0	0	0	0	0				10	10	10	22.9	22.9	22.9	72.911	0	31.214	72694000	14	O00116	O00116	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	74
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	3.3	3.3	3.3	75.042	0	3.312	667680	2	O00139-2;O00139-1;O00139-5;O00139;O00139-4	O00139-2;O00139-1;O00139-5;O00139;O00139-4	Kinesin-like protein KIF2A	KIF2A	75
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			49	1	1	51.8	0.8	0.8	117.91	1	-2	3193400	1	O00159-2	O00159-2	Unconventional myosin-Ic	MYO1C	76
23320000	22725000	14206000	3368700	1782800	3468200	19664000	20146000	17153000	0	0	0	8770400	14578000	10025000	1597300	4418600	3281500				50	50	2	52.1	52.1	1.9	119.63	0	196.11	1497100000	315	O00159-3;O00159	O00159-3;O00159	Unconventional myosin-Ic	MYO1C	77
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	14.7	14.7	14.7	23.354	0	4.4239	7014100	2	O00161;O00161-2	O00161;O00161-2	Synaptosomal-associated protein 23	SNAP23	78
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	7.3	7.3	7.3	14.234	0.0082404	1.9491	1622600	1	O00165-4;O00165-6;O00165-5;O00165;O00165-2	O00165-4;O00165-6;O00165-5;O00165;O00165-2	HCLS1-associated protein X-1	HAX1	79
0	0	0	1753800	2438800	0	0	0	1710000	3652000	2103000	0	1821200	0	0	2252900	1574000	1813900				6	6	6	26.4	26.4	26.4	37.636	0	31.837	47052000	32	O00170	O00170	AH receptor-interacting protein	AIP	80
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	1.5	1.5	1.5	67.764	0.0095374	1.852	1580400	1	O00186	O00186	Syntaxin-binding protein 3	STXBP3	81
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	14.8	14.8	14.8	23.705	0	6.1481	14038000	3	O00217	O00217	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUFS8	82
0	884700	0	0	0	0	0	0	1134100	0	0	0	1061400	885900	1015300	0	0	0				6	6	6	17.3	17.3	17.3	47.463	0	13.244	24137000	25	O00231;O00231-2	O00231;O00231-2	26S proteasome non-ATPase regulatory subunit 11	PSMD11	83
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	4.1	4.1	4.1	50.578	0.007335	1.9971	2497900	3	O00232-2;O00232	O00232-2;O00232	26S proteasome non-ATPase regulatory subunit 12	PSMD12	84
1848600	1495100	3515400	0	0	0	2011800	1612800	0	0	0	0	2160300	1271800	0	0	0	0				9	9	8	33.3	33.3	28.7	21.671	0	27.075	93321000	31	O00264;O00264-2	O00264;O00264-2	Membrane-associated progesterone receptor component 1	PGRMC1	85
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			1	1	1	1.9	1.9	1.9	58.663	1	-2	0	1	O00295	O00295	Tubby-related protein 2	TULP2	86
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	10.8	10.8	10.8	54.122	0	17.582	13985000	4	O00330;O00330-3;O00330-2	O00330;O00330-3	Pyruvate dehydrogenase protein X component, mitochondrial	PDHX	87
1391000	329850	152870	3861600	1768100	788070	745980	1182000	4874100	7463500	5645400	786810	4275500	1650700	2417400	6092200	2033100	4632600				27	27	25	33.4	33.4	32.7	125.54	0	162.46	249690000	178	O00410-3;O00410;O00410-2	O00410-3;O00410;O00410-2	Importin-5	IPO5	88
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				5	5	5	7.1	7.1	7.1	138.62	0	9.2247	20862000	6	O00411	O00411	DNA-directed RNA polymerase, mitochondrial	POLRMT	89
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	24.2	24.2	24.2	17.561	0	4.081	14570000	3	O00422;O00422-2	O00422;O00422-2	Histone deacetylase complex subunit SAP18	SAP18	90
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				6	6	5	13.3	13.3	11.1	63.704	0	10.789	33779000	15	O00425;O00425-2;Q9Y6M1-5;Q9Y6M1-6;Q9Y6M1-3;Q9Y6M1-4;Q9Y6M1-1;Q9Y6M1	O00425;O00425-2	Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3	91
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	4.9	4.9	4.9	81.879	0.0025602	2.324	3486700	3	O00461	O00461	Golgi integral membrane protein 4	GOLIM4	92
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	0.7	0.7	0.7	205.52	0.0099715	1.8347	1497300	1	O00468-2;O00468-6;O00468-3;O00468-5;O00468-4;O00468-7;O00468	O00468-2;O00468-6;O00468-3;O00468-5;O00468-4;O00468-7;O00468	Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment	AGRN	93
1276500	2194200	4974100	0	0	0	2349700	1837300	0	0	0	0	2116000	1473400	0	0	0	0				23	23	23	36.7	36.7	36.7	87.097	0	56.267	286770000	74	O00469-2;O00469;O00469-3	O00469-2;O00469;O00469-3	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	94
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	37	37	37	9.3697	0	4.9152	33410000	3	O00483	O00483	Cytochrome c oxidase subunit NDUFA4	NDUFA4	95
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	4.2	4.2	4.2	34.577	0.0020833	2.455	5807300	7	O00487	O00487	26S proteasome non-ATPase regulatory subunit 14	PSMD14	96
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	4.8	4.8	4.8	67.455	0	4.8871	6113700	4	O00541-2;O00541	O00541-2;O00541	Pescadillo homolog	PES1	97
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	11.4	11.4	11.4	32.316	0	6.0331	7876200	2	O00560-2;O00560	O00560-2;O00560	Syntenin-1	SDCBP	98
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	2.9	2.9	2.9	78.863	0.0045317	2.2033	2651600	1	O00566	O00566	U3 small nucleolar ribonucleoprotein protein MPP10	MPHOSPH10	99
0	0	5618500	0	0	0	5914000	0	0	0	0	0	0	0	0	0	0	0				21	21	21	46.1	46.1	46.1	66.049	0	65.847	230330000	36	O00567	O00567	Nucleolar protein 56	NOP56	100
2616300	2509800	505760	1846100	1359800	528340	1907700	2398500	7028500	11238000	10676000	2527600	3674300	3272900	3841200	4271000	1517200	1969300				27	26	26	45.6	44	44	73.243	0	78.163	242670000	162	O00571;O00571-2;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0	O00571;O00571-2;O15523-2;O15523	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	101
0	0	2571000	0	0	0	3220900	5010900	0	0	0	0	0	0	0	0	0	0				5	5	5	10.3	10.3	10.3	55.385	0	19.606	38378000	15	O00592-2;O00592	O00592-2;O00592	Podocalyxin	PODXL	102
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	4.6	4.6	4.6	57.886	0.0030349	2.2323	982370	2	O00629;O00505	O00629;O00505	Importin subunit alpha-3;Importin subunit alpha-4	KPNA4;KPNA3	103
0	0	0	0	0	0	0	0	2273100	0	0	0	0	1342400	1694500	0	0	0				5	4	4	20.5	18.1	18.1	47.441	0	10.997	16023000	14	O00712;O00712-4;O00712-5;O00712-2;O00712-6;Q14938-6;Q14938-5;Q14938-3;Q14938-2;Q14938-4;Q14938	O00712;O00712-4;O00712-5	Nuclear factor 1 B-type	NFIB	104
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	3.1	3.1	3.1	113.61	0	4.3975	6746700	2	O00754-2;O00754	O00754-2;O00754	Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide	MAN2B1	105
0	0	3642800	0	0	0	0	1093200	0	0	0	0	0	0	0	0	0	0				3	3	3	13.9	13.9	13.9	41.522	0	29.089	54430000	7	O00767	O00767	Acyl-CoA desaturase	SCD	106
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	40.4	40.4	40.4	12.615	0	3.3531	8576700	2	O14548	O14548	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7A2L	107
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	8.6	8.6	8.6	28.772	0.0049628	2.0952	5551000	4	O14579-3;O14579-2;O14579	O14579-3;O14579-2;O14579	Coatomer subunit epsilon	COPE	108
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	4	4	28	28	28	18.624	0	8.0339	26256000	6	O14735-3;O14735	O14735-3;O14735	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	CDIPT	109
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	8.4	8.4	8.4	67.673	0	4.9302	2814200	4	O14744-5;O14744;O14744-3;O14744-2;O14744-4	O14744-5;O14744;O14744-3;O14744-2	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	110
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	4	4	18.8	18.8	18.8	34.463	0	13.174	53698000	5	O14773-2;O14773	O14773-2;O14773	Tripeptidyl-peptidase 1	TPP1	111
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	15.4	15.4	15.4	16.135	0	3.4834	0	1	O14818-4;Q8TAA3-2;O14818;Q8TAA3-5;Q8TAA3	O14818-4;Q8TAA3-2;O14818;Q8TAA3-5;Q8TAA3	Proteasome subunit alpha type-7;Proteasome subunit alpha type-7-like	PSMA7;PSMA8	112
114430	0	699860	694230	277370	0	176180	0	0	0	0	0	51193000	47087000	47744000	82784000	58454000	79175000				18	18	7	46.4	46.4	19.9	38.287	0	257.17	3025500000	188	O14828	O14828	Secretory carrier-associated membrane protein 3	SCAMP3	113
0	0	0	0	0	0	0	0	0	0	0	0	0	5767500	8252800	13947000	9119600	13100000				13	2	2	42.1	13.4	13.4	35.201	0	4.8333	126780000	16	O14828-2	O14828-2	Secretory carrier-associated membrane protein 3	SCAMP3	114
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				5	5	5	34.2	34.2	34.2	16.516	0	40.784	208380000	14	O14880	O14880	Microsomal glutathione S-transferase 3	MGST3	115
1729000	1575500	0	2177300	2631400	0	0	0	3049000	5012000	0	0	1710200	2379600	2811000	2590100	2750100	2007000				4	4	4	21.6	21.6	21.6	39.786	0	15.46	74812000	41	O14929-2;O14929	O14929-2;O14929	Histone acetyltransferase type B catalytic subunit	HAT1	116
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	4	4	48.8	48.8	48.8	9.9062	0	12.263	35242000	4	O14949	O14949	Cytochrome b-c1 complex subunit 8	UQCRQ	117
53741000	55513000	88043000	92584000	101610000	219470000	62977000	99325000	101360000	1353900	0	0	11575000	92924000	64726000	25986000	91678000	66115000				14	14	7	66.7	66.7	33.3	19.794	0	310.86	9298300000	325	P19105;O14950	P19105;O14950	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B	MYL12A;MYL12B	118
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	5	5	5	45.809	0	3.4757	1419100	2	O14965	O14965	Aurora kinase A	AURKA	119
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	1	1	3.8	1.8	1.8	70.038	0	16.944	0	1	O14967;O14967-2	O14967;O14967-2	Calmegin	CLGN	120
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				6	5	5	27.9	24.6	24.6	27.191	0	12.232	33912000	5	O14979-3;O14979-2;O14979	O14979-3;O14979-2;O14979	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	121
2128000	2038500	0	1864700	0	0	0	0	2553400	0	0	0	2845300	2077500	2234600	1979200	0	0				12	12	12	16.3	16.3	16.3	123.38	0	28.968	66542000	48	O14980	O14980	Exportin-1	XPO1	122
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	1.5	1.5	1.5	247.24	0.0063882	2.0505	1661600	1	O15027-2;O15027-4;O15027-3;O15027;O15027-5	O15027-2;O15027-4;O15027-3;O15027;O15027-5	Protein transport protein Sec16A	SEC16A	123
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	3.5	3.5	3.5	205.12	0	18.14	12746000	3	O15031	O15031	Plexin-B2	PLXNB2	124
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	3.5	3.5	3.5	72.523	0.00054171	2.7805	6711200	2	O15042-3;O15042-2;O15042	O15042-3;O15042-2;O15042	U2 snRNP-associated SURP motif-containing protein	U2SURP	125
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	3	3	3	144.73	0	5.574	6727100	8	O15067	O15067	Phosphoribosylformylglycinamidine synthase	PFAS	126
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	8	8	8	56.486	0	5.027	9071500	3	O15091-4;O15091-2;O15091;O15091-3	O15091-4;O15091-2;O15091;O15091-3	Mitochondrial ribonuclease P protein 3	KIAA0391	127
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	5.6	5.6	5.6	37.866	0.0068729	2.0425	2285400	2	O15121	O15121	Sphingolipid delta(4)-desaturase DES1	DEGS1	128
0	0	0	0	0	0	0	0	0	0	0	0	16396000	12411000	15544000	22649000	16417000	20632000				12	12	12	43.5	43.5	43.5	37.92	0	99.712	600160000	98	O15126;O15126-2	O15126;O15126-2	Secretory carrier-associated membrane protein 1	SCAMP1	129
0	0	1143700	0	0	0	0	0	0	0	0	0	4669400	2807600	5431200	5362900	3994200	6271200				4	4	4	10.6	10.6	10.6	36.648	0	71.757	106190000	29	O15127	O15127	Secretory carrier-associated membrane protein 2	SCAMP2	130
0	2419500	843340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				6	6	6	18.8	18.8	18.8	40.949	0	11.476	28436000	15	O15143	O15143	Actin-related protein 2/3 complex subunit 1B	ARPC1B	131
2158400	1883100	565900	0	0	0	0	0	1172100	0	0	0	813160	1526800	1454100	0	0	0				12	12	12	50	50	50	34.333	0	30.532	64250000	49	O15144	O15144	Actin-related protein 2/3 complex subunit 2	ARPC2	132
1442600	1439100	1342300	1216500	1288400	0	0	0	1448400	0	0	0	0	1770700	1526700	0	1299300	807480				7	7	7	50	50	50	20.546	0	17.441	72150000	40	O15145	O15145	Actin-related protein 2/3 complex subunit 3	ARPC3	133
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	13.3	13.3	13.3	9.02	0.0099762	1.8359	6040300	1	O15155-2;O15155	O15155-2;O15155	BET1 homolog	BET1	134
4598700	3964700	6443900	0	0	0	5824700	3731900	0	0	0	0	3947600	2692200	0	0	0	0				6	5	5	26.5	22.4	22.4	23.818	0	14.659	183010000	26	O15173;O15173-2	O15173;O15173-2	Membrane-associated progesterone receptor component 2	PGRMC2	135
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	4.9	4.9	4.9	68.07	0.0096293	1.9102	1958600	2	O15213	O15213	WD repeat-containing protein 46	WDR46	136
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	18.1	18.1	18.1	15.173	0	3.7206	3534800	1	O15235	O15235	28S ribosomal protein S12, mitochondrial	MRPS12	137
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	9.7	9.7	9.7	22.958	0	6.7471	13128000	3	O15258	O15258	Protein RER1	RER1	138
0	0	0	0	0	0	4494000	2671300	0	0	0	0	0	0	0	0	0	0				5	5	5	24.2	24.2	24.2	30.394	0	16.034	38565000	17	O15260;O15260-2;O15260-3	O15260;O15260-2;O15260-3	Surfeit locus protein 4	SURF4	139
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	5.9	5.9	5.9	52.743	0	3.6295	8595000	3	O15269	O15269	Serine palmitoyltransferase 1	SPTLC1	140
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	2.4	2.4	2.4	116.92	0	3.9305	754920	2	O15294;O15294-4;O15294-2;O15294-3	O15294;O15294-4;O15294-2;O15294-3	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	OGT	141
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	9.1	9.1	9.1	63.972	0	3.85	4892000	5	O15371;O15371-3;O15371-2	O15371;O15371-3;O15371-2	Eukaryotic translation initiation factor 3 subunit D	EIF3D	142
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	5.7	5.7	5.7	39.93	0.0082086	1.9275	440510	1	O15372	O15372	Eukaryotic translation initiation factor 3 subunit H	EIF3H	143
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	2.1	2.1	2.1	72.732	0.0010449	2.4797	3677700	1	O15381-3;O15381-4;O15381-2;O15381-5;O15381	O15381-3;O15381-4;O15381-2;O15381-5;O15381	Nuclear valosin-containing protein-like	NVL	144
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	11.2	11.2	11.2	44.287	0	7.4759	18767000	2	O15382;O15382-2	O15382;O15382-2	Branched-chain-amino-acid aminotransferase, mitochondrial	BCAT2	145
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	23.8	23.8	23.8	27.4	0	6.5967	6703000	5	O15400-2;O15400	O15400-2;O15400	Syntaxin-7	STX7	146
1361200	2948300	4123500	0	0	0	2338300	2339800	0	0	0	0	689970	1591300	1135300	0	0	0				9	9	9	19.4	19.4	19.4	49.469	0	21.534	154260000	43	O15427	O15427	Monocarboxylate transporter 4	SLC16A3	147
0	2393000	2659300	0	0	0	5591200	2015200	0	0	0	0	1382600	0	0	0	0	0				15	15	15	38.6	38.6	38.6	60.632	0	67.801	84246000	38	O15460-2;O15460	O15460-2;O15460	Prolyl 4-hydroxylase subunit alpha-2	P4HA2	148
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	4.1	4.1	4.1	43.885	0.0049554	2.0871	11887000	3	O15533-2;O15533;O15533-3;O15533-4	O15533-2;O15533;O15533-3;O15533-4	Tapasin	TAPBP	149
1012200	836270	6325300	0	1065000	0	1116800	0	1047400	1450600	1060500	0	1045200	956660	1039900	1348600	0	932030				20	20	20	34.2	34.2	34.2	90.932	0	44.457	203540000	69	O43143	O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	150
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				6	6	6	22.1	22.1	22.1	54.843	0	10.084	6127300	8	O43148;O43148-2	O43148;O43148-2	mRNA cap guanine-N7 methyltransferase	RNMT	151
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	4.2	4.2	4.2	50.714	0	3.5481	2643500	1	O43159	O43159	Ribosomal RNA-processing protein 8	RRP8	152
3643500	3523000	11604000	0	0	0	3231400	0	0	0	0	0	3572000	2882500	0	0	0	0				7	7	7	66.7	66.7	66.7	16.694	0	53.268	225020000	28	O43169	O43169	Cytochrome b5 type B	CYB5B	153
5424100	5335900	1912300	4920900	4421500	3970200	3429700	3590500	4651900	5219000	4050700	0	5292700	5629500	5553100	4887200	4891200	5104600				18	18	18	38.6	38.6	38.6	56.65	0	109.77	513290000	175	O43175	O43175	D-3-phosphoglycerate dehydrogenase	PHGDH	154
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	4	4	10.1	10.1	10.1	60.977	0	9.9305	7896800	5	O43242;O43242-2	O43242;O43242-2	26S proteasome non-ATPase regulatory subunit 3	PSMD3	155
0	0	0	869130	1016100	0	0	0	0	0	0	0	0	0	0	1406800	0	964840				5	5	5	11.2	11.2	11.2	70.832	0	12.39	18109000	20	O43252	O43252	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	PAPSS1	156
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	3	3	6.5	6.5	6.5	76.806	0	4.7292	9776500	7	O43264-2;O43264	O43264-2;O43264	Centromere/kinetochore protein zw10 homolog	ZW10	157
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	2.1	2.1	2.1	45.118	0.01	1.8425	34768000	10	O43286	O43286	Beta-1,4-galactosyltransferase 5	B4GALT5	158
