"","Gene_name","Protein_name","Protein_ID","Fold_change","P_value"
"44","TMEM179B","Transmembrane protein 179B","Q7Z7N9",17.2148807416847,0.0013299284
"45","RPL14","60S ribosomal protein L14","P50914",4.21996542088516,1.3205048e-05
"46","SLC12A4","Solute carrier family 12 member 4","Q9UP95",5.01893598117557,4.1175208e-05
"47","GDA","Guanine deaminase","Q9Y2T3",4.45625590037112,4.1544827e-05
"48","RAB5B","Ras-related protein Rab-5B","P61020",4.19681396164444,4.5024615e-05
"49","HIST3H3","Histone H3.2","Q71DI3",16.5475724481967,0.0047139488
"50","ARL8A","ADP-ribosylation factor-like protein 8A","Q96BM9",10.1837129717634,0.0011473644
"51","HIST1H2AJ","Histone H2A type 1-J","Q99878",25.6670864746644,0.026283512
"52","RAB7A","Ras-related protein Rab-7a","P51149",10.4247141083841,0.0013253802
"53","RAB11B","Ras-related protein Rab-11B","Q15907",10.7851667687247,0.001950135
"54","RAB5C","Ras-related protein Rab-5C","P51148",7.31070432242972,0.00073912111
"55","DSP","Desmoplakin","P15924",5.71535909975581,0.00056290958
"56","SFT2D1","Vesicle transport protein SFT2A","Q8WV19",8.29176975535154,0.0021501787
"57","HDAC10","Histone deacetylase 10","Q969S8",6.27520458929987,0.0010000729
"58","CD63","CD63 antigen","P08962",8.73692931707936,0.0033460238
"59","ARG1","Arginase-1","P05089",3.95354132925102,0.00029559256
"60","TM9SF2","Transmembrane 9 superfamily member 2","Q99805",3.4899844272774,0.00026148398
"61","EIF4E","Eukaryotic translation initiation factor 4E","P06730",4.7062986011412,0.00075351313
"62","SERINC1","Serine incorporator 1","Q9NRX5",5.94939400688421,0.0017800898
"63","GALNT2","Polypeptide N-acetylgalactosaminyltransferase 2","Q10471",5.51420309069469,0.0015063224
"64","MTAP","S-methyl-5-thioadenosine phosphorylase","Q13126",4.4696337171708,0.0013930283
"65","VAMP8","Vesicle-associated membrane protein 8","Q9BV40",9.45091024449211,0.01716313
"66","RAB5A","Ras-related protein Rab-5A","P20339",5.0227877182627,0.0049398118
"67","TPBG","Trophoblast glycoprotein","Q13641",4.50510941366813,0.0034548161
"68","TSPAN6","Tetraspanin-6","O43657",4.42049650716906,0.0049347747
"69","ALDOA","Fructose-bisphosphate aldolase A","P04075",3.94015008278001,0.0042251227
"70","LAMP2","Lysosome-associated membrane glycoprotein 2","P13473",3.34902992906122,0.0029572092
"71","RAB8B","Ras-related protein Rab-8B","Q92930",5.64641685063834,0.022045106
"72","LAMTOR1","Ragulator complex protein LAMTOR1","Q6IAA8",4.9599021757816,0.015198534
"73","RPS29","40S ribosomal protein S29","P62273",3.88291757887229,0.0075619449
"74","RPL21","60S ribosomal protein L21","P46778",3.3481093645614,0.0052973973
"75","ADAR","Double-stranded RNA-specific adenosine deaminase","P55265",3.02095881182239,0.0048428588
"76","RPL8","60S ribosomal protein L8","P62917",2.73558101981387,0.0036591268
"77","LCN1","Lipocalin-1","P31025",4.86058477531713,0.025019728
"78","PLIN3","Perilipin-3","O60664",3.28592375552112,0.0069320141
"79","RALA","Ras-related protein Ral-A","P11233",2.74156187443725,0.0039521684
"80","TPM3","Tropomyosin alpha-3 chain","P06753",4.8482684820023,0.030878257
"81","CASP14","Caspase-14","P31944",3.12372717785881,0.0072193136
"82","TRIP13","Pachytene checkpoint protein 2 homolog","Q15645",3.53348638109688,0.013037046
"83","IGF2R","Cation-independent mannose-6-phosphate receptor","P11717",2.53643708625689,0.0046448167
"84","RCC2","Protein RCC2","Q9P258",4.18635502769802,0.025369329
"85","PRMT1","Protein arginine N-methyltransferase 1","Q99873",3.52530753008359,0.015182214
"86","RAB34","Ras-related protein Rab-34","Q9BZG1",2.76893191622199,0.0070680832
"87","TPM4","Tropomyosin alpha-4 chain","P67936",4.63537542875544,0.042617559
"88","RPL10A","60S ribosomal protein L10a","P62906",2.96531436225156,0.015854798
"89","RPLP2","60S acidic ribosomal protein P2","P05387",3.15132725952372,0.022467759
"90","HNRNPM","Heterogeneous nuclear ribonucleoprotein M","P52272",3.63085785417176,0.038543604
"91","YBX1","Nuclease-sensitive element-binding protein 1","P67809",2.83769375130893,0.017286563
"92","RPS13","40S ribosomal protein S13","P62277",3.24179959873954,0.026949609
"93","IARS","Isoleucine--tRNA ligase, cytoplasmic","P41252",3.14187103550413,0.025413416
"94","CSTA","Cystatin-A","P01040",2.36968044382564,0.010811906
"95","RPL4","60S ribosomal protein L4","P36578",2.46628125870475,0.012560399
"96","PSME3","Proteasome activator complex subunit 3","P61289",2.13411423427723,0.010045497
"97","SRP68","Signal recognition particle subunit SRP68","Q9UHB9",3.10746960657975,0.039769039
"98","MAT2A","S-adenosylmethionine synthase isoform type-2","P31153",2.78692369380073,0.028917095
"99","MYADM","Myeloid-associated differentiation marker","Q96S97",2.28995106400549,0.015716966
"100","PEF1","Peflin","Q9UBV8",3.12105470686037,0.046577547
"101","ACACA","Acetyl-CoA carboxylase 1","Q13085",2.34917309613385,0.019161124
"102","FASN","Fatty acid synthase","P49327",2.12981591507696,0.016578915
"103","ITFG1","T-cell immunomodulatory protein","Q8TB96",2.0614411233936,0.016478328
"104","UBA1","Ubiquitin-like modifier-activating enzyme 1","P22314",2.60844597848342,0.036747579
"105","RUVBL2","RuvB-like 2","Q9Y230",2.55276995047864,0.03582998
"106","CMBL","Carboxymethylenebutenolidase homolog","Q96DG6",2.67592758738784,0.048160315
"107","RAB21","Ras-related protein Rab-21","Q9UL25",2.13827619610476,0.023489034
"108","S100A9","Protein S100-A9","P06702",2.32435796552442,0.038694881
"109","DEK","Protein DEK","P35659",2.37736269904816,0.047677357
"110","KPRP","Keratinocyte proline-rich protein","Q5T749",2.2027502742075,0.04167584
"111","OCIAD1","OCIA domain-containing protein 1","Q9NX40",2.02853635364656,0.04333533
"112","TXNL1","Thioredoxin-like protein 1","O43396",0.315884946960999,0.00034602318
"113","RPS21","40S ribosomal protein S21","P63220",0.339392042985539,0.00056482258
"114","NR2F1","COUP transcription factor 1","P10589",0.424612740680976,0.00039938244
"115","CSNK1D","Casein kinase I isoform delta","P48730",0.240555146604376,0.0040352475
"116","VTI1A","Vesicle transport through interaction with t-SNAREs homolog 1A","Q96AJ9",0.337419831395382,0.0016098352
"117","VAT1","Synaptic vesicle membrane protein VAT-1 homolog","Q99536",0.491968712031931,0.00071501243
"118","RBM4B","RNA-binding protein 4","Q9BWF3",0.207949657450218,0.019745046
"119","UBA6","Ubiquitin-like modifier-activating enzyme 6","A0AVT1",0.203930539653197,0.024672674
"120","ABCD3","ATP-binding cassette sub-family D member 3","P28288",0.426939611539513,0.0046409215
"121","KIF20A","Kinesin-like protein KIF20A","O95235",0.311060203723692,0.015693478
"122","SURF4","Surfeit locus protein 4","O15260",0.313324930169944,0.02206832
"123","IGF2BP3","Insulin-like growth factor 2 mRNA-binding protein 3","O00425",0.490795502021854,0.0052127321
"124","UBAP2","Ubiquitin-associated protein 2","Q5T6F2",0.368693339908144,0.016444813
"125","RABGGTB","Geranylgeranyl transferase type-2 subunit beta","P53611",0.370880834652447,0.016560862
"126","RBM4","RNA-binding protein 4B","Q9BQ04",0.385277720212421,0.015641855
"127","MRPL4","39S ribosomal protein L4, mitochondrial","Q9BYD3",0.449430149509473,0.011418315
"128","ARFIP1","Arfaptin-1","P53367",0.432989080252486,0.014655538
"129","OSBPL9","Oxysterol-binding protein-related protein 9","Q96SU4",0.430881053152302,0.015606064
"130","DDB2","DNA damage-binding protein 2","Q92466",0.441241331788117,0.014766649
"131","TOX4","TOX high mobility group box family member 4","O94842",0.390079509763909,0.023196585
"132","IKBKAP","Elongator complex protein 1","O95163",0.459665568965908,0.016124133
"133","GORASP2","Golgi reassembly-stacking protein 2","Q9H8Y8",0.438458038501505,0.019407704
"134","DDX27","Probable ATP-dependent RNA helicase DDX27","Q96GQ7",0.458662217683237,0.017284216
"135","NDUFS1","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial","P28331",0.40569294865972,0.027455714
"136","PDHB","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial","P11177",0.469840769822648,0.023952462
"137","CLN3","Battenin","Q13286",0.477535800247044,0.023359172
"138","HNRNPL","Heterogeneous nuclear ribonucleoprotein L","P14866",0.428990849896698,0.035196759
"139","GNB1","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","P62873",0.445897274860809,0.0313613
"140","SUCLG1","Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial","P53597",0.447444638982527,0.036065917
"141","HLA-C","HLA class I histocompatibility antigen, Cw-7 alpha chain","P10321",0.418302118810112,0.045387145
"142","ITGB4","Integrin beta-4","P16144",0.48620845684078,0.029376354
"143","GNAI2","Guanine nucleotide-binding protein G(i) subunit alpha-2","P04899",0.418122933309516,0.048923198
"144","LACRT","Extracellular glycoprotein lacritin","Q9GZZ8",0.438881556546264,0.042518463
"145","NPC2","Epididymal secretory protein E1","P61916",0.458243831104113,0.039359346
"146","NOL6","Nucleolar protein 6","Q9H6R4",0.491488968766244,0.032376122
"147","PTGES2","Prostaglandin E synthase 2","Q9H7Z7",0.487861742789795,0.048470087
"148","MYH9","Myosin-9","P35579",8.69410275300174,0.097981349
"149","ACTC1","Actin, alpha cardiac muscle 1","P68032",9.4958814544781,0.13654922
"150","HIST1H2BL","Histone H2B type 1-L","Q99880",7.2353948344815,0.084549807
"151","MYH10","Myosin-10","P35580",6.89008514943994,0.13160777
"152","MYL12A","Myosin regulatory light chain 12A","P19105",6.35600962822496,0.16635436
"153","TFRC","Transferrin receptor protein 1","P02786",4.48854841798148,0.073143363
"154","HIST1H2AH","Histone H2A type 1-H","Q96KK5",5.05617093655893,0.11182632
"155","HIST2H3PS2","Histone H3.1t","Q16695",4.30323982430819,0.066158384
"156","NACAP1","Nascent polypeptide-associated complex subunit alpha, muscle-specific form","E9PAV3",4.68924491297677,0.11467183
"157","HDAC6","Histone deacetylase 6","Q9UBN7",3.98587283731201,0.072261877
"158","HIST1H2AC","Histone H2A.J","Q9BTM1",4.95951296663248,0.15421383
"159","CSE1L","Exportin-2","P55060",4.11651979473424,0.10423914
"160","RAB31","Ras-related protein Rab-31","Q13636",3.42449609631894,0.057131745
"161","MYL6","Myosin light polypeptide 6","P60660",4.11751133905588,0.16478342
"162","SERPINB3","Serpin B3","P29508",3.25165346879712,0.076190777
"163","TMOD3","Tropomodulin-3","Q9NYL9",3.38406755619948,0.10891704
"164","HIST1H4A","Histone H4","P62805",2.76957192618078,0.056948908
"165","MAP4","Microtubule-associated protein 4","P27816",2.76368522905093,0.057199996
"166","NAP1L1","Nucleosome assembly protein 1-like 1","P55209",3.87066529264928,0.17998341
"167","CRIP1","Cysteine-rich protein 1","P50238",3.49694826324354,0.13072012
"168","DSC1","Desmocollin-1","Q08554",2.74560204240352,0.067540281
"169","HIST2H3A","Histone H3.3","P84243",3.33801875910662,0.14087909
"170","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase","P04406",2.89152374894502,0.087902285
"171","PLP2","Proteolipid protein 2","Q04941",3.70861249714991,0.2042046
"172","RBBP7","Histone-binding protein RBBP7","Q16576",2.55725746081535,0.063252643
"173","PRKDC","DNA-dependent protein kinase catalytic subunit","P78527",2.7085510923004,0.076866634
"174","LDHA","L-lactate dehydrogenase A chain","P00338",2.43851233640738,0.058445696
"175","RPLP0","60S acidic ribosomal protein P0","P05388",2.90155223082276,0.10664955
"176","TPM1","Tropomyosin alpha-1 chain","P09493",3.16796106163118,0.14391199
"177","ATP6V0C","V-type proton ATPase 16 kDa proteolipid subunit","P27449",2.56056756241806,0.07375443
"178","SNRPA1","U2 small nuclear ribonucleoprotein A","P09661",2.67158158317708,0.089065745
"179","XRCC5","X-ray repair cross-complementing protein 5","P13010",2.601791508125,0.086004749
"180","CRKL","Crk-like protein","P46109",2.19318614738902,0.055180412
"181","CDA","Cytidine deaminase","P32320",2.18699111437553,0.057640135
"182","RPS3A","40S ribosomal protein S3a","P61247",2.6457111907102,0.10905603
"183","S100A8","Protein S100-A8","P05109",2.06939689349012,0.050208509
"184","MYH14","Myosin-14","Q7Z406",3.78524146100617,0.42219466
"185","GNB2L1","Guanine nucleotide-binding protein subunit beta-2-like 1","P63244",2.63636833694637,0.12721509
"186","HAT1","Histone acetyltransferase type B catalytic subunit","O14929",2.49526104377576,0.11085241
"187","ALPL","Alkaline phosphatase, tissue-nonspecific isozyme","P05186",2.72057883735497,0.15868075
"188","NACA","Nascent polypeptide-associated complex subunit alpha","Q13765",2.65475107580359,0.14945477
"189","MESDC2","LDLR chaperone MESD","Q14696",2.68898847755847,0.17034778
"190","ACLY","ATP-citrate synthase","P53396",2.30492229930141,0.10377955
"191","RPS17","40S ribosomal protein S17","P08708",2.88753462650825,0.22392961
"192","NRAS","GTPase NRas","P01111",2.06292177366259,0.074429989
"193","RBBP4","Histone-binding protein RBBP4","Q09028",2.05920383992349,0.076696046
"194","ANXA1","Annexin A1","P04083",2.16435443506823,0.095202141
"195","MRPS35","28S ribosomal protein S35, mitochondrial","P82673",2.05542417999809,0.083721288
"196","CAD","CAD protein","P27708",2.10553428448078,0.091785878
"197","EEF1D","Elongation factor 1-delta","P29692",2.22669707977877,0.11223856
"198","RAN","GTP-binding nuclear protein Ran","P62826",2.15829569555842,0.10267279
"199","GSR","Glutathione reductase, mitochondrial","P00390",2.07674639489035,0.091163032
"200","ATP6V0D2","V-type proton ATPase subunit d 2","Q8N8Y2",2.36787771249631,0.15711243
"201","PFKP","ATP-dependent 6-phosphofructokinase, platelet type","Q01813",2.04767917797256,0.11426571
"202","DDB1","DNA damage-binding protein 1","Q16531",2.38799711751352,0.1911837
"203","PSME1","Proteasome activator complex subunit 1","Q06323",2.09045521384708,0.12712362
"204","GART","Trifunctional purine biosynthetic protein adenosine-3","P22102",2.13752845268655,0.14312762
"205","SLC3A2","4F2 cell-surface antigen heavy chain","P08195",2.75043398287715,0.34170023
"206","LCN1P1","Putative lipocalin 1-like protein 1","Q5VSP4",2.70695709466092,0.34661201
"207","IGHA1","Ig alpha-1 chain C region","P01876",2.21859858974577,0.18462454
"208","RPL3","60S ribosomal protein L3","P39023",2.18439295492324,0.1804622
"209","RPL9","60S ribosomal protein L9","P32969",2.40156118502291,0.25772423
"210","RPS4X","40S ribosomal protein S4, X isoform","P62701",2.3588840308031,0.24505688
"211","AHNAK","Neuroblast differentiation-associated protein AHNAK","Q09666",2.45202933927748,0.29188135
"212","HSP90AB1","Heat shock protein HSP 90-beta","P08238",2.41940936166137,0.2841053
"213","AHCY","Adenosylhomocysteinase","P23526",2.04826447345163,0.16510999
"214","EIF4A1","Eukaryotic initiation factor 4A-I","P60842",2.00489126168462,0.1568858
"215","HNRNPA1L2","Heterogeneous nuclear ribonucleoprotein A1","P09651",2.25021793094078,0.23054346
"216","HIST1H1C","Histone H1.2","P16403",2.07979615650838,0.19956809
"217","MAT2B","Methionine adenosyltransferase 2 subunit beta","Q9NZL9",2.00317322837001,0.17964454
"218","CTSD","Cathepsin D","P07339",2.01481677656805,0.18849413
"219","MYO1E","Unconventional myosin-Ie","Q12965",2.2492547655602,0.27449545
"220","TNPO1","Transportin-1","Q92973",2.00280778453841,0.18897142
"221","LAMB1","Laminin subunit beta-1","P07942",2.10691587833362,0.22637863
"222","RPL23A","60S ribosomal protein L23a","P62750",2.03177640985123,0.21943121
"223","BSG","Basigin","P35613",2.17244224347814,0.29769564
"224","HIST1H3A","Histone H3.1","P68431",2.61201925296871,0.57271385
"225","TUBB8","Tubulin beta-8 chain","Q3ZCM7",2.04173144345148,0.29484352
"226","HSPA5","78 kDa glucose-regulated protein","P11021",2.3094666336363,0.45598903
"227","ACTB","Actin, cytoplasmic 1","P60709",2.02827032709589,0.30429232
"228","SERPINH1","Serpin H1","P50454",2.08831907807232,0.405682
"229","UBA52","Ubiquitin-60S ribosomal protein L40","P62987",1.89780457926076,0.00077005313
"230","LASP1","LIM and SH3 domain protein 1","Q14847",0.513418282390041,0.0017142773
"231","SNRPD1","Small nuclear ribonucleoprotein Sm D1","P62314",0.592748137770829,0.0010838181
"232","PAPSS1","Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1","O43252",1.96225823564313,0.0018647453
"233","ATP1B1","Sodium/potassium-transporting ATPase subunit beta-1","P05026",0.205795844356824,0.05162289
"234","PODXL","Podocalyxin","O00592",0.191675726126732,0.10817023
"235","HNRNPR;SYNCRIP","Heterogeneous nuclear ribonucleoprotein R","O43390",0.513780683156305,0.0044980897
"236","RBM14","RNA-binding protein 14","Q96PK6",0.235010364917532,0.062061105
"237","LARS","Leucine--tRNA ligase, cytoplasmic","Q9P2J5",1.95823492723249,0.0051448653
"238","MRPL19","39S ribosomal protein L19, mitochondrial","P49406",0.588308404603449,0.0055786306
"239","CLCN3","H(+)/Cl(-) exchange transporter 3","P51790",1.74538111390298,0.0064457287
"240","RBM8A","RNA-binding protein 8A","Q9Y5S9",0.502544528779062,0.011237208
"241","LRRC47","Leucine-rich repeat-containing protein 47","Q8N1G4",0.538449928254563,0.0098425355
"242","SLC25A20","Mitochondrial carnitine/acylcarnitine carrier protein","O43772",0.59095014359703,0.0075180242
"243","HIST1H1B","Histone H1.5","P16401",1.91806851426295,0.012096544
"244","GOLPH3","Golgi phosphoprotein 3","Q9H4A6",0.31082968037802,0.067587972
"245","LRMP","Lymphoid-restricted membrane protein","Q12912",0.698073897789223,0.0047228155
"246","ACAP1","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1","Q15027",0.578063365665369,0.0088841757
"247","EMC7","ER membrane protein complex subunit 7","Q9NPA0",0.311051033233326,0.072915398
"248","ENG","Endoglin","P17813",0.246691951214341,0.16977111
"249","ALG1","Chitobiosyldiphosphodolichol beta-mannosyltransferase","Q9BT22",0.358589349477329,0.050632287
"250","MTDH","Protein LYRIC","Q86UE4",0.273373981133414,0.13546765
"251","SNRPN","Small nuclear ribonucleoprotein-associated protein N","P63162",0.564299731999062,0.012237514
"252","MTOR","Serine/threonine-protein kinase mTOR","P42345",0.523968348590147,0.016408524
"253","ITPR1","Inositol 1,4,5-trisphosphate receptor type 1","Q14643",1.88196862302403,0.016042059
"254","PRPS1L1","Ribose-phosphate pyrophosphokinase 3","P21108",0.551498920144391,0.015404413
"255","ACO2","Aconitate hydratase, mitochondrial","Q99798",0.331756261503345,0.084503688
"256","RPS15A","40S ribosomal protein S15a","P62244",0.337250482090462,0.080567494
"257","RPS20","40S ribosomal protein S20","P60866",0.279016747475232,0.15459192
"258","NDUFA8","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8","P51970",0.574998922858168,0.013997872
"259","HMG20A","High mobility group protein 20A","Q9NP66",0.642623569054147,0.0097600743
"260","SYNE2","Nesprin-2","Q8WXH0",0.361461035422482,0.067913026
"261","LGALS1","Galectin-1","P09382",0.285322503055017,0.15308279
"262","AIFM1","Apoptosis-inducing factor 1, mitochondrial","O95831",0.292733270986715,0.14063646
"263","MRRF","Ribosome-recycling factor, mitochondrial","Q96E11",1.8097399455725,0.017966773
"264","MCMBP","Mini-chromosome maintenance complex-binding protein","Q9BTE3",0.395719516961715,0.055228658
"265","KCT2","Keratinocyte-associated transmembrane protein 2","Q8NC54",0.540743226520545,0.022072999
"266","GLS","Glutaminase kidney isoform, mitochondrial","O94925",1.69450891868179,0.016681803
"267","TRA2A","Transformer-2 protein homolog alpha","Q13595",1.70448158961872,0.017080525
"268","FLOT2","Flotillin-2","Q14254",0.352439762284296,0.093889594
"269","AGRN","Agrin","O00468",0.543200434861283,0.02471455
"270","TMX1","Thioredoxin-related transmembrane protein 1","Q9H3N1",0.327965974526102,0.13761137
"271","MRPS22","28S ribosomal protein S22, mitochondrial","P82650",0.583080375947766,0.020654276
"272","TSPO","Translocator protein","P30536",0.61801658717702,0.017806172
"273","PRDX2","Peroxiredoxin-2","P32119",0.505252915847381,0.03548057
"274","DAD1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","P61803",1.93993957791509,0.03350459
"275","MRPS27","28S ribosomal protein S27, mitochondrial","Q92552",0.588784230933193,0.021587608
"276","RMDN3","Regulator of microtubule dynamics protein 3","Q96TC7",0.580274077726837,0.02272369
"277","LMNB2","Lamin-B2","Q03252",0.440741281240004,0.059119802
"278","PLK1","Serine/threonine-protein kinase PLK1","P53350",0.555314168328093,0.027604103
"279","ETF1","Eukaryotic peptide chain release factor subunit 1","P62495",0.523516528599211,0.034004334
"280","EXOSC5","Exosome complex component RRP46","Q9NQT4",1.91738170817239,0.034689575
"281","GNAI1","Guanine nucleotide-binding protein G(i) subunit alpha-1","P63096",0.367355812493795,0.11816078
"282","SURF1","Surfeit locus protein 1","Q15526",0.566242486271608,0.028403947
"283","GCDH","Glutaryl-CoA dehydrogenase, mitochondrial","Q92947",0.475859410166383,0.051586766
"284","KPNB1","Importin subunit beta-1","Q14974",0.572640810651076,0.0279743
"285","C9orf142","Protein PAXX","Q9BUH6",1.86572959590904,0.03566524
"286","TRAPPC11","Trafficking protein particle complex subunit 11","Q7Z392",0.734177028292185,0.01265227
"287","POLRMT","DNA-directed RNA polymerase, mitochondrial","O00411",0.533954099851492,0.036713276
"288","LANCL1","LanC-like protein 1","O43813",1.9789640545968,0.044601358
"289","PCNP","PEST proteolytic signal-containing nuclear protein","Q8WW12",0.742636656947097,0.012463527
"290","CYB5A","Cytochrome b5","P00167",1.63320983694506,0.023866467
"291","PFAS","Phosphoribosylformylglycinamidine synthase","O15067",0.616577876471515,0.023336612
"292","ATAD3A","ATPase family AAA domain-containing protein 3A","Q9NVI7",0.357543788364036,0.14794001
"293","CLPP","ATP-dependent Clp protease proteolytic subunit, mitochondrial","Q16740",0.484349914424566,0.054415554
"294","EIF3I","Eukaryotic translation initiation factor 3 subunit I","Q13347",0.50688355617057,0.047027167
"295","TMA16","Translation machinery-associated protein 16","Q96EY4",1.93971697428439,0.045649119
"296","TRAP1","Heat shock protein 75 kDa, mitochondrial","Q12931",0.298942543178231,0.28594601
"297","ERAL1","GTPase Era, mitochondrial","O75616",0.634711634357676,0.023629509
"298","ILF3","Interleukin enhancer-binding factor 3","Q12906",0.482043683494407,0.058949497
"299","TSN","Translin","Q15631",0.542184054265837,0.040265672
"300","ST13P4","Putative protein FAM10A4","Q8IZP2",0.60284309783782,0.028325105
"301","TMED3","Transmembrane emp24 domain-containing protein 3","Q9Y3Q3",0.546955862762876,0.039231703
"302","SND1","Staphylococcal nuclease domain-containing protein 1","Q7KZF4",0.551343807270007,0.038301561
"303","GSPT1","Eukaryotic peptide chain release factor GTP-binding subunit ERF3A","P15170",0.583129941927697,0.03194816
"304","CLGN","Calmegin","O14967",0.519950887492385,0.046792917
"305","FAM120A","Constitutive coactivator of PPAR-gamma-like protein 1","Q9NZB2",0.625634211192543,0.0260986
"306","VEZF1","Vascular endothelial zinc finger 1","Q14119",0.456057345759596,0.077389918
"307","TRAPPC5","Trafficking protein particle complex subunit 5","Q8IUR0",0.405688997489738,0.11417886
"308","KIF26B","Kinesin-like protein KIF26B","Q2KJY2",0.712549402572607,0.017638704
"309","PDCD2L","Programmed cell death protein 2-like","Q9BRP1",0.545528149819927,0.042944632
"310","COX6C","Cytochrome c oxidase subunit 6C","P09669",0.515178217580055,0.052559845
"311","PRKACA","cAMP-dependent protein kinase catalytic subunit alpha","P17612",0.526869688564161,0.049204197
"312","GCAT","2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial","O75600",0.596969033080946,0.032827206
"313","ATP5O","ATP synthase subunit O, mitochondrial","P48047",0.505282966819276,0.058550641
"314","MTCH2","Mitochondrial carrier homolog 2","Q9Y6C9",0.539537602295309,0.047956139
